uniprot,pathway
Q08828,hsa04725
Q08828,hsa04714
Q08828,hsa00230
Q08828,hsa04540
Q08828,hsa04114
Q08828,hsa05166
Q08828,hsa04927
Q08828,hsa04972
Q08828,hsa04020
Q08828,hsa04723
Q08828,hsa04211
Q08828,hsa04713
Q08828,hsa04926
Q08828,hsa04970
Q08828,hsa01522
Q08828,hsa04724
Q08828,hsa04750
Q08828,hsa05207
Q08828,hsa04371
Q08828,hsa05142
Q08828,hsa05200
Q08828,hsa01100
Q08828,hsa05146
Q08828,hsa04062
Q08828,hsa04024
Q08828,hsa04923
Q08828,hsa04921
Q08828,hsa04912
Q08828,hsa04911
Q08828,hsa04015
Q08828,hsa04720
Q08828,hsa05414
Q08828,hsa04914
Q08828,hsa04916
Q08828,hsa04976
Q08828,hsa05163
P23528,hsa05133
P23528,hsa05170
P23528,hsa04666
P23528,hsa04810
P23528,hsa04360
Q9Y666,hsa04966
O60502,hsa04931
Q15185,hsa00590
Q15185,hsa05207
Q15185,hsa01100
O00444,hsa04068
Q9Y2U5,hsa04912
Q9Y2U5,hsa04540
Q9Y2U5,hsa04010
Q9NYY3,hsa04068
P13995,hsa01100
P13995,hsa01240
P13995,hsa00670
Q08462,hsa04020
Q08462,hsa00230
Q08462,hsa05414
Q08462,hsa04724
Q08462,hsa04540
Q08462,hsa04928
Q08462,hsa04022
Q08462,hsa01100
Q08462,hsa04915
Q08462,hsa04072
Q08462,hsa04913
Q08462,hsa04912
Q08462,hsa04261
Q08462,hsa04015
Q08462,hsa04934
Q08462,hsa04024
Q08462,hsa04926
Q08462,hsa04725
Q08462,hsa04925
Q08462,hsa04213
Q08462,hsa04723
Q08462,hsa05032
Q08462,hsa05200
Q08462,hsa04914
Q08462,hsa04972
Q08462,hsa04976
Q08462,hsa04062
Q08462,hsa04713
Q08462,hsa04371
Q08462,hsa04970
Q08462,hsa04923
Q08462,hsa04911
Q08462,hsa05166
Q08462,hsa04114
Q08462,hsa04971
Q08462,hsa04727
Q08462,hsa04750
Q08462,hsa04270
Q08462,hsa04935
Q08462,hsa04211
Q08462,hsa04611
Q08462,hsa04916
Q08462,hsa04927
Q08462,hsa04922
Q08462,hsa05207
Q08462,hsa01522
Q08462,hsa05163
Q08462,hsa04714
Q08462,hsa04921
Q08462,hsa04918
P13569,hsa04530
P13569,hsa04976
P13569,hsa02010
P13569,hsa04152
P13569,hsa05110
P13569,hsa04972
P13569,hsa04971
P13569,hsa04024
Q9Y271,hsa04080
Q9Y271,hsa04020
O95954,hsa00340
O95954,hsa01100
O95954,hsa00670
Q9Y233,hsa01100
Q9Y233,hsa05032
Q9Y233,hsa04024
Q9Y233,hsa00230
O00264,hsa04080
Q9Y694,hsa04976
Q16798,hsa00620
Q16798,hsa03320
Q16798,hsa01100
Q16798,hsa01200
Q9BTZ2,hsa01100
Q9BTZ2,hsa00830
Q9BTZ2,hsa04146
P20132,hsa01100
P20132,hsa00270
P20132,hsa01230
P20132,hsa00290
P20132,hsa00260
P20132,hsa01200
O43766,hsa00785
O43766,hsa01100
O43766,hsa01240
P28329,hsa04725
P28329,hsa00564
P17516,hsa05208
P17516,hsa00120
P17516,hsa00140
P17516,hsa01100
O95622,hsa04916
O95622,hsa04022
O95622,hsa04934
O95622,hsa04211
O95622,hsa04261
O95622,hsa04270
O95622,hsa04976
O95622,hsa04935
O95622,hsa04371
O95622,hsa04918
O95622,hsa05012
O95622,hsa04024
O95622,hsa04714
O95622,hsa00230
O95622,hsa04072
O95622,hsa04972
O95622,hsa04727
O95622,hsa01100
O95622,hsa04611
O95622,hsa04062
O95622,hsa04924
O95622,hsa04927
O95622,hsa04913
O95622,hsa04925
O95622,hsa04970
O95622,hsa05414
O95622,hsa04915
O95622,hsa05030
O95622,hsa04540
O95622,hsa04971
O95622,hsa04914
O95622,hsa04713
O95622,hsa05207
O95622,hsa04726
O95622,hsa04728
O95622,hsa04911
O95622,hsa04912
O95622,hsa05163
O95622,hsa04724
O95622,hsa04723
O95622,hsa04015
O95622,hsa04928
O95622,hsa04921
O95622,hsa05166
O95622,hsa04750
O95622,hsa04114
O95622,hsa01522
O95622,hsa05032
O95622,hsa05200
O95622,hsa05034
O95622,hsa04725
O95622,hsa05031
O95622,hsa04926
O95622,hsa04923
O95622,hsa04213
O14757,hsa05166
O14757,hsa05170
O14757,hsa04218
O14757,hsa05203
O14757,hsa04110
O14757,hsa04115
P31937,hsa00280
P31937,hsa01100
P62312,hsa03040
P62312,hsa03018
Q92918,hsa04010
O96017,hsa05166
O96017,hsa04218
O96017,hsa04110
O96017,hsa04115
Q9Y616,hsa04722
Q96KS0,hsa04066
Q96KS0,hsa05211
Q96KS0,hsa05200
Q9H6Z9,hsa05211
Q9H6Z9,hsa05200
Q9H6Z9,hsa04066
Q9Y5N1,hsa04080
Q8NBN7,hsa01100
Q8NBN7,hsa01240
Q8NBN7,hsa00830
P11229,hsa04725
P11229,hsa04024
P11229,hsa04810
P11229,hsa04080
P11229,hsa05010
P11229,hsa04020
P11229,hsa05022
P11229,hsa04151
P08172,hsa04080
P08172,hsa04725
P08172,hsa04151
P08172,hsa04024
P08172,hsa04810
P08172,hsa04020
P20309,hsa04911
P20309,hsa04742
P20309,hsa04080
P20309,hsa04970
P20309,hsa05010
P20309,hsa04810
P20309,hsa05022
P20309,hsa04725
P20309,hsa04020
P20309,hsa04971
P20309,hsa04972
Q99497,hsa05022
Q99497,hsa05012
P08173,hsa04080
P08173,hsa04725
P08173,hsa04810
P08912,hsa05022
P08912,hsa04810
P08912,hsa04020
P08912,hsa04725
P08912,hsa05010
P08912,hsa04080
P02708,hsa04080
P02708,hsa03265
Q96A70,hsa00330
Q96A70,hsa01100
Q15822,hsa04080
P32297,hsa04080
P32297,hsa05207
P32297,hsa04725
Q96GA7,hsa01230
Q96GA7,hsa01100
Q96GA7,hsa00260
Q96GA7,hsa00290
Q96GA7,hsa01200
Q96GA7,hsa00270
P43681,hsa04080
P43681,hsa04725
P43681,hsa05033
P43681,hsa05207
P30532,hsa04080
P36544,hsa04080
P36544,hsa05022
P36544,hsa04725
P36544,hsa05010
P36544,hsa05207
P36544,hsa05033
P36544,hsa04020
P17787,hsa04725
P17787,hsa04080
P17787,hsa05207
P17787,hsa05033
Q05901,hsa04080
P30926,hsa04725
P30926,hsa05207
P30926,hsa04080
O15111,hsa04380
O15111,hsa04621
O15111,hsa05131
O15111,hsa05169
O15111,hsa04150
O15111,hsa04662
O15111,hsa04014
O15111,hsa01523
O15111,hsa05208
O15111,hsa04623
O15111,hsa05200
O15111,hsa05130
O15111,hsa04625
O15111,hsa05167
O15111,hsa05418
O15111,hsa05220
O15111,hsa05417
O15111,hsa04068
O15111,hsa05166
O15111,hsa05171
O15111,hsa04668
O15111,hsa04620
O15111,hsa05162
O15111,hsa05132
O15111,hsa05168
O15111,hsa04658
O15111,hsa05145
O15111,hsa05160
O15111,hsa05170
O15111,hsa05161
O15111,hsa05222
O15111,hsa05163
O15111,hsa05235
O15111,hsa04062
O15111,hsa04936
O15111,hsa04010
O15111,hsa05010
O15111,hsa05221
O15111,hsa05135
O15111,hsa04064
O15111,hsa04657
O15111,hsa05215
O15111,hsa04660
O15111,hsa05142
O15111,hsa05212
O15111,hsa05120
O15111,hsa04622
O15111,hsa04151
O15111,hsa05164
O15111,hsa04659
O15111,hsa04920
O15111,hsa05165
O15111,hsa04210
P12277,hsa01100
P12277,hsa00330
P06732,hsa01100
P06732,hsa00330
P17540,hsa01100
P17540,hsa00330
P61024,hsa05200
P61024,hsa05222
Q8TCU5,hsa05020
Q8TCU5,hsa05031
Q8TCU5,hsa04024
Q8TCU5,hsa04724
Q8TCU5,hsa05033
Q8TCU5,hsa05017
Q8TCU5,hsa05034
Q8TCU5,hsa04080
Q8TCU5,hsa05030
Q8TCU5,hsa04020
O60391,hsa05020
O60391,hsa04020
O60391,hsa04024
O60391,hsa05031
O60391,hsa05030
O60391,hsa05034
O60391,hsa04724
O60391,hsa05033
O60391,hsa05017
O60391,hsa04080
P51788,hsa04978
P10909,hsa04610
Q9H4Y5,hsa00983
Q9H4Y5,hsa05200
Q9H4Y5,hsa00480
Q9H4Y5,hsa05207
Q9H4Y5,hsa01524
Q9H4Y5,hsa01100
Q9H4Y5,hsa05208
Q9H4Y5,hsa00980
Q9H4Y5,hsa00982
Q9H4Y5,hsa05225
Q9H4Y5,hsa05204
Q9H4Y5,hsa05418
Q5S007,hsa05012
Q5S007,hsa05022
Q8N8R3,hsa04714
P51681,hsa04144
P51681,hsa03260
P51681,hsa04061
P51681,hsa03250
P51681,hsa05163
P51681,hsa05167
P51681,hsa04060
P51681,hsa05170
P51681,hsa05203
P51681,hsa05145
P51681,hsa04062
P07327,hsa04936
P07327,hsa00830
P07327,hsa00010
P07327,hsa00982
P07327,hsa01100
P07327,hsa00980
P07327,hsa00620
P07327,hsa00071
P07327,hsa00350
Q92887,hsa02010
Q92887,hsa01523
Q92887,hsa01524
Q92887,hsa04976
Q5JPH6,hsa00970
Q5JPH6,hsa01240
Q5JPH6,hsa00860
Q5JPH6,hsa01100
P00325,hsa00620
P00325,hsa00350
P00325,hsa00010
P00325,hsa00071
P00325,hsa04936
P00325,hsa00830
P00325,hsa01100
P00325,hsa00980
P00325,hsa00982
P00326,hsa04936
P00326,hsa01100
P00326,hsa00980
P00326,hsa00350
P00326,hsa00620
P00326,hsa00071
P00326,hsa00010
P00326,hsa00830
P00326,hsa00982
Q9H4B4,hsa05152
Q9H4B4,hsa04625
Q9H4B4,hsa04068
Q86Y39,hsa01100
Q86Y39,hsa04714
Q86Y39,hsa04723
Q86Y39,hsa05010
Q86Y39,hsa04932
Q86Y39,hsa05022
Q86Y39,hsa05016
Q86Y39,hsa05014
Q86Y39,hsa05415
Q86Y39,hsa05208
Q86Y39,hsa05012
Q86Y39,hsa05020
Q86Y39,hsa00190
P21554,hsa04080
P21554,hsa04015
P21554,hsa04714
P21554,hsa04723
P34972,hsa04080
P08319,hsa00620
P08319,hsa00350
P08319,hsa00980
P08319,hsa00010
P08319,hsa00830
P08319,hsa01100
P08319,hsa00982
P08319,hsa04936
P08319,hsa00071
P11766,hsa00350
P11766,hsa00620
P11766,hsa00982
P11766,hsa01200
P11766,hsa00071
P11766,hsa00980
