uniprot,pathway_id
O15350,R-HSA-139915
P04637,R-HSA-139915
O75914,R-HSA-428540
O96013,R-HSA-428540
P63000,R-HSA-428540
Q13153,R-HSA-428540
Q13177,R-HSA-428540
Q9NQU5,R-HSA-428540
Q9P286,R-HSA-428540
P0DP23,R-HSA-9619229
P63000,R-HSA-9619229
Q14012,R-HSA-9619229
Q8N5S9,R-HSA-9619229
Q96RR4,R-HSA-9619229
P48729,R-HSA-5635838
Q99835,R-HSA-5635838
P01100,R-HSA-450341
P05412,R-HSA-450341
P15336,R-HSA-450341
P27361,R-HSA-450341
P28482,R-HSA-450341
P45983,R-HSA-450341
P45984,R-HSA-450341
P53779,R-HSA-450341
Q15759,R-HSA-450341
Q16539,R-HSA-450341
P60842,R-HSA-72662
P08100,R-HSA-2485179
P16499,R-HSA-2485179
P18545,R-HSA-2485179
P35913,R-HSA-2485179
P09884,R-HSA-68962
P24941,R-HSA-68962
P56282,R-HSA-68962
Q07864,R-HSA-68962
Q14181,R-HSA-68962
Q9NR33,R-HSA-68962
Q9NRF9,R-HSA-68962
O15111,hsa05221
P07333,hsa05221
P31749,hsa05221
P36888,hsa05221
P42345,hsa05221
O14920,hsa05221
P08700,hsa05221
P14923,hsa05221
P10721,hsa05221
P05164,hsa05221
P01106,hsa05221
P19838,hsa05221
Q9UJU2,hsa05221
P42336,hsa05221
P42338,hsa05221
P11309,hsa05221
O00329,hsa05221
P27986,hsa05221
O00459,hsa05221
P29590,hsa05221
Q03181,hsa05221
P28482,hsa05221
P27361,hsa05221
Q02750,hsa05221
P36507,hsa05221
P04049,hsa05221
P10276,hsa05221
P24385,hsa05221
Q04206,hsa05221
P15056,hsa05221
P51692,hsa05221
Q92569,hsa05221
P60568,WP4298
P40939,R-HSA-1482798
P47712,R-HSA-1482798
P04054,R-HSA-1482788
P14555,R-HSA-1482788
P47712,R-HSA-1482788
Q9NZK7,R-HSA-1482788
Q9UNK4,R-HSA-1482788
P04054,R-HSA-1482839
P14555,R-HSA-1482839
P47712,R-HSA-1482839
Q9NZK7,R-HSA-1482839
Q9UNK4,R-HSA-1482839
P04054,R-HSA-1482925
P14555,R-HSA-1482925
P47712,R-HSA-1482925
Q9NZK7,R-HSA-1482925
Q9UNK4,R-HSA-1482925
P04054,R-HSA-1482922
P14555,R-HSA-1482922
P47712,R-HSA-1482922
Q9NZK7,R-HSA-1482922
Q9UNK4,R-HSA-1482922
P04054,R-HSA-1482801
P14555,R-HSA-1482801
P47712,R-HSA-1482801
Q9NZK7,R-HSA-1482801
Q9UNK4,R-HSA-1482801
P29274,R-HSA-417973
P29275,R-HSA-417973
P30542,R-HSA-417973
O95622,R-HSA-170660
Q08462,R-HSA-170660
Q08828,R-HSA-170660
O95622,R-HSA-170670
Q08462,R-HSA-170670
Q08828,R-HSA-170670
P33151,hsa04520
P68400,hsa04520
P19784,hsa04520
P35222,hsa04520
P00533,hsa04520
P04626,hsa04520
P16591,hsa04520
P11362,hsa04520
P06241,hsa04520
P08069,hsa04520
P06213,hsa04520
P08581,hsa04520
Q9UJU2,hsa04520
P28482,hsa04520
P27361,hsa04520
P29350,hsa04520
P63000,hsa04520
P15153,hsa04520
P12931,hsa04520
P36897,hsa04520
P37173,hsa04520
P63261,hsa04520
P07947,hsa04520
P12814,hsa04520
O75116,hsa04520
P14923,R-HSA-418990
P33151,R-HSA-418990
P35222,R-HSA-418990
P63261,R-HSA-418990
Q96RR4,hsa04920
O15111,hsa04920
P50416,hsa04920
P31749,hsa04920
O60488,hsa04920
P42345,hsa04920
O00763,hsa04920
O14920,hsa04920
O60674,hsa04920
P19838,hsa04920
P25963,hsa04920
P01303,hsa04920
Q9UGJ0,hsa04920
Q9UGI9,hsa04920
P01189,hsa04920
Q07869,hsa04920
Q13131,hsa04920
P54646,hsa04920
Q9Y478,hsa04920
O43741,hsa04920
P54619,hsa04920
Q04759,hsa04920
P45983,hsa04920
P45984,hsa04920
P53779,hsa04920
Q04206,hsa04920
P19793,hsa04920
P28702,hsa04920
P48443,hsa04920
P01375,hsa04920
O95622,R-HSA-9660821
P05231,R-HSA-9660821
P16220,R-HSA-9660821
P17612,R-HSA-9660821
P22694,R-HSA-9660821
P29275,R-HSA-9660821
P59768,R-HSA-9660821
Q08462,R-HSA-9660821
Q08828,R-HSA-9660821
P47712,R-HSA-418592
P47900,R-HSA-418592
P59768,R-HSA-418592
Q16539,R-HSA-418592
P59768,R-HSA-392170
Q9H244,R-HSA-392170
P08913,R-HSA-392023
P18089,R-HSA-392023
P18825,R-HSA-392023
O95622,R-HSA-400042
P08913,R-HSA-400042
P18825,R-HSA-400042
P54284,R-HSA-400042
P59768,R-HSA-400042
Q01668,R-HSA-400042
Q08289,R-HSA-400042
Q13936,R-HSA-400042
O60359,hsa04261
Q9Y698,hsa04261
Q08828,hsa04261
Q08462,hsa04261
O95622,hsa04261
P16220,hsa04261
P15336,hsa04261
Q16539,hsa04261
P25100,hsa04261
P35368,hsa04261
P35348,hsa04261
P08588,hsa04261
P07550,hsa04261
P30556,hsa04261
P31749,hsa04261
Q9UF02,hsa04261
Q9UBN1,hsa04261
P15382,hsa04261
O95069,hsa04261
P51787,hsa04261
P18848,hsa04261
P05023,hsa04261
P50993,hsa04261
P13637,hsa04261
P54710,hsa04261
O14983,hsa04261
P16615,hsa04261
P20020,hsa04261
Q01814,hsa04261
Q16720,hsa04261
P23634,hsa04261
P48736,hsa04261
P67775,hsa04261
P62714,hsa04261
P17612,hsa04261
P22694,hsa04261
P17252,hsa04261
P28482,hsa04261
