"DrugBank.ID","UniProt.Protein.ID"
"DB01215","P48169"
"DB00842","P48169"
"DB01351","P48169"
"DB14028","P48169"
"DB01589","P48169"
"DB01353","P48169"
"DB01437","P48169"
"DB01544","P48169"
"DB01511","P48169"
"DB00312","P48169"
"DB01476","P48169"
"DB00849","P48169"
"DB00683","P48169"
"DB00404","P48169"
"DB01174","P48169"
"DB00628","P48169"
"DB00801","P48169"
"DB01545","P48169"
"DB01198","P48169"
"DB01594","P48169"
"DB06716","P48169"
"DB01595","P48169"
"DB00418","P48169"
"DB09166","P48169"
"DB01068","P48169"
"DB01154","P48169"
"DB00273","P48169"
"DB08811","P48169"
"DB00349","P48169"
"DB09017","P48169"
"DB01352","P48169"
"DB00546","P48169"
"DB01588","P48169"
"DB00897","P48169"
"DB00186","P48169"
"DB00371","P48169"
"DB00475","P48169"
"DB00306","P48169"
"DB00690","P48169"
"DB01355","P48169"
"DB09302","Q8NBP7"
"DB09303","Q8NBP7"
"DB01553","P31644"
"DB01352","P31644"
"DB01545","P31644"
"DB00349","P31644"
"DB00404","P31644"
"DB06716","P31644"
"DB02530","P31644"
"DB01589","P31644"
"DB01588","P31644"
"DB00186","P31644"
"DB00818","P31644"
"DB00463","P31644"
"DB01351","P31644"
"DB01154","P31644"
"DB01355","P31644"
"DB00849","P31644"
"DB01476","P31644"
"DB00306","P31644"
"DB00690","P31644"
"DB00475","P31644"
"DB01437","P31644"
"DB06554","P31644"
"DB01198","P31644"
"DB00237","P31644"
"DB08811","P31644"
"DB00312","P31644"
"DB01353","P31644"
"DB01068","P31644"
"DB00897","P31644"
"DB01215","P31644"
"DB00546","P31644"
"DB00418","P31644"
"DB01205","P31644"
"DB00829","P31644"
"DB01544","P31644"
"DB09166","P31644"
"DB00231","P31644"
"DB00801","P31644"
"DB00628","P31644"
"DB14028","P31644"
"DB00371","P31644"
"DB01559","P31644"
"DB01174","P31644"
"DB00683","P31644"
"DB09017","P31644"
"DB01567","P31644"
"DB00273","P31644"
"DB00842","P31644"
"DB01558","P31644"
"DB01511","P31644"
"DB01594","P31644"
"DB01595","P31644"
"DB01511","Q16445"
"DB01553","Q16445"
"DB00690","Q16445"
"DB00818","Q16445"
"DB00628","Q16445"
"DB01353","Q16445"
"DB09166","Q16445"
"DB00186","Q16445"
"DB00231","Q16445"
"DB06716","Q16445"
"DB08811","Q16445"
"DB01589","Q16445"
"DB01558","Q16445"
"DB01476","Q16445"
"DB01352","Q16445"
"DB00801","Q16445"
"DB01174","Q16445"
"DB01205","Q16445"
"DB00897","Q16445"
"DB01215","Q16445"
"DB06554","Q16445"
"DB00683","Q16445"
"DB14028","Q16445"
"DB00829","Q16445"
"DB00306","Q16445"
"DB01545","Q16445"
"DB09017","Q16445"
"DB01594","Q16445"
"DB01567","Q16445"
"DB00463","Q16445"
"DB01588","Q16445"
"DB00546","Q16445"
"DB00842","Q16445"
"DB01437","Q16445"
"DB01559","Q16445"
"DB00404","Q16445"
"DB00237","Q16445"
"DB01154","Q16445"
"DB02530","Q16445"
"DB01544","Q16445"
"DB01198","Q16445"
"DB00849","Q16445"
"DB01595","Q16445"
"DB00371","Q16445"
"DB00273","Q16445"
"DB01355","Q16445"
"DB00418","Q16445"
"DB01351","Q16445"
"DB01068","Q16445"
"DB00349","Q16445"
"DB00475","Q16445"
"DB00312","Q16445"
"DB01352","P18505"
"DB01215","P18505"
"DB06716","P18505"
"DB01068","P18505"
"DB01351","P18505"
"DB00546","P18505"
"DB01205","P18505"
"DB00842","P18505"
"DB01553","P18505"
"DB14028","P18505"
"DB01353","P18505"
"DB01558","P18505"
"DB00371","P18505"
"DB00897","P18505"
"DB02530","P18505"
"DB01595","P18505"
"DB00849","P18505"
"DB00690","P18505"
"DB00306","P18505"
"DB00475","P18505"
"DB00237","P18505"
"DB01594","P18505"
"DB00349","P18505"
"DB00418","P18505"
"DB00463","P18505"
"DB01588","P18505"
"DB00312","P18505"
"DB01545","P18505"
"DB00801","P18505"
"DB01174","P18505"
"DB01355","P18505"
"DB01437","P18505"
"DB00628","P18505"
"DB06554","P18505"
"DB01476","P18505"
"DB00186","P18505"
"DB01154","P18505"
"DB01567","P18505"
"DB00829","P18505"
"DB00683","P18505"
"DB09166","P18505"
"DB01589","P18505"
"DB01511","P18505"
"DB09017","P18505"
"DB01544","P18505"
"DB01198","P18505"
"DB00404","P18505"
"DB00231","P18505"
"DB00273","P18505"
"DB01559","P18505"
"DB00818","P18505"
"DB08811","P18505"
"DB01198","P47870"
"DB01437","P47870"
"DB00231","P47870"
"DB01588","P47870"
"DB00628","P47870"
"DB00463","P47870"
"DB00312","P47870"
"DB00418","P47870"
"DB00801","P47870"
"DB00371","P47870"
"DB01352","P47870"
"DB01476","P47870"
"DB00897","P47870"
"DB01553","P47870"
"DB06554","P47870"
"DB00849","P47870"
"DB00546","P47870"
"DB01353","P47870"
"DB00273","P47870"
"DB01559","P47870"
"DB00237","P47870"
"DB00306","P47870"
"DB01351","P47870"
"DB01589","P47870"
"DB00829","P47870"
"DB00349","P47870"
"DB01595","P47870"
"DB01154","P47870"
"DB00842","P47870"
"DB01215","P47870"
"DB01545","P47870"
"DB01511","P47870"
"DB14028","P47870"
"DB01558","P47870"
"DB01205","P47870"
"DB01174","P47870"
"DB06716","P47870"
"DB02530","P47870"
"DB09166","P47870"
"DB01567","P47870"
"DB00475","P47870"
"DB01594","P47870"
"DB00818","P47870"
"DB01068","P47870"
"DB08811","P47870"
"DB00690","P47870"
"DB01355","P47870"
"DB01544","P47870"
"DB09017","P47870"
"DB00683","P47870"
"DB00186","P47870"
"DB00404","P47870"
"DB00312","P28472"
"DB01559","P28472"
"DB00186","P28472"
"DB00463","P28472"
"DB00306","P28472"
"DB01353","P28472"
"DB01544","P28472"
"DB00842","P28472"
"DB01588","P28472"
"DB00849","P28472"
"DB01511","P28472"
"DB01567","P28472"
"DB01558","P28472"
"DB01476","P28472"
"DB00683","P28472"
"DB01174","P28472"
"DB02530","P28472"
"DB01068","P28472"
"DB00475","P28472"
"DB01205","P28472"
"DB01594","P28472"
"DB01595","P28472"
"DB09166","P28472"
"DB01215","P28472"
"DB00690","P28472"
"DB01355","P28472"
"DB01589","P28472"
"DB09017","P28472"
"DB01154","P28472"
"DB01198","P28472"
"DB00404","P28472"
"DB00349","P28472"
"DB00273","P28472"
"DB00818","P28472"
"DB01351","P28472"
"DB08811","P28472"
"DB00897","P28472"
"DB01437","P28472"
"DB00546","P28472"
"DB01553","P28472"
"DB00801","P28472"
"DB00628","P28472"
"DB00231","P28472"
"DB00237","P28472"
"DB01352","P28472"
"DB00418","P28472"
"DB00829","P28472"
"DB06554","P28472"
"DB14028","P28472"
"DB01545","P28472"
"DB00371","P28472"
"DB06716","P28472"
"DB00546","O14764"
"DB06716","O14764"
"DB00801","O14764"
"DB00306","O14764"
"DB01353","O14764"
"DB01567","O14764"
"DB01594","O14764"
"DB00231","O14764"
"DB00475","O14764"
"DB01545","O14764"
"DB01559","O14764"
"DB01553","O14764"
"DB00371","O14764"
"DB01198","O14764"
"DB09166","O14764"
"DB00628","O14764"
"DB01215","O14764"
"DB01437","O14764"
"DB00690","O14764"
"DB01511","O14764"
"DB00349","O14764"
"DB00186","O14764"
"DB01351","O14764"
"DB00463","O14764"
"DB06554","O14764"
"DB01352","O14764"
"DB08811","O14764"
"DB00418","O14764"
"DB01476","O14764"
"DB01588","O14764"
"DB01544","O14764"
"DB01595","O14764"
"DB14028","O14764"
"DB00897","O14764"
"DB02530","O14764"
"DB00842","O14764"
"DB01174","O14764"
"DB00404","O14764"
"DB00818","O14764"
"DB01558","O14764"
"DB01205","O14764"
"DB00849","O14764"
"DB01154","O14764"
"DB00829","O14764"
"DB01068","O14764"
"DB01355","O14764"
"DB00683","O14764"
"DB01589","O14764"
"DB00273","O14764"
"DB00237","O14764"
"DB09017","O14764"
"DB00312","O14764"
"DB02530","P78334"
"DB01558","P78334"
"DB01559","P78334"
"DB01352","P78334"
"DB00312","P78334"
"DB00829","P78334"
"DB01476","P78334"
"DB01174","P78334"
"DB01068","P78334"
"DB09017","P78334"
"DB01594","P78334"
"DB01205","P78334"
"DB01511","P78334"
"DB01545","P78334"
"DB00306","P78334"
"DB09166","P78334"
"DB00818","P78334"
"DB06554","P78334"
"DB06716","P78334"
"DB01588","P78334"
"DB00418","P78334"
"DB00237","P78334"
"DB01215","P78334"
"DB00371","P78334"
"DB00628","P78334"
"DB00186","P78334"
"DB00231","P78334"
"DB00842","P78334"
"DB01553","P78334"
"DB01351","P78334"
"DB00690","P78334"
"DB00897","P78334"
"DB14028","P78334"
"DB01567","P78334"
"DB01589","P78334"
"DB01355","P78334"
"DB01154","P78334"
"DB00801","P78334"
"DB00273","P78334"
"DB01353","P78334"
"DB00463","P78334"
"DB01437","P78334"
"DB01595","P78334"
"DB00683","P78334"
"DB00849","P78334"
"DB01198","P78334"
"DB00349","P78334"
"DB08811","P78334"
"DB00546","P78334"
"DB00404","P78334"
"DB00475","P78334"
"DB01544","P78334"
"DB06716","Q8N1C3"
"DB00349","Q8N1C3"
"DB09166","Q8N1C3"
"DB01437","Q8N1C3"
"DB00273","Q8N1C3"
"DB00829","Q8N1C3"
"DB01205","Q8N1C3"
"DB00475","Q8N1C3"
"DB01544","Q8N1C3"
"DB06554","Q8N1C3"
"DB08811","Q8N1C3"
"DB00818","Q8N1C3"
"DB01068","Q8N1C3"
"DB00186","Q8N1C3"
"DB01558","Q8N1C3"
"DB01588","Q8N1C3"
"DB00418","Q8N1C3"
"DB00842","Q8N1C3"
"DB01476","Q8N1C3"
"DB01352","Q8N1C3"
"DB14028","Q8N1C3"
"DB01595","Q8N1C3"
"DB00231","Q8N1C3"
"DB01545","Q8N1C3"
"DB00463","Q8N1C3"
"DB00801","Q8N1C3"
"DB01589","Q8N1C3"
"DB00683","Q8N1C3"
"DB00546","Q8N1C3"
"DB00312","Q8N1C3"
"DB01154","Q8N1C3"
"DB01553","Q8N1C3"
"DB01355","Q8N1C3"
"DB00371","Q8N1C3"
"DB02530","Q8N1C3"
"DB01567","Q8N1C3"
"DB00628","Q8N1C3"
"DB01353","Q8N1C3"
"DB01559","Q8N1C3"
"DB01174","Q8N1C3"
"DB00306","Q8N1C3"
"DB01351","Q8N1C3"
"DB00237","Q8N1C3"
"DB01198","Q8N1C3"
"DB00404","Q8N1C3"
"DB00897","Q8N1C3"
"DB01511","Q8N1C3"
"DB00849","Q8N1C3"
"DB09017","Q8N1C3"
"DB00690","Q8N1C3"
"DB01594","Q8N1C3"
"DB01215","Q8N1C3"
"DB01559","P18507"
"DB01595","P18507"
"DB00231","P18507"
"DB01476","P18507"
"DB00842","P18507"
"DB01352","P18507"
"DB01558","P18507"
"DB00801","P18507"
"DB01545","P18507"
"DB00690","P18507"
"DB00829","P18507"
"DB00404","P18507"
"DB00371","P18507"
"DB01198","P18507"
"DB00237","P18507"
"DB14028","P18507"
"DB00628","P18507"
"DB02530","P18507"
"DB01567","P18507"
"DB01437","P18507"
"DB00306","P18507"
"DB01353","P18507"
"DB00849","P18507"
"DB01215","P18507"
"DB01154","P18507"
"DB00418","P18507"
"DB01544","P18507"
"DB09017","P18507"
"DB01355","P18507"
"DB01594","P18507"
"DB01068","P18507"
"DB01174","P18507"
"DB01553","P18507"
"DB00349","P18507"
"DB00546","P18507"
"DB01351","P18507"
"DB00186","P18507"
"DB08811","P18507"
"DB00463","P18507"
"DB01205","P18507"
"DB01511","P18507"
"DB01588","P18507"
"DB00273","P18507"
"DB00312","P18507"
"DB09166","P18507"
"DB01589","P18507"
"DB00475","P18507"
"DB06716","P18507"
"DB00897","P18507"
"DB06554","P18507"
"DB00683","P18507"
"DB00818","P18507"
"DB01511","Q99928"
"DB00690","Q99928"
"DB09166","Q99928"
"DB00829","Q99928"
"DB01352","Q99928"
"DB00546","Q99928"
"DB00897","Q99928"
"DB00231","Q99928"
"DB01544","Q99928"
"DB01198","Q99928"
"DB00349","Q99928"
"DB00475","Q99928"
"DB00371","Q99928"
"DB01545","Q99928"
"DB00842","Q99928"
"DB00418","Q99928"
"DB01588","Q99928"
"DB01567","Q99928"
"DB01559","Q99928"
"DB00312","Q99928"
"DB14028","Q99928"
"DB01437","Q99928"
"DB00463","Q99928"
"DB00273","Q99928"
"DB08811","Q99928"
"DB02530","Q99928"
"DB06716","Q99928"
"DB00818","Q99928"
"DB01174","Q99928"
"DB01353","Q99928"
"DB01068","Q99928"
"DB00186","Q99928"
"DB01154","Q99928"
"DB01594","Q99928"
"DB01355","Q99928"
"DB06554","Q99928"
"DB00683","Q99928"
"DB01595","Q99928"
"DB01215","Q99928"
"DB09017","Q99928"
"DB01351","Q99928"
"DB00306","Q99928"
"DB00849","Q99928"
"DB00628","Q99928"
"DB01589","Q99928"
"DB01558","Q99928"
"DB00237","Q99928"
"DB01553","Q99928"
"DB00801","Q99928"
"DB00404","Q99928"
"DB01205","Q99928"
"DB01476","Q99928"
"DB00371","O00591"
"DB01567","O00591"
"DB00404","O00591"
"DB01595","O00591"
"DB00690","O00591"
"DB00801","O00591"
"DB01511","O00591"
"DB00628","O00591"
"DB01174","O00591"
"DB02530","O00591"
"DB09166","O00591"
"DB01589","O00591"
"DB14028","O00591"
"DB00312","O00591"
"DB00273","O00591"
"DB01476","O00591"
"DB01558","O00591"
"DB01353","O00591"
"DB00475","O00591"
"DB01553","O00591"
"DB01544","O00591"
"DB06554","O00591"
"DB00842","O00591"
"DB00418","O00591"
"DB00186","O00591"
"DB00349","O00591"
"DB00231","O00591"
"DB01352","O00591"
"DB00546","O00591"
"DB01068","O00591"
"DB00683","O00591"
"DB01594","O00591"
"DB00237","O00591"
"DB00849","O00591"
"DB00829","O00591"
"DB00818","O00591"
"DB01154","O00591"
"DB01545","O00591"
"DB01437","O00591"
"DB01198","O00591"
"DB01215","O00591"
"DB08811","O00591"
"DB00897","O00591"
"DB01355","O00591"
"DB01351","O00591"
"DB09017","O00591"
"DB00463","O00591"
"DB01205","O00591"
"DB01588","O00591"
"DB00306","O00591"
"DB01559","O00591"
"DB06716","O00591"
"DB00313","Q99259"
"DB00313","Q05329"
"DB09051","P34059"
"DB04878","Q8TET4"
"DB00284","Q8TET4"
"DB00491","Q8TET4"
"DB00642","P22102"
"DB00053","P04062"
"DB08876","P04062"
"DB06720","P04062"
"DB00040","P47871"
"DB01125","P38435"
"DB15093","P10912"
"DB01277","P10912"
"DB09098","P10912"
"DB08869","Q02643"
"DB13074","Q92847"
"DB00651","Q9NP56"
"DB13242","Q9NP56"
"DB00277","Q9NP56"
"DB00824","Q9NP56"
"DB01223","Q9NP56"
"DB01303","Q9NP56"
"DB01113","Q9NP56"
"DB09045","P43220"
"DB01276","P43220"
"DB09043","P43220"
"DB09265","P43220"
"DB14027","P43220"
"DB06655","P43220"
"DB00284","P04746"
"DB00106","P30968"
"DB00050","P30968"
"DB00014","P30968"
"DB00007","P30968"
"DB06785","P30968"
"DB06719","P30968"
"DB06699","P30968"
"DB06825","P30968"
"DB06788","P30968"
"DB00284","P19961"
"DB00363","A5X5Y0"
"DB00904","A5X5Y0"
"DB00969","A5X5Y0"
"DB00377","A5X5Y0"
"DB00370","A5X5Y0"
"DB09068","A5X5Y0"
"DB04885","A5X5Y0"
"DB09290","A5X5Y0"
"DB00740","P42261"
"DB04982","P42261"
"DB08883","P42261"
"DB00273","P42261"
"DB00740","P42262"
"DB08883","P42262"
"DB04982","P42262"
"DB00273","P42262"
"DB00740","P42263"
"DB00273","P42263"
"DB08883","P42263"
"DB04982","P42263"
"DB00740","P48058"
"DB04982","P48058"
"DB00273","P48058"
"DB08883","P48058"
"DB00273","P39086"
"DB00740","P39086"
"DB00740","Q13002"
"DB00273","Q13002"
"DB00740","Q13003"
"DB00273","Q13003"
"DB00273","Q16099"
"DB00740","Q16099"
"DB00273","Q16478"
"DB00740","Q16478"
"DB01043","Q05586"
"DB01221","Q05586"
"DB11549","Q05586"
"DB00740","Q05586"
"DB11823","Q05586"
"DB00949","Q05586"
"DB00333","Q05586"
"DB00659","Q05586"
"DB00514","Q05586"
"DB01173","Q05586"
"DB11823","Q12879"
"DB00333","Q12879"
"DB00740","Q12879"
"DB00949","Q12879"
"DB01043","Q12879"
"DB00514","Q12879"
"DB00659","Q12879"
"DB11549","Q12879"
"DB01221","Q12879"
"DB01173","Q12879"
"DB01221","Q13224"
"DB00514","Q13224"
"DB11823","Q13224"
"DB00740","Q13224"
"DB11549","Q13224"
"DB00333","Q13224"
"DB00949","Q13224"
"DB01173","Q13224"
"DB01043","Q13224"
"DB00659","Q13224"
"DB11823","Q14957"
"DB00949","Q14957"
"DB00514","Q14957"
"DB01043","Q14957"
"DB11549","Q14957"
"DB00740","Q14957"
"DB00333","Q14957"
"DB01173","Q14957"
"DB01221","Q14957"
"DB00659","Q14957"
"DB11823","O15399"
"DB00333","O15399"
"DB01043","O15399"
"DB00949","O15399"
"DB11549","O15399"
"DB00514","O15399"
"DB00659","O15399"
"DB00740","O15399"
"DB01221","O15399"
"DB01173","O15399"
"DB14543","P04150"
"DB06786","P04150"
"DB06781","P04150"
"DB00253","P04150"
"DB00764","P04150"
"DB01384","P04150"
"DB00834","P04150"
"DB09378","P04150"
"DB01380","P04150"
"DB01234","P04150"
"DB13223","P04150"
"DB11921","P04150"
"DB14681","P04150"
"DB00223","P04150"
"DB14649","P04150"
"DB01260","P04150"
"DB00394","P04150"
"DB01410","P04150"
"DB00591","P04150"
"DB14540","P04150"
"DB00663","P04150"
"DB08906","P04150"
"DB01013","P04150"
"DB14596","P04150"
"DB00635","P04150"
"DB00620","P04150"
"DB14539","P04150"
"DB00443","P04150"
"DB13867","P04150"
"DB00288","P04150"
"DB14632","P04150"
"DB00588","P04150"
"DB13158","P04150"
"DB14538","P04150"
"DB00959","P04150"
"DB00896","P04150"
"DB14657","P04150"
"DB01222","P04150"
"DB14541","P04150"
"DB01047","P04150"
"DB14545","P04150"
"DB13843","P04150"
"DB00860","P04150"
"DB00846","P04150"
"DB14512","P04150"
"DB14646","P04150"
"DB00741","P04150"
"DB00838","P04150"
"DB00240","P04150"
"DB00324","P04150"
"DB11714","Q9NZQ7"
"DB11595","Q9NZQ7"
"DB01612","P33402"
"DB09220","P33402"
"DB15456","P33402"
"DB08931","P33402"
"DB15456","Q02108"
"DB01612","Q02108"
"DB08931","Q02108"
"DB09220","Q02108"
"DB01612","Q02153"
"DB08931","Q02153"
"DB15456","Q02153"
"DB09220","Q02153"
"DB08890","P25092"
"DB00973","Q9UHC9"
"DB00407","P05546"
"DB06271","P05546"
"DB09034","O43613"
"DB09034","O43614"
"DB06176","Q13547"
"DB02546","Q13547"
"DB06603","Q13547"
"DB06603","Q92769"
"DB06176","Q92769"
"DB02546","Q92769"
"DB06266","P19367"
"DB06266","P52789"
"DB06266","P52790"
"DB00641","P04035"
"DB01095","P04035"
"DB00175","P04035"
"DB01076","P04035"
"DB00227","P04035"
"DB08860","P04035"
"DB01098","P04035"
"DB01033","P00492"
"DB00352","P00492"
"DB00950","P35367"
"DB08800","P35367"
"DB01084","P35367"
"DB01106","P35367"
"DB01142","P35367"
"DB09007","P35367"
"DB01619","P35367"
"DB06691","P35367"
"DB00637","P35367"
"DB06698","P35367"
"DB01173","P35367"
"DB08799","P35367"
"DB00902","P35367"
"DB00557","P35367"
"DB00737","P35367"
"DB00455","P35367"
"DB00751","P35367"
"DB00835","P35367"
"DB05381","P35367"
"DB06457","P35367"
"DB00985","P35367"
"DB01146","P35367"
"DB01246","P35367"
"DB01176","P35367"
"DB00342","P35367"
"DB01071","P35367"
"DB00334","P35367"
"DB01075","P35367"
"DB00972","P35367"
"DB08802","P35367"
"DB00920","P35367"
"DB08801","P35367"
"DB00427","P35367"
"DB00283","P35367"
"DB00354","P35367"
"DB04890","P35367"
"DB00477","P35367"
"DB09488","P35367"
"DB00967","P35367"
"DB06766","P35367"
"DB00568","P35367"
"DB01114","P35367"
"DB06282","P35367"
"DB01069","P35367"
"DB00366","P35367"
"DB00863","P25021"
"DB00585","P25021"
"DB08806","P25021"
"DB05381","P25021"
"DB00501","P25021"
"DB08805","P25021"
"DB12770","P25021"
"DB00927","P25021"
"DB01108","P14060"
"DB01108","P26439"
"DB09128","P08908"
"DB01621","P08908"
"DB06216","P08908"
"DB01238","P08908"
"DB04908","P08908"
"DB08810","P08908"
"DB06016","P08908"
"DB09225","P08908"
"DB00247","P08908"
"DB00696","P08908"
"DB06684","P08908"
"DB00490","P08908"
"DB14185","P08908"
"DB09068","P08908"
"DB06393","P08908"
"DB00952","P28222"
"DB00669","P28222"
"DB00953","P28222"
"DB09225","P28222"
"DB00315","P28222"
"DB00320","P28222"
"DB00696","P28222"
"DB00998","P28222"
"DB00216","P28222"
"DB08810","P28222"
"DB08810","P28221"
"DB00952","P28221"
"DB00953","P28221"
"DB09225","P28221"
"DB00315","P28221"
"DB00216","P28221"
"DB00669","P28221"
"DB00320","P28221"
"DB00574","P28221"
"DB00696","P28221"
"DB00998","P28221"
"DB09225","P28566"
"DB08810","P28566"
"DB08810","P30939"
"DB09225","P30939"
"DB14185","P28223"
"DB00247","P28223"
"DB06216","P28223"
"DB08810","P28223"
"DB00933","P28223"
"DB09000","P28223"
"DB09128","P28223"
"DB01238","P28223"
"DB01267","P28223"
"DB01224","P28223"
"DB04946","P28223"
"DB00370","P28223"
"DB01621","P28223"
"DB08815","P28223"
"DB06016","P28223"
"DB00604","P28223"
"DB09223","P28223"
"DB01149","P28223"
"DB00477","P28223"
"DB00363","P28223"
"DB01608","P28223"
"DB04908","P28223"
"DB00574","P28223"
"DB00334","P28223"
"DB00734","P28223"
"DB00246","P28223"
"DB00656","P28223"
"DB06144","P28223"
"DB00408","P28223"
"DB04908","P41595"
"DB08810","P41595"
"DB00656","P41595"
"DB00247","P41595"
"DB00370","P41595"
"DB00334","P41595"
"DB00477","P41595"
"DB01608","P41595"
"DB04946","P41595"
"DB08810","P28335"
"DB04946","P28335"
"DB06594","P28335"
"DB04908","P28335"
"DB06216","P28335"
"DB09014","P28335"
"DB00370","P28335"
"DB00477","P28335"
"DB01149","P28335"
"DB00574","P28335"
"DB00363","P28335"
"DB00334","P28335"
"DB09000","P28335"
"DB00656","P28335"
"DB04871","P28335"
"DB01608","P28335"
"DB00247","P28335"
"DB00969","P46098"
"DB09068","P46098"
"DB09290","P46098"
"DB00370","P46098"
"DB00604","P46098"
"DB04885","P46098"
"DB00377","P46098"
"DB00904","P46098"
"DB00363","P46098"
"DB00604","Q13639"
"DB01079","Q13639"
"DB08810","Q13639"
"DB06216","P50406"
"DB00334","P50406"
"DB00247","P34969"
"DB06216","P34969"
"DB05528","P04114"
"DB15067","P02656"
"DB09122","P17181"
"DB00068","P17181"
"DB00068","P48551"
"DB09122","P48551"
"DB01196","Q3ZCM7"
"DB01394","Q3ZCM7"
"DB00361","Q3ZCM7"
"DB04845","Q3ZCM7"
"DB01248","Q3ZCM7"
"DB00309","Q3ZCM7"
"DB06772","Q3ZCM7"
"DB08871","Q3ZCM7"
"DB00541","Q3ZCM7"
"DB08870","Q3ZCM7"
"DB05773","Q3ZCM7"
"DB01229","Q3ZCM7"
"DB08871","Q9BVA1"
"DB00309","Q9BVA1"
"DB05773","Q9BVA1"
"DB04845","Q9BVA1"
"DB01394","Q9BVA1"
"DB00361","Q9BVA1"
"DB01229","Q9BVA1"
"DB08870","Q9BVA1"
"DB06772","Q9BVA1"
"DB01248","Q9BVA1"
"DB01196","Q9BVA1"
"DB00541","Q9BVA1"
"DB00179","P05019"
"DB01277","P08069"
"DB09083","O60741"
"DB06372","P01583"
"DB06168","P01584"
"DB06372","P01584"
"DB00026","P14778"
"DB00111","P01589"
"DB06612","P05113"
"DB09036","P05231"
"DB08910","P05231"
"DB06273","P08887"
"DB05679","P29459"
"DB05679","P29460"
"DB11569","Q16552"
"DB09029","Q16552"
"DB00688","P20839"
"DB13243","P20839"
"DB00688","P12268"
"DB13243","P12268"
"DB01307","P06213"
"DB00047","P06213"
"DB01309","P06213"
"DB01306","P06213"
"DB09564","P06213"
"DB00046","P06213"
"DB00030","P06213"
"DB01185","P10275"
"DB06412","P10275"
"DB06718","P10275"
"DB00499","P10275"
"DB01471","P10275"
"DB00665","P10275"
"DB01406","P10275"
"DB01420","P10275"
"DB02901","P10275"
"DB00624","P10275"
"DB00621","P10275"
"DB11551","P10275"
"DB01708","P10275"
"DB14655","P10275"
"DB08899","P10275"
"DB01128","P10275"
"DB06710","P10275"
"DB08804","P10275"
"DB04839","P10275"
"DB12078","P10275"
"DB00984","P10275"
"DB11429","P10275"
"DB13943","P10275"
"DB01541","P10275"
"DB00054","P08514"
"DB09033","P13612"
"DB11611","P20701"
"DB00054","P05106"
"DB09033","P26010"
"DB08877","P23458"
"DB08895","P23458"
"DB11817","P23458"
"DB08877","O60674"
"DB11817","O60674"
"DB08895","O60674"
"DB08895","P52333"
"DB06637","Q09470"
"DB06637","P16389"
"DB06637","P22001"
"DB06637","P22459"
"DB01244","P22460"
"DB06637","P22460"
"DB06217","P22460"
"DB06637","P17658"
"DB06637","Q96RP8"
"DB06637","Q16322"
"DB06637","Q14721"
"DB06637","P48547"
"DB06637","Q96PR1"
"DB06637","Q14003"
"DB06637","Q03721"
"DB06637","Q9NSA2"
"DB06637","Q9NZV8"
"DB01244","Q9UK17"
"DB06217","Q9UK17"
"DB04855","Q9UK17"
"DB01118","Q9UK17"
"DB06637","Q9UK17"
"DB00342","Q12809"
"DB00907","Q12809"
"DB00204","Q12809"
"DB04855","Q12809"
"DB01244","Q12809"
"DB01118","Q12809"
"DB00308","Q12809"
"DB00217","P48048"
"DB01118","P48549"
"DB04855","P48549"
"DB01244","P48549"
"DB01244","P48544"
"DB01118","P48544"
"DB04855","P48544"
"DB01244","Q15842"
"DB01118","Q15842"
"DB01252","Q14654"
"DB09220","Q14654"
"DB00731","Q14654"
"DB01016","Q14654"
"DB01119","Q14654"
"DB01244","Q14654"
"DB01118","Q14654"
"DB01124","Q14654"
"DB00839","Q14654"
"DB00350","Q14654"
"DB00672","Q14654"
"DB00912","Q14654"
"DB01118","Q14500"
"DB01244","Q14500"
"DB00311","Q8N1Q1"
"DB00869","Q8N1Q1"
"DB00819","Q8N1Q1"
"DB00703","Q8N1Q1"
"DB01144","Q8N1Q1"
"DB01244","P51787"
"DB01118","P51787"
"DB04855","P51787"
"DB04953","P51787"
"DB04953","O43526"
"DB04953","O43525"
"DB06626","P35968"
"DB05294","P35968"
"DB09079","P35968"
"DB08896","P35968"
"DB09078","P35968"
"DB06595","P35968"
"DB05578","P35968"
"DB08875","P35968"
"DB06589","P35968"
"DB00398","P35968"
"DB01268","P35968"
"DB04868","P10721"
"DB01254","P10721"
"DB06589","P10721"
"DB11526","P10721"
"DB00619","P10721"
"DB08896","P10721"
"DB06595","P10721"
"DB01268","P10721"
"DB00398","P10721"
"DB15569","P01116"
"DB01254","P06239"
"DB09046","P48357"
"DB09126","P22888"
"DB11563","P38571"
"DB13521","P06858"
"DB00005","P01374"
"DB00780","P21397"
"DB01546","P21397"
"DB00191","P21397"
"DB01247","P21397"
"DB09244","P21397"
"DB04017","P21397"
"DB13876","P21397"
"DB04818","P21397"
"DB09245","P21397"
"DB01171","P21397"
"DB01626","P21397"
"DB00752","P21397"
"DB09247","P21397"
"DB00805","P21397"
"DB00191","P27338"
"DB09247","P27338"
"DB01546","P27338"
"DB04818","P27338"
"DB01367","P27338"
"DB00780","P27338"
"DB01037","P27338"
"DB01247","P27338"
"DB01626","P27338"
"DB00752","P27338"
"DB01285","Q01718"
"DB01284","Q01718"
"DB04865","Q07820"
"DB08875","P08581"
"DB00382","P22303"
"DB00545","P22303"
"DB00989","P22303"
"DB08996","P22303"
"DB00944","P22303"
"DB01400","P22303"
