Drug,Protein
DB01608,P35368
DB06764,P35368
DB00598,P35368
DB00226,P35368
DB00353,P35368
DB00450,P35368
DB04855,P35368
DB00211,P35368
DB09205,P35368
DB01364,P35368
DB00590,P35368
DB01162,P35368
DB00457,P35368
DB06262,P35368
DB00298,P35368
DB00852,P35348
DB00226,P35348
DB00590,P35348
DB01608,P35348
DB06711,P35348
DB01118,P35348
DB01136,P35348
DB00935,P35348
DB00699,P35348
DB06207,P35348
DB01253,P35348
DB00298,P35348
DB01149,P35348
DB00723,P35348
DB08950,P35348
DB00696,P35348
DB00457,P35348
DB00449,P35348
DB06694,P35348
DB00211,P35348
DB01364,P35348
DB00598,P35348
DB00353,P35348
DB06764,P35348
DB01162,P35348
DB00388,P35348
DB00450,P35348
DB00668,P35348
DB00346,P35348
DB00334,P35348
DB06262,P35348
DB04855,P35348
DB13345,P35348
DB00368,P35348
DB09205,P35348
DB00363,P08913
DB00633,P08913
DB06707,P08913
DB01364,P08913
DB00217,P08913
DB01100,P08913
DB00852,P08913
DB00449,P08913
DB00484,P08913
DB01018,P08913
DB13345,P08913
DB00968,P08913
DB00575,P08913
DB06262,P08913
DB01253,P08913
DB00226,P08913
DB00477,P08913
DB00629,P08913
DB09242,P08913
DB00353,P08913
DB00368,P08913
DB00370,P08913
DB06694,P08913
DB00668,P08913
DB06694,P18089
DB06262,P18089
DB00629,P18089
DB00226,P18089
DB00217,P18089
DB01253,P18089
DB00363,P18089
DB00668,P18089
DB00449,P18089
DB00575,P18089
DB00368,P18089
DB00852,P18089
DB09242,P18089
DB00968,P18089
DB00370,P18089
DB00353,P18089
DB00633,P18089
DB06707,P18089
DB00484,P18089
DB13345,P18089
DB01364,P18089
DB00477,P18089
DB00368,P18825
DB00477,P18825
DB00370,P18825
DB00629,P18825
DB00217,P18825
DB00449,P18825
DB06694,P18825
DB00226,P18825
DB01364,P18825
DB00968,P18825
DB00575,P18825
DB00363,P18825
DB00852,P18825
DB00484,P18825
DB00668,P18825
DB01253,P18825
DB09242,P18825
DB06707,P18825
DB00353,P18825
DB06262,P18825
DB00633,P18825
DB13345,P18825
DB06262,P08588
DB01359,P08588
DB00187,P08588
DB01136,P08588
DB01102,P08588
DB00598,P08588
DB00571,P08588
DB01118,P08588
DB01364,P08588
DB00335,P08588
DB00368,P08588
DB00668,P08588
DB00449,P08588
DB04861,P08588
DB01203,P08588
DB00841,P08588
DB00521,P08588
DB00264,P08588
DB01297,P08588
DB04846,P08588
DB00612,P08588
DB00852,P08588
DB01193,P08588
DB00960,P08588
DB13781,P08588
DB01214,P08588
DB04855,P08588
DB00983,P07550
DB00816,P07550
DB00221,P07550
DB00852,P07550
DB00960,P07550
DB01203,P07550
DB00368,P07550
DB01359,P07550
DB13139,P07550
DB00571,P07550
DB06262,P07550
DB01102,P07550
DB09080,P07550
DB00449,P07550
DB00668,P07550
DB01136,P07550
DB00867,P07550
DB05039,P07550
DB01214,P07550
DB00521,P07550
DB01364,P07550
DB00938,P07550
DB01274,P07550
DB01288,P07550
DB01001,P07550
DB00598,P07550
DB09082,P07550
DB00852,P13945
DB00449,P13945
DB00521,P13945
DB00571,P13945
DB01214,P13945
DB00368,P13945
DB14895,P13945
DB01359,P13945
DB00960,P13945
DB01102,P13945
DB01364,P13945
DB00668,P13945
DB06262,P13945
DB08893,P13945
DB01011,P15538
DB05812,P05093
DB00648,P05093
DB01006,P11511
DB00357,P11511
DB01217,P11511
DB00990,P11511
DB00894,P11511
DB09477,P12821
DB01340,P12821
DB00178,P12821
DB00584,P12821
DB00542,P12821
DB13166,P12821
DB00881,P12821
DB01197,P12821
DB00519,P12821
DB00790,P12821
DB01348,P12821
DB00492,P12821
DB00722,P12821
DB12783,P20711
DB00190,P20711
DB00969,Q8WXA8
DB00904,Q8WXA8
DB00363,Q8WXA8
DB00370,Q8WXA8
DB09068,Q8WXA8
DB00377,Q8WXA8
DB01157,P00374
DB00563,P00374
DB06813,P00374
DB00642,P00374
DB08880,Q02127
