drugbank,uniprot
DB08604,Q14994
DB08604,P37231
DB08804,P10275
DB08864,O75469
DB08867,P06401
DB08867,P04150
DB08867,P10275
DB08899,P10275
DB08906,P04150
DB08906,P06401
DB08906,P08235
DB09061,P37231
DB09064,Q07869
DB09070,P03372
DB09086,P03372
DB09086,Q92731
DB09086,P10275
DB09091,P04150
DB09095,P04150
DB09123,P06401
DB09123,P10275
DB09124,P06401
DB09213,P37231
DB09213,Q07869
DB09371,P03372
DB09371,P10275
DB09389,P06401
DB09389,P10275
DB09462,Q03181
DB11219,P06401
DB11219,P10275
DB11219,Q92731
DB11219,P03372
DB11619,P06401
DB11619,P04150
DB11619,P10275
DB11619,P03372
DB11672,P37231
DB11672,P11473
DB11901,P10275
DB11921,P04150
DB11994,Q13133
DB11994,P55055
DB12941,P10275
DB12941,P06401
DB13155,P10275
DB13158,P04150
DB13179,O75469
DB13867,P04150
DB13867,P06401
DB13867,P08235
DB13873,Q07869
DB13873,P37231
DB13873,Q03181
DB13873,O75469
DB13943,P10275
DB13943,P03372
DB13943,P08235
DB13944,P10275
DB13944,P03372
DB13944,P08235
DB13946,P10275
DB13946,P03372
DB13946,P08235
DB13952,P03372
DB13952,O75469
DB13952,Q92731
DB13952,P62508
DB13953,P03372
DB13953,O75469
DB13953,Q92731
DB13953,P62508
DB13954,P03372
DB13954,O75469
DB13954,Q92731
DB13954,P62508
DB13955,P03372
DB13955,O75469
DB13955,Q92731
DB13955,P62508
DB13956,P03372
DB13956,O75469
DB13956,Q92731
DB13956,P62508
DB14001,O75469
DB14002,O75469
DB14487,P03372
DB14512,P04150
DB14512,P06401
DB14533,P03372
DB14539,P04150
DB14540,P04150
DB14541,P04150
DB14542,P04150
DB14543,P04150
DB14544,P04150
DB14583,P06401
DB14583,P10275
DB14583,P04150
DB14631,P04150
DB14649,P04150
DB14649,P51843
DB14649,O75469
DB14669,P04150
DB15566,P04150
DB15690,P03372
DB15690,Q92731
