uniprot,pathway
O14983,R-HSA-936837
O15067,R-HSA-73817
O15111,R-HSA-1169091
O15111,R-HSA-1236974
O15111,R-HSA-168638
O15111,R-HSA-168927
O15111,R-HSA-1810476
O15111,R-HSA-198323
O15111,R-HSA-202424
O15111,R-HSA-2871837
O15111,R-HSA-445989
O15111,R-HSA-5357905
O15111,R-HSA-5357956
O15111,R-HSA-5602636
O15111,R-HSA-5603027
O15111,R-HSA-5603029
O15111,R-HSA-5607761
O15111,R-HSA-5607764
O15111,R-HSA-5674400
O15111,R-HSA-5676590
O15111,R-HSA-5684264
O15111,R-HSA-9020702
O15111,R-HSA-933542
O15111,R-HSA-933543
O15111,R-HSA-937039
O15111,R-HSA-937041
O15111,R-HSA-9705671
O15111,R-HSA-975144
O15111,R-HSA-9758274
O15146,R-HSA-3000178
O15197,R-HSA-2682334
O15197,R-HSA-3928662
O15197,R-HSA-3928664
O15197,R-HSA-3928665
O15217,R-HSA-156590
O15239,R-HSA-611105
O15239,R-HSA-6799198
O15264,R-HSA-168638
O15264,R-HSA-171007
O15264,R-HSA-376172
O15264,R-HSA-4420097
O15269,R-HSA-1660661
O15270,R-HSA-1660661
O15342,R-HSA-1222556
O15342,R-HSA-77387
O15342,R-HSA-917977
O15342,R-HSA-9639288
O15342,R-HSA-983712
O15350,R-HSA-139915
O15350,R-HSA-6803204
O15350,R-HSA-6803205
O15350,R-HSA-6803207
O15350,R-HSA-6803211
O15350,R-HSA-6804759
O15350,R-HSA-8939236
O15379,R-HSA-1368071
O15379,R-HSA-193670
O15379,R-HSA-1989781
O15379,R-HSA-2122947
O15379,R-HSA-2151201
O15379,R-HSA-2644606
O15379,R-HSA-2894862
O15379,R-HSA-3214815
O15379,R-HSA-350054
O15379,R-HSA-381340
O15379,R-HSA-390471
O15379,R-HSA-400206
O15379,R-HSA-400253
O15379,R-HSA-5617472
O15379,R-HSA-8940973
O15379,R-HSA-8943724
O15379,R-HSA-9022537
O15379,R-HSA-9022692
O15379,R-HSA-9029569
O15379,R-HSA-9609690
O15379,R-HSA-9701898
O15379,R-HSA-9707564
O15379,R-HSA-9707616
O15382,R-HSA-70895
O15392,R-HSA-141444
O15392,R-HSA-2467813
O15392,R-HSA-2500257
O15392,R-HSA-4615885
O15392,R-HSA-5663220
O15392,R-HSA-6785807
O15392,R-HSA-6803205
O15392,R-HSA-68877
O15392,R-HSA-8951664
O15392,R-HSA-9648025
O15399,R-HSA-438066
O15399,R-HSA-442982
O15399,R-HSA-5673001
O15399,R-HSA-6794361
O15399,R-HSA-8849932
O15399,R-HSA-9609736
O15399,R-HSA-9617324
O15399,R-HSA-9620244
O15427,R-HSA-210991
O15427,R-HSA-433692
O15427,R-HSA-70268
O15440,R-HSA-2142850
O15440,R-HSA-382556
O15440,R-HSA-9748787
O15440,R-HSA-9753281
O15528,R-HSA-196791
O15528,R-HSA-211916
O15528,R-HSA-5579014
O15530,R-HSA-114604
O15530,R-HSA-1257604
O15530,R-HSA-165158
O15530,R-HSA-202424
O15530,R-HSA-2730905
O15530,R-HSA-2871837
O15530,R-HSA-354192
O15530,R-HSA-389357
O15530,R-HSA-392451
O15530,R-HSA-444257
O15530,R-HSA-5218920
O15530,R-HSA-5218921
O15530,R-HSA-5607764
O15530,R-HSA-5625740
O15530,R-HSA-5674400
O15530,R-HSA-6804757
O15530,R-HSA-9634635
O15530,R-HSA-9735871
O15530,R-HSA-9755779
O15547,R-HSA-139853
O15547,R-HSA-418346
O15554,R-HSA-1296052
O43174,R-HSA-211916
O43174,R-HSA-5365859
O43175,R-HSA-977347
O43181,R-HSA-611105
O43181,R-HSA-6799198
O43193,R-HSA-375276
O43193,R-HSA-416476
O43252,R-HSA-174362
O43252,R-HSA-2408550
O43252,R-HSA-6802952
O43293,R-HSA-418889
O43353,R-HSA-168638
O43353,R-HSA-202424
O43353,R-HSA-209543
O43353,R-HSA-445989
O43353,R-HSA-450302
O43353,R-HSA-450321
O43353,R-HSA-5689896
O43353,R-HSA-9020702
O43353,R-HSA-9705671
O43451,R-HSA-189085
O43451,R-HSA-6798695
O43497,R-HSA-419037
O43497,R-HSA-445355
O43525,R-HSA-1296072
O43525,R-HSA-445095
O43526,R-HSA-1296072
O43526,R-HSA-445095
O43570,R-HSA-1475029
O43612,R-HSA-389397
O43612,R-HSA-416476
O43613,R-HSA-389397
O43613,R-HSA-416476
O43614,R-HSA-389397
O43614,R-HSA-416476
O43617,R-HSA-204005
O43617,R-HSA-8876198
O43674,R-HSA-611105
O43674,R-HSA-6799198
O43676,R-HSA-611105
O43676,R-HSA-6799198
O43677,R-HSA-611105
O43677,R-HSA-6799198
O43678,R-HSA-611105
O43678,R-HSA-6799198
O43708,R-HSA-156590
O43708,R-HSA-204174
O43708,R-HSA-8963684
O43741,R-HSA-1445148
O43741,R-HSA-1632852
O43741,R-HSA-163680
O43741,R-HSA-200425
O43741,R-HSA-2151209
O43741,R-HSA-380972
O43741,R-HSA-5628897
O43741,R-HSA-6804756
O43741,R-HSA-9613354
O43741,R-HSA-9619483
O43766,R-HSA-389661
O43772,R-HSA-200425
O43837,R-HSA-71403
O43920,R-HSA-611105
O43920,R-HSA-6799198
O60218,R-HSA-975634
O60285,R-HSA-6804756
O60359,R-HSA-399719
O60359,R-HSA-5682910
O60391,R-HSA-9609736
O60427,R-HSA-1989781
O60427,R-HSA-2046105
O60427,R-HSA-2046106
O60488,R-HSA-434313
O60488,R-HSA-75876
O60494,R-HSA-196791
O60494,R-HSA-3359462
O60494,R-HSA-3359463
O60494,R-HSA-8964011
O60494,R-HSA-9758881
O60568,R-HSA-1650814
O60603,R-HSA-1236974
O60603,R-HSA-1461957
O60603,R-HSA-166058
O60603,R-HSA-168179
O60603,R-HSA-168188
O60603,R-HSA-5602498
O60603,R-HSA-5603041
O60603,R-HSA-5686938
O60603,R-HSA-6798695
O60603,R-HSA-9637628
O60603,R-HSA-9705671
O60656,R-HSA-156588
O60656,R-HSA-1989781
O60656,R-HSA-9749641
O60656,R-HSA-9753281
O60658,R-HSA-418555
O60669,R-HSA-433692
O60674,R-HSA-1059683
O60674,R-HSA-110056
O60674,R-HSA-112411
O60674,R-HSA-1170546
O60674,R-HSA-1433557
O60674,R-HSA-2586552
O60674,R-HSA-3214858
O60674,R-HSA-512988
O60674,R-HSA-5673000
O60674,R-HSA-5673001
O60674,R-HSA-6785807
O60674,R-HSA-6788467
O60674,R-HSA-6802946
O60674,R-HSA-6802952
O60674,R-HSA-6802955
O60674,R-HSA-69231
O60674,R-HSA-877300
O60674,R-HSA-877312
O60674,R-HSA-8854691
O60674,R-HSA-8984722
