drugbank,uniprot
DB00157,Q02928
DB00157,P10515
DB00157,P48728
DB00157,Q15800
DB00157,P09601
DB00157,P30519
DB00157,P05093
DB00157,P14679
DB00159,P35354
DB00159,P23219
DB00159,O60427
DB00159,O60488
DB00162,Q96NR8
DB00162,O75911
DB00162,P47895
DB00162,Q6NUM9
DB00162,Q8TC12
DB00162,Q9BTZ2
DB00162,Q9NYR8
DB00162,O95237
DB00162,Q92781
DB00162,Q8NBN7
DB00162,O94788
DB00162,P00352
DB00162,P41222
DB00163,P05771
DB00163,P09917
DB00163,P17252
DB00163,P23743
DB00163,P62714
DB00163,P67775
DB00165,O00764
DB00166,O43766
DB00170,P38435
DB00170,Q9BQB6
DB00170,P00734
DB00170,P00740
DB00170,P04070
DB00170,P16083
DB00170,P15559
DB00173,P07741
DB00173,O00763
DB00173,Q9BY49
DB00173,P78362
DB00173,Q13126
DB00175,P04035
DB00175,Q92769
DB00178,P12821
DB00179,P09917
DB00182,P27338
DB00182,P21397
DB00184,P11511
DB00184,P28329
DB00188,P28074
DB00188,P20618
DB00190,P20711
DB00191,P21397
DB00191,P27338
DB00197,O60488
DB00197,P09211
DB00198,Q99519
DB00198,Q9Y3R4
DB00200,Q99707
DB00200,P22033
DB00200,Q8IVH4
DB00200,Q9Y4U1
DB00201,Q07343
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q13315
DB00203,O76074
DB00205,P00374
DB00205,P07686
DB00207,Q9UM07
DB00210,P17174
DB00213,P20648
DB00213,O94760
DB00218,P11388
DB00227,P04035
DB00227,Q92769
DB00228,P98194
DB00228,O14983
DB00233,P35354
DB00233,O15111
DB00233,P09917
DB00233,Q9NZK7
DB00235,Q14432
DB00242,P23921
DB00242,P31350
DB00242,Q7LG56
DB00242,P09884
DB00242,Q07864
DB00242,P56282
DB00242,Q9NRF9
DB00242,Q9NR33
DB00242,P00491
DB00244,P35354
DB00244,P23219
DB00244,P09917
DB00244,O15111
DB00244,O14920
DB00244,P05164
DB00261,Q14432
DB00262,P00390
DB00266,Q9BQB6
DB00266,P15559
DB00266,Q08257
DB00273,P00918
DB00273,P22748
DB00273,P00915
DB00273,P07451
DB00276,P11388
DB00277,Q07343
DB00277,O76074
DB00277,P27815
DB00277,Q14432
DB00277,Q92769
DB00277,P09874
DB00278,P00734
DB00281,P00533
DB00282,P14324
DB00282,O95749
DB00282,P42574
DB00282,P55211
DB00284,O43451
DB00284,P04746
DB00284,P10253
DB00284,P14410
DB00290,P18858
DB00290,P49916
DB00293,P04818
DB00293,Q05932
DB00302,P00747
DB00310,P00915
DB00313,P45954
DB00313,Q9UKV0
DB00313,Q02218
DB00313,P51649
DB00313,Q92769
DB00316,Q15185
DB00316,P35354
DB00316,P23219
DB00317,P00533
DB00321,P04629
DB00321,Q16620
DB00322,P04818
DB00323,P21964
DB00325,P16066
DB00328,P23219
DB00328,P35354
DB00328,P14555
DB00328,Q04760
DB00328,P42330
DB00331,Q16134
DB00331,P21695
DB00337,P42345
DB00337,P62942
DB00338,P20648
DB00348,P32754
DB00350,P23219
DB00350,P00797
DB00357,P11511
DB00357,P05108
DB00360,P00439
DB00360,P29474
DB00360,P07101
DB00360,P17752
DB00363,P09211
DB00367,P18405
DB00368,P00439
DB00380,P11388
DB00380,Q02880
DB00381,P00915
DB00381,P17405
DB00382,P22303
DB00382,P06276
DB00382,P23141
DB00385,P11388
DB00389,P07202
DB00390,P05023
DB00391,P00918
DB00391,P07451
DB00396,P05093
DB00398,P15056
DB00398,P04049
DB00398,P35916
DB00398,P35968
DB00398,P36888
DB00398,P09619
DB00398,P10721
DB00398,P11362
DB00398,P07949
DB00398,P17948
DB00399,P14324
DB00399,O95749
DB00411,P22303
DB00412,O60488
DB00415,Q02763
DB00419,Q16739
DB00421,P19099
DB00421,P05093
DB00421,P18405
DB00421,P31213
DB00421,Q9H8P0
DB00423,P00915
DB00428,O60502
DB00432,P04818
DB00435,P14902
DB00436,P00915
DB00436,P00918
DB00436,P22748
DB00437,P47989
DB00439,P04035
DB00441,P23921
DB00441,P04818
DB00441,P30085
DB00444,P11388
DB00445,P11388
DB00448,P20648
DB00449,P06276
DB00449,P22303
DB00454,P23141
DB00461,P35354
DB00461,P23219
DB00464,P04070
DB00465,P35354
DB00465,P23219
DB00467,P11388
DB00469,P35354
DB00469,P23219
DB00471,P09917
DB00477,P17405
DB00480,P35354
DB00482,P35354
DB00482,O15530
DB00482,P00918
DB00482,P07451
DB00483,P22303
DB00487,P11388
DB00491,O43451
DB00491,P10253
DB00491,Q14697
DB00492,P12821
DB00494,P21964
DB00495,O14746
DB00498,Q9BQB6
DB00500,P35354
DB00500,P23219
DB00509,P07202
DB00511,P05023
DB00513,P00747
DB00513,P00750
DB00513,P08519
DB00514,P04839
DB00519,P12821
DB00523,Q6V0L0
DB00530,P00533
DB00533,P35354
DB00535,P05164
DB00536,Q14353
DB00536,P07998
DB00536,P05091
DB00537,P11388
DB00542,P12821
DB00544,P04818
DB00545,P22303
DB00545,P06276
DB00548,P51857
DB00548,P31213
DB00548,P14679
DB00550,P07202
DB00551,P39900
DB00552,P00813
DB00554,P35354
DB00554,P23219
DB00558,Q9Y3R4
DB00562,P00915
DB00562,P00918
DB00562,P22748
DB00562,Q16790
DB00562,O43570
DB00562,Q9ULX7
DB00562,P07451
DB00562,P35218
DB00563,P00374
DB00563,P04818
DB00563,P31939
DB00569,P00742
DB00573,P35354
DB00573,P23219
DB00580,P35354
DB00580,P00918
DB00580,P07451
DB00583,Q9UKG9
DB00583,P23786
DB00583,P50416
DB00583,P47989
DB00583,P23141
DB00583,P05164
DB00584,P12821
DB00586,P35354
DB00586,P23219
DB00588,P47712
DB00594,P19801
DB00594,P00749
DB00599,O00519
DB00600,P14679
DB00603,P08183
DB00605,P35354
DB00605,P23219
DB00605,P15121
DB00605,P27361
DB00605,O60218
DB00606,P00915
DB00606,P00918
DB00606,Q9ULX7
DB00606,P07451
DB00606,P22748
DB00606,P35218
DB00606,Q16790
DB00608,P09210
DB00608,P09488
DB00608,Q9BYF1
DB00613,P50135
DB00619,P11274
DB00619,P10721
DB00619,P04629
DB00619,P07333
DB00619,P16234
DB00619,Q08345
DB00619,P00519
DB00619,P09619
DB00622,P54750
DB00622,Q01064
DB00626,P14735
DB00627,Q15274
DB00627,P40261
DB00630,P14324
DB00630,P29074
DB00630,Q13332
DB00630,P23469
DB00630,P38606
DB00631,P09884
DB00631,P23921
DB00641,P04035
DB00641,Q92769
DB00642,P04818
DB00642,P31939
DB00642,P00374
DB00642,P22102
DB00647,P23141
DB00648,P15538
DB00651,Q07343
DB00651,P27815
DB00651,Q08493
DB00651,Q08499
DB00655,P11511
DB00674,P22303
DB00674,P06276
DB00675,Q15125
DB00675,P17252
DB00675,P05771
DB00675,Q05655
DB00675,Q02156
DB00675,P05129
DB00675,P41743
DB00675,Q04759
DB00675,Q05513
DB00675,P45983
DB00677,P22303
DB00677,P06276
DB00682,Q9BQB6
DB00685,P11388
DB00688,P20839
DB00688,P12268
DB00688,Q03393
DB00691,P12821
DB00694,P11388
DB00694,Q02880
DB00695,P00918
DB00703,P00915
DB00703,P22748
DB00703,P00918
DB00703,P07451
DB00710,P14324
DB00710,O95749
DB00711,P09917
DB00711,P23219
DB00712,P23219
DB00712,P35354
DB00721,P47712
DB00721,Q86U10
DB00721,P21397
DB00721,P27338
DB00721,P26358
DB00721,Q9Y6K1
DB00722,P12821
DB00722,P00797
DB00727,P16066
DB00733,P22303
DB00733,P06276
DB00736,P20648
DB00736,O94760
DB00744,P09917
DB00747,P14410
DB00749,P35354
DB00749,P23219
DB00752,P27338
DB00752,P21397
DB00753,P98194
DB00755,P00352
DB00755,O94788
DB00755,Q16654
DB00755,O43174
DB00755,Q9NR63
DB00755,Q6V0L0
DB00755,O60760
DB00756,P00367
DB00759,Q9UM07
DB00762,P11387
DB00763,P07202
DB00765,P07101
DB00772,P06276
DB00773,P11388
DB00773,Q02880
DB00774,Q16790
DB00774,P05023
DB00774,P00915
DB00774,P00918
DB00774,P22748
DB00774,O43570
DB00778,P08183
DB00780,P21397
DB00780,P27338
DB00780,Q16853
DB00780,P80404
DB00780,Q8TD30
DB00784,P35354
DB00784,P23219
DB00788,P23219
DB00788,P35354
DB00789,P52209
DB00790,P12821
DB00795,P09917
DB00795,P35354
DB00795,P23219
DB00795,O15111
DB00795,O14920
DB00795,P24752
DB00795,P24557
DB00795,P04054
DB00798,P00374
DB00805,P21397
DB00805,P22303
DB00806,P21589
DB00811,P20839
DB00811,P12268
DB00812,P35354
DB00812,Q16647
DB00812,P23219
DB00813,P08183
DB00814,P35354
DB00814,P23219
DB00819,P00915
DB00819,P00918
DB00819,P22748
DB00819,O43570
DB00819,Q9ULX7
DB00819,P07451
DB00820,O76074
DB00820,Q9HCR9
DB00821,P35354
DB00821,P23219
DB00822,P05091
DB00822,P09172
DB00824,P27815
DB00824,Q07343
DB00834,P07288
DB00843,P22303
DB00843,P06276
DB00843,P29475
DB00848,P10696
DB00851,P52209
DB00855,P13716
DB00857,Q14534
DB00861,P35354
DB00861,P23219
DB00862,O76074
DB00863,P22303
DB00864,P62942
DB00869,P00918
DB00869,P22748
DB00869,P00915
DB00869,P07451
DB00870,P23219
DB00870,P35354
DB00877,P42345
DB00877,P62942
DB00880,P00915
DB00880,P00918
DB00881,P12821
DB00883,P16066
DB00884,P14324
DB00887,P13569
DB00894,P11511
DB00900,P00491
DB00903,P05023
DB00903,P09211
DB00907,P23141
DB00909,P00915
DB00909,P00918
DB00909,P07451
DB00909,P22748
DB00909,P35218
DB00909,Q16790
DB00909,O43570
DB00909,Q9ULX7
DB00909,P27338
DB00909,P21397
DB00914,Q13131
DB00920,P52209
DB00922,Q14432
DB00924,Q06278
DB00928,P26358
DB00936,P23219
DB00936,P35354
DB00936,Q04828
DB00939,P23219
DB00939,P35354
DB00939,P09917
DB00941,P06276
DB00944,P22303
DB00944,P06276
DB00945,P23219
DB00945,P35354
DB00945,Q04828
DB00945,Q13131
DB00945,P54646
DB00945,P11021
DB00945,P51812
DB00945,P29466
DB00945,P42574
DB00945,O14920
DB00945,P28482
DB00945,Q8TD08
DB00945,P27361
DB00945,P31152
DB00945,Q16659
DB00945,Q13164
DB00946,Q9BQB6
DB00951,P10632
DB00951,P05177
DB00951,P08684
DB00951,P33261
DB00963,P35354
DB00963,P23219
DB00968,P20711
DB00970,P11388
DB00970,Q02880
DB00972,P04054
DB00972,Q16873
DB00973,P35610
DB00973,P15144
DB00975,Q9Y233
DB00975,P00813
DB00975,O76074
DB00975,P27815
DB00978,P11388
DB00981,P22303
DB00987,P06746
DB00988,P09172
DB00988,P00441
DB00989,P22303
DB00989,P06276
DB00990,P11511
DB00991,P23219
DB00991,P35354
DB00995,P30044
DB00995,O14920
DB00997,P11388
DB01005,P23921
DB01006,P11511
DB01007,Q16850
DB01009,P23219
DB01009,P35354
DB01010,P22303
DB01010,P06276
DB01011,P15538
DB01014,P35354
DB01014,P23219
DB01014,P09917
DB01016,P50416
DB01016,P13569
DB01017,P09917
DB01017,P14780
DB01017,P29466
DB01017,P42574
DB01017,P28482
DB01017,P53779
DB01017,Q15759
DB01017,P53778
DB01017,O15264
DB01017,Q16539
DB01017,Q8TD08
DB01017,P27361
DB01017,P31152
DB01017,Q16659
DB01017,Q13164
DB01017,P45983
DB01017,P45984
DB01017,P35228
DB01021,P05023
DB01021,P00915
DB01021,P00918
DB01021,P22748
DB01022,P38435
DB01023,Q01064
DB01023,P54750
DB01024,P20839
DB01024,P12268
DB01026,P05093
DB01026,P08686
DB01028,P98194
DB01028,P03886
DB01030,P11387
DB01033,P00492
DB01033,Q06203
DB01033,P20839
DB01033,P12268
DB01035,P26358
DB01037,P27338
DB01037,P21397
DB01039,Q9NPA2
DB01041,P21802
DB01041,P35354
DB01050,P35354
DB01050,P23219
DB01050,P13569
DB01057,P06276
DB01059,P11388
DB01064,P28482
DB01064,P00441
DB01065,P05164
DB01065,P11678
DB01065,P46597
DB01065,P16083
DB01073,P23921
DB01073,P09884
DB01073,P27707
DB01074,P50416
DB01074,P23786
DB01076,P04035
DB01076,P27487
DB01076,Q92769
DB01077,Q13332
DB01077,P38606
DB01078,P05023
DB01080,P80404
DB01082,Q9UM07
DB01083,P16233
DB01083,P07098
DB01083,P49327
DB01087,P16083
DB01088,P27815
DB01088,Q07343
DB01088,Q08493
DB01088,Q08499
DB01088,P00750
DB01092,P05023
