uniprot,disease_mesh
P14621,OMIM:613290
P00813,MESH:D013118
P00813,MESH:D008106
P00813,MESH:C531816
P00813,MESH:D008175
P00813,MESH:D001321
P78325,MESH:D056486
O14672,MESH:D000544
O14672,MESH:D005922
O14672,MESH:D005355
O14672,MESH:D001943
O14672,MESH:D051437
O14672,MESH:C562924
O14672,OMIM:615590
O14672,MESH:D011297
P55265,MESH:D001943
P55265,MESH:C535607
P55265,MESH:C535729
P78563,MESH:D011085
Q9NS39,MESH:D019966
Q9NS39,MESH:D010300
Q08828,MESH:C565716
Q08828,MESH:D055752
Q08828,MESH:D006948
Q08828,MESH:D013375
Q08462,MESH:D001714
Q08462,MESH:D001249
O60266,MESH:D009765
O60266,MESH:D009767
O60266,MESH:D003925
O95622,MESH:D003924
O95622,MESH:C564676
O95622,MESH:D001724
O95622,MESH:D010024
O95622,MESH:D015674
O95622,MESH:D008325
O95622,MESH:D002277
O95622,MESH:D065886
O95622,MESH:D009202
O95622,MESH:D006973
O43306,OMIM:616287
P51828,MESH:D003093
P51828,MESH:D015470
P51828,MESH:D012559
P51828,MESH:D001171
P40145,MESH:D013375
P40145,MESH:D019964
P40145,MESH:D003925
P40145,MESH:D006948
P18509,MESH:D011595
P18509,MESH:D006940
P18509,MESH:D012640
P18509,MESH:D015877
P18509,MESH:D000077277
P41586,MESH:D001249
P35611,MESH:D006528
P35611,MESH:D000075222
P35611,MESH:D006973
Q9UEY8,MESH:D002545
Q9UEY8,MESH:D001714
Q9UEY8,MESH:D020258
Q9UEY8,OMIM:617008
Q9UEY8,MESH:D008106
Q99541,MESH:D008106
Q99541,MESH:D005234
Q99541,MESH:D013274
P07327,MESH:D065626
P00325,MESH:D007822
P00325,MESH:D000077277
P00325,MESH:D020022
P00325,MESH:D000437
P00325,MESH:D009062
P00325,MESH:D002544
P00325,MESH:D004938
P00325,MESH:D065626
P00325,MESH:D009765
P00325,MESH:D015179
P00325,MESH:D010610
P00326,OMIM:168600
P00326,MESH:D020022
P00326,MESH:D009062
P00326,MESH:D000437
P08319,MESH:D006528
P08319,MESH:D008106
P08319,MESH:D065626
P40394,MESH:D010610
P40394,MESH:D009062
P40394,MESH:D007822
P40394,MESH:D004938
P55263,MESH:D008607
P55263,OMIM:614300
P55263,MESH:D000860
P35318,MESH:D018805
P35318,MESH:D005921
P35318,MESH:D006930
P35318,MESH:D010146
P35318,MESH:D008106
P35318,MESH:D001321
P30542,MESH:D013345
P30542,MESH:D018754
P30542,MESH:D007511
P30542,MESH:D020022
P30542,MESH:D064420
P30542,MESH:D011297
P30542,MESH:D013375
P30542,MESH:D004342
P30542,MESH:D001919
P30542,MESH:D007022
P29274,MESH:D014202
P29274,MESH:D009069
P29274,MESH:D003866
P29274,MESH:D001172
P29274,MESH:D064420
P29274,MESH:D012640
P29274,MESH:D019969
P29274,MESH:D007022
P29274,MESH:D015431
P29274,MESH:D018754
P29274,MESH:D007319
P29274,MESH:D008106
P29274,MESH:D001008
P29274,MESH:D011605
P29274,MESH:D004342
P29274,MESH:D013375
P29274,MESH:D016584
P29274,MESH:D018805
P29274,MESH:D020022
P29275,MESH:D009362
P29275,MESH:D018805
P0DMS8,MESH:D007511
P0DMS8,MESH:D008106
P09874,MESH:D014802
P09874,MESH:D001930
P09874,MESH:D011658
P09874,MESH:D000740
P09874,MESH:D015427
P09874,MESH:D008607
P09874,MESH:D000070642
P09874,MESH:D007674
P09874,MESH:D007249
P09874,MESH:D015179
P09874,MESH:D013119
P09874,MESH:D000505
P09874,MESH:D009101
P09874,MESH:D006505
P09874,MESH:C537948
P09874,MESH:D050197
P09874,MESH:D009202
P09874,MESH:D003872
P09874,MESH:D009765
P09874,MESH:D020760
P09874,MESH:D017544
P09874,MESH:D011471
P09874,MESH:D000086002
P09874,MESH:D007738
P09874,MESH:D058226
P09874,MESH:D010195
P09874,MESH:D008545
P09874,MESH:D055370
P09874,MESH:D011014
P09874,MESH:D002545
P09874,MESH:D001943
P09874,MESH:D020734
P09874,MESH:D006528
P09874,MESH:D013262
P09874,MESH:D010243
P09874,MESH:D001249
Q9UKK3,MESH:D003110
P25100,MESH:D054144
P35368,MESH:D020258
P35368,MESH:D009410
P35368,MESH:D008106
P35368,MESH:D012640
P35368,MESH:D007674
P35368,MESH:D006332
P35368,MESH:D007022
P35348,MESH:D020257
P35348,MESH:D008103
P35348,MESH:D006528
P35348,MESH:D003921
P08913,MESH:D006331
P08913,MESH:D016584
P08913,MESH:D007022
P08913,MESH:D006973
P18089,MESH:D006528
P18089,MESH:D008607
P18089,MESH:D003490
P18089,MESH:D008171
P18825,MESH:D005355
P18825,MESH:D006332
P18825,MESH:D006333
P08588,MESH:D015428
P08588,MESH:D013274
P08588,MESH:D009765
P08588,MESH:D001724
P08588,MESH:D017202
P08588,MESH:D006940
P08588,MESH:D002318
P08588,MESH:D006973
P08588,MESH:D002311
P08588,MESH:D006333
P08588,MESH:D018754
P08588,MESH:D003920
P08588,MESH:D004719
P07550,MESH:D001321
P07550,MESH:D009202
P07550,MESH:D001249
P07550,MESH:D014202
P07550,MESH:D005355
P07550,MESH:D015658
P07550,MESH:D002311
P07550,MESH:D018792
P07550,MESH:D007333
P07550,MESH:D015526
P07550,MESH:D009422
P07550,MESH:D007008
P07550,MESH:D013274
P07550,MESH:D018487
P07550,MESH:D011471
P07550,MESH:D009765
P07550,MESH:D008171
P07550,MESH:D017202
P07550,MESH:D006949
P13945,MESH:D003921
P13945,MESH:D009765
P13945,MESH:D006949
P13945,MESH:D006333
P13945,MESH:D017379
P25098,MESH:D002318
P25098,MESH:D006333
P25098,MESH:D017449
P25098,MESH:D000013
P25098,MESH:D020964
P25098,MESH:D001172
P25098,MESH:D006332
P25098,MESH:D006973
P35626,MESH:D001714
P30566,MESH:C538235
P30566,MESH:D001321
Q08117,MESH:D017202
P43652,MESH:D058186
P43652,MESH:D008106
P43652,MESH:D064420
P02771,MESH:D008106
P02771,MESH:D006528
P02771,MESH:D013274
P02771,MESH:C566300
P02771,MESH:D008107
P02771,MESH:D008114
P20933,MESH:D054880
P16112,MESH:D020391
P16112,MESH:D001172
P16112,MESH:C564252
P16112,MESH:C567558
P16112,OMIM:165800
P16112,MESH:D011009
Q15109,MESH:D006930
Q15109,MESH:D050197
Q15109,MESH:D006984
Q15109,MESH:D003925
Q15109,MESH:D059348
Q15109,MESH:D007249
Q15109,MESH:D001249
Q15109,MESH:D059366
Q15109,MESH:D020244
Q15109,MESH:D000077216
Q15109,MESH:D010003
Q15109,MESH:D006973
Q15109,MESH:D006943
Q15109,MESH:D020961
Q15109,MESH:D010182
Q15109,MESH:D011656
Q15109,MESH:D001172
Q15109,MESH:D009437
P35573,MESH:D006010
P35573,MESH:D008106
O00253,MESH:D009765
P78504,MESH:D003638
P78504,MESH:D013771
P78504,MESH:D003528
P78504,MESH:D005909
P78504,MESH:D006330
P78504,MESH:D012468
P78504,MESH:D016738
P78504,MESH:D003318
P78504,MESH:D005124
P78504,MESH:D019066
P78504,MESH:D001943
P78504,MESH:D021441
P78504,MESH:D001847
P78504,MESH:D008175
P01019,MESH:D009202
P01019,MESH:D002340
P01019,MESH:D003072
P01019,MESH:D003921
P01019,MESH:D018376
P01019,MESH:D017379
P01019,MESH:D058065
P01019,MESH:D001145
P01019,MESH:D005355
P01019,MESH:D002310
P01019,MESH:D066126
P01019,MESH:D012178
P01019,MESH:D051437
P01019,MESH:D020257
P01019,MESH:D005317
P01019,MESH:D004719
P01019,MESH:D013927
P01019,MESH:D000086382
P01019,MESH:D014652
P01019,MESH:D012640
P01019,MESH:D003645
P01019,MESH:D058426
P01019,MESH:D017544
P01019,MESH:D002318
P01019,MESH:D001014
P01019,MESH:D050197
P01019,MESH:D011507
P01019,MESH:D005923
P01019,MESH:D056486
P01019,MESH:D015428
P01019,MESH:D006333
P01019,MESH:D000075222
P01019,OMIM:267430
P01019,MESH:D005922
P01019,MESH:D014517
P01019,MESH:D005921
P01019,MESH:D003930
P01019,MESH:D006930
P01019,MESH:D007249
P01019,MESH:D006973
P01019,MESH:D015427
P01019,MESH:D066253
P01019,MESH:D000419
P01019,MESH:D007674
P01019,MESH:C537048
P01019,MESH:D019954
P01019,MESH:D011225
P01019,MESH:D018487
P01019,MESH:D006332
P01019,MESH:D002779
P01019,MESH:D009336
P01019,MESH:D017202
P01019,MESH:D008103
P01019,MESH:D010438
P01019,MESH:D020138
P01019,MESH:D006331
P01019,MESH:D000784
P01019,MESH:D006984
P01019,MESH:D006974
P01019,MESH:D009401
P01019,MESH:D008106
P01019,MESH:D000740
P01019,MESH:D006940
P01019,MESH:D006977
P01019,MESH:D009203
P01019,MESH:D006548
P30556,MESH:D007674
P30556,MESH:D006333
P30556,MESH:D017544
P30556,MESH:D009362
P30556,MESH:D004374
P30556,OMIM:267430
P30556,MESH:D011507
P30556,MESH:D010911
P30556,MESH:D000022
P30556,MESH:D021441
P30556,MESH:C537048
P30556,MESH:D006973
P30556,MESH:D003930
P30556,MESH:D000075222
P50052,MESH:D018275
P50052,MESH:D006973
P50052,MESH:D038901
P50052,MESH:D057772
P50052,MESH:D017379
P50052,MESH:D058065
P50052,MESH:D010048
P50052,MESH:D009362
P50052,MESH:D013274
P50052,MESH:D008325
P21549,MESH:C536414
P51843,MESH:C535601
P51843,MESH:D009845
P51843,MESH:D000075262
P51843,MESH:D007006
P23526,MESH:D065626
P23526,MESH:D004195
P23526,MESH:D000077192
P23526,MESH:D006527
P23526,MESH:D000860
P23526,MESH:D000592
P23526,MESH:C564683
P35869,MESH:D001862
P35869,MESH:D001943
P35869,MESH:D050197
P35869,MESH:D006529
P35869,MESH:D021081
P35869,MESH:D001528
P35869,MESH:D001284
P35869,MESH:D001169
P35869,MESH:D009336
P35869,MESH:D015430
P35869,MESH:D001172
P35869,MESH:D001724
P35869,MESH:D004195
P35869,MESH:D008659
P35869,MESH:D008107
P35869,MESH:D006332
P35869,MESH:D008113
P35869,MESH:D014652
P35869,MESH:D011471
P35869,MESH:D013610
P35869,MESH:D006984
P35869,MESH:D012829
P35869,MESH:D020417
P35869,MESH:D000077192
P35869,MESH:D056486
P35869,MESH:D007333
P35869,MESH:D013158
P35869,MESH:D000052
P35869,MESH:D007642
P35869,MESH:D006973
P35869,MESH:D009374
P35869,MESH:D014029
P35869,MESH:D003877
P35869,MESH:D008103
P35869,MESH:D009369
P35869,MESH:D021183
P35869,MESH:D013274
P35869,MESH:D014516
P35869,MESH:D011014
P35869,MESH:D018496
P35869,MESH:D007249
P35869,MESH:D050171
P35869,MESH:D003876
P35869,MESH:C535836
P35869,MESH:D006130
P35869,MESH:D017495
P35869,MESH:D001744
P35869,MESH:D065626
P35869,MESH:D013163
P35869,MESH:D011537
P35869,MESH:D006330
P35869,MESH:D006985
P35869,MESH:D017379
P35869,MESH:D007248
P35869,MESH:D000022
P35869,MESH:D009765
P02765,MESH:D002114
P02765,MESH:D058186
P02765,MESH:D064420
P02765,MESH:C565965
P55008,MESH:D006973
P55008,MESH:D004195
P55008,MESH:D010300
P55008,MESH:D020961
P55008,MESH:D014277
P55008,MESH:D008106
P55008,MESH:D013345
P55008,MESH:D006930
Q9Y4K1,MESH:D008545
Q9Y4K1,MESH:D018450
P00568,MESH:D017202
P00568,MESH:C567228
P00568,MESH:D020522
P54819,MESH:C538361
P54819,MESH:D016511
P54819,MESH:D003638
P27144,MESH:D010003
P31749,MESH:D016399
P31749,MESH:D019969
P31749,MESH:D063646
P31749,MESH:D007249
P31749,MESH:D006528
P31749,MESH:D015228
P31749,MESH:D004195
P31749,MESH:D006529
P31749,MESH:D002294
P31749,OMIM:615109
P31749,MESH:D008175
P31749,MESH:D009202
P31749,MESH:D002189
P31749,MESH:D005234
P31749,MESH:D001943
P31749,MESH:D015179
P31749,MESH:D006332
P31749,MESH:D009765
P31749,MESH:D003924
P31749,MESH:D000077195
P31749,MESH:D010146
P31749,MESH:D008579
P31749,MESH:D011471
P31749,MESH:D011605
P31749,MESH:D015473
P31749,MESH:D005355
P31749,MESH:D011230
P31749,MESH:D012559
P31749,MESH:D011125
P31749,MESH:D010051
P31749,MESH:D016715
P31749,MESH:D012878
P31749,MESH:C562942
P31749,MESH:D006965
P31751,MESH:D000077274
P31751,MESH:D003924
P31751,MESH:D052496
P31751,OMIM:240900
P31751,MESH:D001943
P13716,MESH:D008579
P13716,MESH:D007855
P13716,MESH:D017094
P13716,MESH:D002292
P13716,MESH:D012640
P13716,MESH:D007674
P13716,MESH:D012128
P13716,MESH:D008107
P13716,MESH:D006402
P13716,MESH:D006973
P13716,MESH:C562618
P13716,MESH:D020263
P13716,MESH:D020022
P13716,MESH:D011471
P13716,MESH:D008103
P13196,MESH:D011164
P22557,MESH:C536761
P22557,MESH:D000756
P22557,MESH:D008114
P22557,OMIM:300752
P02768,MESH:D034141
P02768,MESH:D006331
P02768,MESH:D020521
P02768,MESH:D015658
P02768,MESH:D007627
P02768,MESH:D007674
P02768,MESH:D006463
P02768,MESH:D005921
P02768,MESH:D009401
P02768,MESH:D055370
P02768,MESH:D015433
P02768,MESH:D008582
P02768,MESH:D058186
P02768,MESH:D006529
P02768,MESH:D005355
P02768,MESH:D007022
P02768,MESH:D048550
P02768,MESH:D008106
P02768,MESH:D011041
P02768,MESH:D009784
P02768,MESH:D017114
P02768,MESH:D007676
P02768,MESH:D009404
P02768,MESH:D012713
P02768,MESH:D008105
P02768,MESH:D008103
P02768,MESH:D015428
P02768,MESH:D001169
P02768,MESH:D006333
P02768,MESH:D009395
P02768,MESH:D014605
P02768,MESH:D014581
P02768,MESH:D006967
P02768,MESH:D012221
P02768,MESH:D013921
P02768,MESH:D010182
P02768,MESH:D000799
P02768,MESH:D006679
P02768,MESH:D015432
P02768,MESH:D002318
P02768,MESH:D003866
