drugbank,disease_mesh
DB06694,MESH:D003139
DB15566,MESH:D014607
DB15566,MESH:D015863
DB01108,MESH:D003866
DB01108,MESH:D003480
DB11989,MESH:D012513
DB11989,MESH:D014355
DB00548,MESH:D019557
DB00548,MESH:D000152
DB00548,MESH:D012393
DB00548,MESH:D018327
DB00548,MESH:D011565
DB00548,MESH:D003876
DB00548,MESH:D017495
DB00548,MESH:D007249
DB00548,MESH:D012871
DB00548,MESH:D050197
DB00548,MESH:D008548
DB13322,MESH:D006356
DB13322,MESH:D005764
DB01125,MESH:D020246
DB01125,MESH:D013927
DB13946,MESH:D007172
DB01616,MESH:D015746
DB01616,MESH:D001424
DB01616,MESH:D043183
DB01616,MESH:D003108
DB01616,MESH:D004239
DB01616,MESH:D013035
DB01616,MESH:D006930
DB01602,MESH:D002481
DB01602,MESH:D052880
DB01602,MESH:D005667
DB01602,MESH:D011014
DB04812,MESH:D001172
DB04812,MESH:D010003
DB04812,MESH:D013585
DB04812,MESH:D011565
DB04812,MESH:D010146
DB00486,MESH:D014839
DB00486,MESH:D004409
DB13628,MESH:D008545
DB04743,MESH:D009336
DB04743,MESH:D008569
DB04743,MESH:D056486
DB04743,MESH:D005770
DB04743,MESH:D004412
DB04743,MESH:D002294
DB04743,MESH:D002289
DB04743,MESH:D005334
DB04743,MESH:D002100
DB04743,MESH:D004827
DB04743,MESH:D007249
DB04743,MESH:D007417
DB04743,MESH:D006528
DB04743,MESH:D001943
DB04743,MESH:D010003
DB04743,MESH:D012878
DB04743,MESH:D010149
DB04743,MESH:D012141
DB04743,MESH:D003110
DB04743,MESH:D056151
DB04743,MESH:D009203
DB04743,MESH:D006042
DB04743,MESH:D002375
DB04743,MESH:D015179
DB04743,MESH:D003092
DB04743,MESH:D006930
DB04743,MESH:D006258
DB04743,MESH:D012640
DB04743,MESH:D009069
DB04743,MESH:D015207
DB04743,MESH:D010146
DB04743,MESH:D001749
DB04743,MESH:D000230
DB04743,MESH:D010190
DB04743,MESH:D009362
DB04743,MESH:D014062
DB04743,MESH:D007012
DB04743,MESH:D005355
DB04743,MESH:D020370
DB04743,MESH:D006973
DB04743,MESH:D015431
DB04743,MESH:D006965
DB04743,MESH:D013375
DB04743,MESH:D010212
DB04743,MESH:D001859
DB04743,MESH:D002545
DB04743,MESH:D004487
DB04743,MESH:D003072
DB04743,MESH:D013276
DB04743,MESH:D013166
DB04743,MESH:D002389
DB04743,MESH:D014581
DB00288,MESH:D004485
DB00288,MESH:D004487
DB00288,MESH:D011565
DB14725,MESH:D006192
DB14184,MESH:D006943
DB14184,MESH:D012481
DB14184,MESH:D007674
DB14184,MESH:D006984
DB14184,MESH:D009336
DB14184,MESH:D011470
DB14184,MESH:D003384
DB14184,MESH:D013927
DB14184,MESH:D015431
DB14184,MESH:D011655
DB14184,MESH:D012478
DB14184,MESH:D008545
DB14184,MESH:D003921
DB14184,MESH:D006470
DB14184,MESH:D014735
DB14184,MESH:D006528
DB14184,MESH:D003093
DB14184,MESH:D003924
DB14184,MESH:D003110
DB11748,MESH:D008569
DB11748,MESH:D014652
DB11748,MESH:D003928
DB11748,MESH:D006943
DB11748,MESH:D012162
DB11748,MESH:D001008
DB01399,MESH:D057772
DB01399,MESH:D017116
DB00223,MESH:D017449
DB01551,MESH:D010149
DB01551,MESH:D010003
DB01551,MESH:D003371
DB01551,MESH:D010146
DB08905,MESH:D001943
DB12942,MESH:D006501
DB00449,MESH:D005902
DB00449,MESH:D017889
DB00449,MESH:D009798
DB00449,MESH:D057066
DB00449,MESH:D005901
DB14212,MESH:D020258
DB14212,MESH:D011595
DB14212,MESH:D003072
DB02925,MESH:D006973
DB12278,MESH:D053201
DB12278,MESH:D014549
DB12278,MESH:D011470
DB12278,MESH:D014570
DB01294,MESH:D010437
DB01294,MESH:D004415
DB01294,MESH:D016481
DB08814,MESH:D009203
DB08814,MESH:D002561
DB08814,MESH:D020521
DB14533,MESH:D059226
DB14533,MESH:D003866
DB14533,MESH:D011507
DB14533,MESH:D056486
DB14533,MESH:D009336
DB14533,MESH:D008630
DB14533,MESH:D009369
DB00964,MESH:D005141
DB00964,MESH:D005902
DB00964,MESH:D010149
DB00964,MESH:D009798
DB00964,MESH:D015875
DB01419,MESH:D010003
DB01419,MESH:D012216
DB01419,MESH:D004487
DB01419,MESH:D010146
DB00957,MESH:D000152
DB00295,MESH:D009357
DB13136,MESH:D054556
DB13136,MESH:D001281
DB13136,MESH:D010689
DB14206,MESH:D006973
DB14206,MESH:C535833
DB14206,MESH:D020244
DB14206,MESH:D056486
DB14206,MESH:D011507
DB14206,MESH:D021441
DB14206,MESH:D009374
DB14206,MESH:D015427
DB14206,MESH:D009203
DB14206,MESH:D009336
DB14206,MESH:D003928
DB14206,MESH:D007674
DB14206,MESH:D008569
DB14206,MESH:D007683
DB14206,MESH:D011833
DB14206,MESH:D048629
DB14206,MESH:D020925
DB14206,MESH:D009393
DB11678,MESH:D019337
DB11678,MESH:D010051
DB14083,MESH:D000138
DB14083,MESH:D006965
DB14083,MESH:D019954
DB14083,MESH:D008569
DB09064,MESH:D006938
DB09064,MESH:D002318
DB09064,MESH:D006949
DB09064,MESH:D015228
DB09064,MESH:D006937
DB09064,MESH:D050171
DB03614,MESH:D005119
DB03614,MESH:D014806
DB03614,MESH:D006965
DB03614,MESH:D000740
DB03614,MESH:D008575
DB03614,MESH:D000748
DB13257,MESH:D004381
DB13257,MESH:D000740
DB13257,MESH:D009901
DB13257,MESH:D006461
DB00972,MESH:D012912
DB00972,MESH:D006255
DB00972,MESH:D004802
DB00972,MESH:D011537
DB00972,MESH:D006930
DB00972,MESH:D010505
DB09118,MESH:D012640
DB00261,MESH:D013923
DB00261,MESH:D013920
DB00261,MESH:D020246
DB00261,MESH:D013922
DB00261,MESH:D011087
DB00665,MESH:D011471
DB14539,MESH:D003875
DB14539,MESH:D009798
DB11921,MESH:D016553
DB11921,MESH:D014514
DB09225,MESH:D012559
DB09225,MESH:D003866
DB09225,MESH:D006948
