uniprot,uniprot2
P18428,P01137
P20645,O60664
Q15836,O60664
Q9H444,O60664
P41240,P11912
P20273,P11912
Q9NWQ8,P11912
O60907,Q06520
Q02790,Q16543
P53041,Q16543
Q9UNE7,Q16543
O95433,Q16543
Q9Y572,Q16543
P40225,P19235
P13725,P19235
P51841,Q92947
P09622,Q92947
Q9UBR2,O00115
P22087,Q02543
P17861,Q02543
Q13094,O00459
O14735,O00459
Q96PE3,O00459
P08138,O00459
Q9HAP6,P20336
Q9H598,P20336
Q9P2U7,P20336
Q02543,Q9BVK8
P28482,P50548
O14641,P49840
P17861,P49840
P02749,P27169
P11597,P27169
P01137,P14210
P18428,P14210
P08138,P14210
P13725,P14210
P01033,P14210
P28482,P14210
P08253,P14210
P26006,P14210
Q96S59,P14210
P14210,P07942
P16144,P07942
Q14112,P07942
P26006,P07942
P49427,Q9Y2X8
P62877,Q9Y2X8
Q9UNE7,Q9Y2X8
Q9UBT3,Q9UBV4
Q8N474,Q9UBV4
P15085,P48052
Q9UBR2,O15155
Q15836,O15155
P61266,O15155
O95406,O15155
O95721,O15155
Q9Y6E7,P43490
Q96EB6,P43490
Q9NYV6,Q3B726
P16144,P26012
P01137,P26012
P26006,P26012
P07942,P26012
Q9NQT4,Q9NZW5
Q9HAP6,Q9NZW5
P31930,Q02218
P51553,Q02218
P09622,Q02218
P20719,P31267
P17861,Q9NWM8
Q15836,Q16623
O15155,Q16623
Q9H598,Q16623
P20336,Q16623
O95721,Q16623
P09601,Q16623
P61266,Q16623
Q9P2U7,Q16623
P13569,Q16623
Q9HAP6,Q16623
P23975,Q16623
Q6UX06,Q9Y239
Q15750,Q9Y239
O43353,Q9Y239
P37059,P20815
P08842,P20815
Q9NR63,P20815
O00204,P20815
P98172,O00401
P18206,O00401
O95631,O00401
Q9UHR4,O00401
P14210,O00401
P22087,Q9NW13
P00750,P05121
Q9NST1,Q86VF5
Q3SYC2,Q86VF5
Q02809,O60568
Q9Y5N6,P35244
P27695,P35244
P07992,P35244
P56282,P35244
P35250,P35244
Q99741,P35244
P33992,P35244
P33897,Q9Y3D6
Q9HA65,Q9Y3D6
Q8TB36,Q9Y3D6
P19105,Q9BUA6
P35579,Q9BUA6
P18206,Q9BUA6
P25788,P25787
P25963,P25787
P13569,P25787
O75832,P25787
P51665,P25787
Q99741,P25787
P48556,P25787
Q9UL46,P25787
P43686,P25787
Q16401,P25787
P25789,P25787
P82664,Q9BYC8
P82930,Q9BYC8
Q13084,Q9BYC8
P82673,Q9BYC8
P18206,Q01449
Q9BUA6,Q01449
P35579,Q01449
P19105,Q01449
Q9NRG9,P35557
O95721,O15498
Q16623,O15498
P61266,O15498
O15155,O15498
Q15836,O15498
Q9H444,Q9NZZ3
Q02543,P60468
P17861,P60468
O43765,P60468
Q9BVK8,P60468
P09601,P60468
Q16623,P60468
Q96IY4,P01031
P01031,P07360
P11912,Q8WV28
Q13094,Q8WV28
Q9NR63,O43174
P20815,O43174
P07327,O43174
P62877,Q9H469
P35250,Q9H668
P35244,Q9H668
P01031,P30405
P68400,Q9Y5J1
Q9NQT4,Q9Y5J1
P22087,Q9Y5J1
Q9NW13,Q9Y5J1
P53674,P05813
P26998,P05813
Q02543,Q7Z417
Q9BVK8,P84098
P22087,P84098
P60468,P84098
Q02543,P84098
P17861,P84098
Q7Z417,P84098
P19235,P09919
P40225,P09919
O00626,P09919
Q8N7H5,P63272
P19387,P63272
Q9Y5B9,P63272
P36954,P63272
Q9UBV4,P56703
Q9UBT3,P56703
Q8N474,P56703
Q9Y6N9,O14907
Q93086,P51575
P17861,O14653
O15498,O14653
Q16623,O14653
O15155,O14653
O95721,O14653
Q15836,O14653
P61266,O14653
Q96GD0,Q9NVS9
P11912,P23443
P28482,P23443
P01137,P23443
P43686,P23443
P62714,P23443
Q9BRB3,Q9Y2B2
Q14442,Q9Y2B2
O00401,P07737
P18206,P07737
Q14004,Q07021
P30405,Q07021
P22087,Q07021
Q15836,O95249
Q16623,O95249
O95721,O95249
O15498,O95249
Q8TBA6,O95249
O14653,O95249
O15155,O95249
P61266,O95249
Q9BVK8,Q96A33
Q02543,Q96A33
P60468,Q96A33
P84098,Q96A33
P36954,Q9Y3C7
P19387,Q9Y3C7
P22087,P17844
P14866,P17844
Q9UKV8,P17844
P09919,P13500
O00626,P13500
Q969S8,Q92830
Q96EB6,Q92830
Q8WUI4,Q92830
O60907,Q92830
P07585,P02452
Q15113,P02452
O60568,P02452
O43897,P02452
Q02809,P02452
P08253,P02452
P26006,P02452
P16144,P02452
P82664,Q9P0M9
P82673,Q9P0M9
Q9BYC8,Q9P0M9
Q13084,Q9P0M9
P82930,Q9P0M9
O60907,Q9UQL6
Q92830,Q9UQL6
O15264,P51452
P53778,P51452
P28482,P51452
O60359,Q06432
P98172,Q15768
O00401,Q15768
P29322,Q15768
P08253,Q15768
P19105,Q15768
P35579,P12882
Q07021,P04004
P26006,P04004
P16144,P04004
P01031,P04004
P05121,P04004
P26012,P04004
Q8N653,Q13829
Q9Y2M5,Q13829
Q14145,Q13829
P62877,Q13829
O14556,P09972
P35557,P09972
Q96EB6,P28907
Q9Y6E7,P28907
P43490,P28907
P01730,P28907
P48637,P28838
Q53H96,P28838
P29992,P30968
O00204,P49888
P20815,P49888
P37059,P49888
Q9UNN8,P10720
P49427,P19838
P25788,P19838
Q16401,P19838
Q8TBK2,P19838
P43686,P19838
Q15750,P19838
O75832,P19838
P51665,P19838
P28482,P19838
P19235,P19838
P25789,P19838
P13500,P19838
Q9UL46,P19838
Q96EB6,P19838
P25963,P19838
Q9Y572,P19838
P25787,P19838
Q01201,P19838
P48556,P19838
P19438,P19838
P20749,P19838
P14784,P60568
P23443,P60568
P19235,P60568
P28482,P60568
P17861,O76024
P22087,Q9NY12
P62318,Q9NY12
P62318,Q14331
Q9NW64,Q14331
O60306,Q14331
P01730,P27701
Q15744,P17947
O15155,P53634
P04233,P53634
O75832,P24385
P53778,P24385
Q14004,P24385
P51665,P24385
P43686,P24385
P25788,P24385
P10244,P24385
Q9UKV8,P24385
P11233,P24385
P49815,P24385
Q9UL46,P24385
P48556,P24385
Q16401,P24385
P25787,P24385
P25789,P24385
Q7RTV0,Q9UMS4
Q15428,Q9UMS4
Q9BRR8,Q9UMS4
Q15459,Q9UMS4
P62318,Q9UMS4
Q14331,Q9UMS4
O60306,Q9UMS4
Q9NW64,Q9UMS4
Q9BQ65,Q9UMS4
P62877,Q9UMS4
P07992,Q9UMS4
O60828,Q9UMS4
P02749,P02656
P27169,P02656
P11597,P02656
P60568,Q13651
P13725,Q13651
Q9NSC7,Q6P9A2
P09622,O00330
Q16654,O00330
Q02218,O00330
Q9NST1,Q96PD7
Q3SYC2,Q96PD7
Q86VF5,Q96PD7
P24385,P16989
P11233,P16989
P19235,P21583
P33992,P21583
P08138,P21583
P23443,P21583
Q9Y5N6,P21583
Q99741,P21583
Q9NS69,Q00325
Q9HAW0,Q9NW08
P08138,Q9UKN5
Q13011,P14920
O14734,P14920
Q9NUI1,P14920
Q13829,Q9H3F6
P62877,Q9H3F6
Q9Y2M5,Q9H3F6
Q8N653,Q9H3F6
Q14145,Q9H3F6
P01137,Q9NPF7
P13725,Q9NPF7
P14210,Q9NPF7
P18428,Q9NPF7
P19838,Q9NPF7
P01033,Q9NPF7
P08253,Q9NPF7
Q13651,Q9NPF7
P25963,Q9NPF7
Q07973,O15528
P53778,P23409
P53778,P13349
P23409,P13349
P48556,P08151
Q16401,P08151
P25788,P08151
O75832,P08151
P43686,P08151
P25787,P08151
Q9UL46,P08151
P51665,P08151
P62877,P08151
P25789,P08151
P78329,P09960
Q08477,P09960
Q9Y5K8,Q969R8
O00401,O15145
P35579,O15145
P28482,P10767
Q99972,P10916
P35579,P10916
P19105,P10916
P35244,Q96B01
