uniprot,uniprot2
O75828,P19224
P00352,P19224
P37059,P19224
P54710,P19224
P20815,P19224
P16152,P19224
P30043,P19224
O60907,Q9NZL6
Q6STE5,Q9NZL6
P11233,Q9NZL6
P01116,Q9NZL6
Q92793,Q9NZL6
Q15648,Q9NZL6
P10301,Q9NZL6
P11234,Q9NZL6
Q96RS0,Q9NZL6
O14807,Q9NZL6
P62070,Q9NZL6
P05451,P48304
P35790,P22303
P05067,P22303
P10301,O15041
O14786,O15041
O14986,O15041
O75489,Q9Y6C9
O95169,Q9Y6C9
Q9Y6M9,Q9Y6C9
O43678,Q9Y6C9
Q01201,P29459
P42226,P29459
Q14116,P29459
Q6UWB1,P29459
P05112,P29459
Q9NRA0,P29459
P13500,P29459
P04141,P29459
P29460,P29459
Q99665,P29459
P15018,P29459
P09919,P29459
P51809,P29459
P01584,P29459
P40763,P29459
Q14213,P29459
O00626,P29459
P07311,Q8WYK0
Q9NR19,Q8WYK0
P24752,Q8WYK0
P05091,Q8WYK0
Q9NPJ3,Q8WYK0
P10515,Q8WYK0
O95822,Q8WYK0
Q09472,P17275
Q16539,P17275
Q14814,P17275
Q12968,P17275
Q16520,P17275
P24385,P17275
P18146,P17275
P35398,P17275
P05112,P17275
Q15672,P17275
P15336,P17275
Q9H9S0,P17275
Q15796,P17275
P40763,P17275
P11161,P17275
P53539,P17275
Q8WYK2,P17275
P17535,P17275
Q9NR55,P17275
P15408,P17275
P11831,P17275
P15121,Q7Z4W1
Q00796,Q7Z4W1
Q15363,Q12907
P56962,Q12907
P49755,Q12907
Q9HCU5,Q12907
O15155,Q12907
Q9UBR2,Q12907
Q16082,Q12988
Q00987,Q96DY7
Q7Z2Z1,Q96DY7
P10114,P49354
O95749,P49354
P49356,P49354
P63211,P49354
P01116,P49354
Q92831,Q13258
P24941,Q13258
O00716,Q13258
Q09472,Q13258
Q92547,Q13258
P24864,Q13258
Q13263,Q13258
Q13315,Q13258
Q92793,Q13258
P25490,Q13258
P06400,Q13258
Q6KC79,Q29RF7
Q7Z5K2,Q29RF7
Q9Y6X3,Q29RF7
P14635,Q29RF7
Q5FBB7,Q29RF7
O14981,Q29RF7
Q5FWF5,Q29RF7
Q96FF9,Q29RF7
O60216,Q29RF7
O95067,Q29RF7
P53350,Q29RF7
Q8N3U4,Q29RF7
O95249,Q96NA8
O95721,Q96NA8
O15498,Q96NA8
Q13190,Q96NA8
P54920,Q96NA8
O00161,Q96NA8
O43752,Q96NA8
P51809,Q96NA8
P01148,P20396
P30990,P20396
P07492,P20396
O43612,P20396
P01178,P20396
P23443,P11274
P98077,P11274
P42336,P11274
Q8WV28,P11274
P10721,P11274
P46108,P11274
Q99704,P11274
P20936,P11274
P19174,P11274
P19447,P11274
P51692,P11274
P11912,P11274
P20273,P11274
P40763,P11274
P41240,P11274
P22681,P11274
Q9NWQ8,P11274
O43933,Q13608
Q92968,Q13608
O60683,Q13608
Q6FIF0,Q13608
P29992,P25103
P50148,P25103
Q9NWU1,Q8N4T8
O60939,P35498
Q12955,P35498
Q9H254,P35498
Q02108,Q8IV38
Q2PPJ7,Q9NYR9
P19838,Q9NYR9
P25963,Q9NYR9
Q6GYQ0,Q9NYR9
O43639,Q14114
Q15036,Q14114
P02656,Q14114
P26006,Q14114
P02647,Q14114
P04114,Q14114
Q9UQF2,Q14114
P02749,Q14114
P02649,Q14114
P35052,Q14114
Q8N158,Q14114
P05067,Q14114
P46821,Q14114
P30990,O95665
Q08999,P30304
P60900,P30304
Q00534,P30304
P62191,P30304
P24385,P30304
P25788,P30304
P78396,P30304
Q16401,P30304
P04049,P30304
P28066,P30304
P43686,P30304
P20248,P30304
P20618,P30304
O43242,P30304
O00231,P30304
P61289,P30304
O75832,P30304
P30305,P30304
P48556,P30304
P46527,P30304
Q9UL46,P30304
P28070,P30304
P53350,P30304
Q96GY3,P30304
P51665,P30304
Q9UKB1,P30304
Q09472,P30304
P24864,P30304
P25787,P30304
P62258,P30304
P24941,P30304
P25789,P30304
P30279,P30304
P14635,P30304
Q99436,P30304
Q9BYX4,P30304
P63208,P30304
P28072,P30304
O95067,P30304
P11802,P30304
Q9UJX4,P51965
Q05086,P51965
P63146,P51965
Q8WVN8,P51965
Q9UNE7,P51965
P49427,P51965
Q9Y2X8,P51965
P61081,P51965
Q712K3,P51965
Q16763,P51965
Q9UMW8,P51965
Q7Z7E8,P51965
P62877,P51965
Q9UII4,P51965
Q9H6Y7,P51965
Q99741,P51965
P36406,P51965
P54253,P51965
P61086,P51965
O14933,P51965
P19474,P51965
P62979,P51965
P46527,P51965
P53041,Q08752
P21796,Q08752
P25685,Q08752
P05067,Q08752
Q02790,Q08752
Q16543,Q08752
P12235,Q08752
Q9H0C2,Q08752
P30405,Q08752
O95433,Q08752
P27361,Q08752
P04150,Q08752
P28482,Q08752
P23297,Q08752
P23443,P06213
Q16821,P06213
P42338,P06213
Q92569,P06213
Q13480,P06213
Q14449,P06213
P01133,P06213
Q13191,P06213
P62714,P06213
P05019,P06213
O00459,P06213
P41743,P06213
P08069,P06213
P98077,P06213
P51692,P06213
Q15172,P06213
Q99704,P06213
O43639,P06213
P19174,P06213
P22681,P06213
Q15173,P06213
P21583,P06213
P42336,P06213
Q9NYH9,Q6IBS0
P68032,Q6IBS0
P40123,Q6IBS0
Q8IXB1,Q8WU39
P14625,Q8WU39
P33681,P16410
P38570,P16410
Q9BX67,P16410
P06756,P16410
P26010,P16410
P16144,P16410
P08648,P16410
Q9Y243,P16410
P18084,P16410
P18564,P16410
P26006,P16410
P51692,P16410
P26012,P16410
P17301,P16410
Q13797,P16410
P56199,P16410
Q01196,P16410
Q96CW1,P16410
P05546,P14770
P00740,P14770
P01042,P14770
P00748,P14770
P04275,P14770
P04070,P14770
Q07021,P14770
Q9H222,Q09428
O60706,Q09428
Q15842,Q09428
P20061,Q6GPI1
P09238,Q6GPI1
P20823,P55318
Q9UKV5,Q8WU17
Q9GZP9,Q8WU17
Q9BUN8,Q8WU17
P62979,Q8WU17
P04035,Q8WU17
Q9C086,Q7L5N1
Q9H0C5,Q7L5N1
P62877,Q7L5N1
Q9H0A8,Q7L5N1
Q9BTE7,Q7L5N1
Q9BT78,Q7L5N1
P61201,Q7L5N1
Q9H9F9,Q7L5N1
Q9NV06,Q7L5N1
P60228,Q7L5N1
Q96GG9,Q7L5N1
Q9P000,Q7L5N1
Q92466,Q7L5N1
P19174,Q7L5N1
Q9UNS2,Q7L5N1
Q9Y6G5,Q7L5N1
Q96L50,Q7L5N1
Q15843,Q7L5N1
Q15291,Q7L5N1
P61081,Q7L5N1
Q96EF6,Q7L5N1
Q16531,Q7L5N1
Q86VX2,Q7L5N1
Q9BX70,Q7L5N1
P40337,Q7L5N1
Q15370,Q7L5N1
Q13618,Q7L5N1
Q13216,Q7L5N1
P25490,Q7L5N1
P62979,Q7L5N1
Q96SW2,Q7L5N1
Q9UQ05,Q8TAE7
Q92754,Q99697
Q15648,Q99697
Q09472,Q99697
Q92793,Q99697
Q9UJU2,Q99697
P30279,Q99697
Q13158,Q9H422
P04637,Q9H422
Q01469,P49773
O75030,P49773
P17947,P08571
P19525,P08571
P13611,P08571
P18428,P08571
Q08426,P08571
Q13489,P08571
Q9Y6Y9,P08571
P62979,P08571
Q99467,P08571
O60603,P08571
P15144,P30408
O14986,P60763
Q13153,P60763
O14775,P60763
P11233,P60763
O14639,P60763
Q8N5V2,P60763
O14641,P60763
O00401,P60763
P13498,P60763
Q9BX67,P60763
Q9NPB6,P60763
Q14185,P60763
Q9HAV0,P60763
P46940,P60763
Q13009,P60763
P16520,P60763
P41221,P60763
O75084,P60763
Q15311,P60763
Q15052,P60763
P56705,P60763
O43639,P60763
P41743,P60763
Q96JJ3,P60763
P42338,P60763
Q9UP38,P60763
P52566,P60763
P19838,P60763
Q96BY6,P60763
P52565,P60763
P04628,P60763
Q9NYB9,P60763
P50479,P60763
Q99819,P60763
P15153,P60763
Q00722,P60763
Q8NEV4,P60763
P55160,P60763
P11234,P60763
Q92608,P60763
P14598,P60763
Q13576,P60763
P08134,P60763
Q13702,P11230
P30926,P11230
Q9UL25,Q96NW4
P51809,Q96NW4
Q96QV6,Q9NQ92
P0C0S5,Q9NQ92
Q9BQA1,Q9NQ92
Q9Y6K1,Q9NQ92
Q9ULZ3,Q8WXC3
Q15633,O75817
Q9NY12,O75817
Q9NX24,O75817
Q9Y2X3,O75817
Q8WYQ5,O75817
Q8N5L8,O75817
O00566,O75817
Q9UKV8,O75817
Q96DI7,O75817
Q99714,O75817
O43818,O75817
Q96HR8,O75817
Q86SR1,Q96EU7
Q9NY28,Q96EU7
Q10472,Q96EU7
Q685J3,Q96EU7
Q6P9A2,Q96EU7
Q9NSC7,Q96EU7
Q86SF2,Q96EU7
Q7Z7M9,Q96EU7
Q9H1K0,Q969Q5
Q9UKZ9,P02461
P12111,P02461
Q15113,P02461
P25940,P02461
P12110,P02461
O15072,P02461
O60568,P02461
P02452,P02461
P51884,P02461
P08123,P02461
P17301,P02461
Q02809,P02461
P06756,P02461
Q32P28,P02461
P13674,P02461
O00469,P02461
O95450,P02461
O43897,P02461
P28300,P02461
P09486,P02461
P04628,Q8NCW0
Q9UP38,Q8NCW0
O75197,Q8NCW0
P56704,Q8NCW0
Q9UBU2,Q8NCW0
O75581,Q8NCW0
Q9UBT3,Q8NCW0
O95219,Q9UNH6
Q9HAD4,Q76NI1
Q14185,Q76NI1
Q13370,Q76NI1
P01042,P52888
O60503,P29275
P40145,P29275
O95631,P29275
Q08828,P29275
P50148,P29275
O60266,P29275
Q9Y3A5,Q8TAP9
Q86SG6,Q6ZW76
Q68DC2,Q6ZW76
Q9BV79,P49327
Q96GR2,P49327
P10515,P49327
P53396,P49327
Q8N4T8,P49327
P25208,P49327
P55055,P49327
Q02318,P49327
Q9NWU1,P49327
Q8IVS2,P49327
Q9NRN7,P49327
O95822,P49327
Q9C086,O43257
O95619,O43257
Q96A08,O43257
Q6ZRS2,O43257
P0C0S5,O43257
Q9GZN1,O43257
Q8TEU7,Q5TCQ9
Q9Y4G8,Q5TCQ9
P27824,Q9H6L5
P60520,Q9H6L5
Q9GZQ8,Q9H6L5
Q13936,Q8TD86
Q16566,Q8TD86
P14625,Q8TD86
P51636,Q8TD86
P29474,Q8TD86
P42262,P35221
P55291,P35221
P19022,P35221
O14672,P35221
Q96A65,P35221
P25054,P35221
P09237,P35221
O00254,P35221
Q9ULB4,P35221
O75197,P35221
P35968,P35221
P18206,P35221
P46940,P35221
P16591,P35221
Q16820,P35221
P55290,P35221
P22223,P35221
Q9Y6N8,P35221
P42336,P35221
P26010,P35221
Q15223,P35221
P50552,P35221
P12830,P35221
Q96IF1,P35221
P41743,P35221
P08069,P35221
O75093,P35221
Q12864,P35221
P08254,P35221
P61970,P35221
Q16620,P35221
Q03113,P35221
Q96KN1,P35221
Q07157,P35221
P05019,P35221
Q13153,P35221
P49840,P35221
Q13576,P35221
P61224,P35221
P00918,P35221
Q92692,P35221
Q9NPB6,P35221
O43707,P35221
O15169,P35221
P01133,P35221
P38570,P35221
P00533,P35221
P14210,P35221
P17302,P35221
P55285,P35221
Q8TDN4,P35221
P20339,P35221
P55287,P35221
Q9BT49,Q96EK4
O00221,P0CG47
Q7Z699,P0CG47
P18887,P0CG47
Q15291,P0CG47
P61081,P0CG47
Q92830,P0CG47
P36406,P0CG47
P06400,P0CG47
Q9UNS2,P0CG47
P63146,P0CG47
O14933,P0CG47
Q8NEZ4,P0CG47
O00237,P0CG47
Q96IV0,P0CG47
O75581,P0CG47
P00533,P0CG47
P14735,P0CG47
P61289,P0CG47
P29590,P0CG47
Q15040,P0CG47
Q13546,P0CG47
O43323,P0CG47
P04792,P0CG47
P25788,P0CG47
P60900,P0CG47
Q15465,P0CG47
Q13191,P0CG47
O75886,P0CG47
Q9Y2T1,P0CG47
Q9UPT9,P0CG47
Q16763,P0CG47
P14210,P0CG47
Q70CQ3,P0CG47
P09936,P0CG47
Q96G74,P0CG47
Q9UM47,P0CG47
O43187,P0CG47
O94888,P0CG47
P62979,P0CG47
P45974,P0CG47
P04626,P0CG47
Q99816,P0CG47
Q70EL4,P0CG47
P21796,P0CG47
P25787,P0CG47
P28066,P0CG47
O60934,P0CG47
Q9H0W5,P0CG47
O75376,P0CG47
Q9UQK1,P0CG47
P19474,P0CG47
Q92890,P0CG47
Q9H040,P0CG47
P49427,P0CG47
Q13107,P0CG47
Q04323,P0CG47
Q16659,P0CG47
Q2I0M5,P0CG47
Q86YT6,P0CG47
Q712K3,P0CG47
Q04864,P0CG47
Q96BN8,P0CG47
Q8IUC6,P0CG47
Q9UNE7,P0CG47
P53350,P0CG47
P01116,P0CG47
Q00987,P0CG47
Q96RU2,P0CG47
Q99741,P0CG47
Q15843,P0CG47
P28072,P0CG47
Q9NZZ3,P0CG47
P46527,P0CG47
Q16526,P0CG47
Q8WU17,P0CG47
P51665,P0CG47
Q8N2W9,P0CG47
Q01201,P0CG47
Q9Y239,P0CG47
Q9UKV5,P0CG47
P61086,P0CG47
Q9BX63,P0CG47
P63208,P0CG47
Q99436,P0CG47
P56704,P0CG47
Q9UL46,P0CG47
O94953,P0CG47
Q16401,P0CG47
P43403,P0CG47
Q7L5N1,P0CG47
P08571,P0CG47
Q6UXX9,P0CG47
O75604,P0CG47
Q96QV6,P0CG47
Q9UN37,P0CG47
Q6IQ16,P0CG47
P20618,P0CG47
P41279,P0CG47
Q96J92,P0CG47
P04049,P0CG47
P43686,P0CG47
P19438,P0CG47
Q96B01,P0CG47
Q92831,P0CG47
O43242,P0CG47
P62877,P0CG47
Q9Y6Y9,P0CG47
Q96E29,P0CG47
Q9BXW9,P0CG47
Q8IWT3,P0CG47
Q12933,P0CG47
Q96CA5,P0CG47
P48200,P0CG47
O75473,P0CG47
O15455,P0CG47
Q13618,P0CG47
Q96MN2,P0CG47
P28070,P0CG47
Q13351,P0CG47
Q99728,P0CG47
P55199,P0CG47
O14672,P0CG47
Q9H211,P0CG47
P08151,P0CG47
P08138,P0CG47
P18858,P0CG47
Q8NCN4,P0CG47
Q12962,P0CG47
Q96JA1,P0CG47
O00231,P0CG47
P25789,P0CG47
Q8TBB1,P0CG47
P36888,P0CG47
O15055,P0CG47
Q8NB78,P0CG47
P54578,P0CG47
Q14191,P0CG47
P04637,P0CG47
Q96DC9,P0CG47
Q9Y572,P0CG47
Q01831,P0CG47
Q14623,P0CG47
Q9HAU4,P0CG47
O75317,P0CG47
Q9UBZ9,P0CG47
P62191,P0CG47
O75351,P0CG47
P61201,P0CG47
O75197,P0CG47
P51170,P0CG47
O60337,P0CG47
O75832,P0CG47
Q13309,P0CG47
O75925,P0CG47
O95140,P0CG47
Q9Y3S1,P0CG47
Q9H0F5,P0CG47
Q92995,P0CG47
Q86YC2,P0CG47
P54840,P0CG47
Q13315,P0CG47
P48556,P0CG47
Q9NS91,P0CG47
Q9Y2X8,P0CG47
P50148,P47900
P37231,Q7Z7K2
O00142,P23919
Q8TCD5,P23919
P21589,P23919
P23921,P23919
Q7LG56,P23919
P04183,P23919
O75355,P23919
Q13232,P23919
O00746,P23919
Q9BXI3,P23919
P56597,P23919
P08319,P16662
P11712,P16662
O43174,P16662
O75828,P16662
P08236,P16662
P20815,P16662
P51857,P16662
P11509,P16662
P16152,P16662
P33260,P16662
P49888,P16662
P20815,P22309
P11509,P22309
P33260,P22309
P51857,P22309
P37059,P22309
P11712,P22309
P49888,P22309
P00352,P22309
P30043,P22309
O75828,P22309
P16152,P22309
P08236,P22309
P08319,P22309
P07327,P22309
O95714,Q8WVJ2
Q9P278,Q96A05
O95670,Q96A05
Q969R8,Q96A05
P21281,Q96A05
P38606,Q96A05
Q96S15,Q96A05
Q8N8Y2,Q96A05
Q13488,Q96A05
Q8NFG4,Q96A05
P15313,Q96A05
P61421,Q96A05
Q96LB4,Q96A05
Q1RMZ1,Q96A05
Q8NEY4,Q96A05
Q93050,Q96A05
Q6PJI9,Q96A05
Q9Y5K8,Q96A05
P58004,Q96A05
Q8WTW4,Q96A05
P36543,Q96A05
P19525,P35568
Q04917,P35568
P06213,P35568
Q04759,P35568
P14784,P35568
Q92569,P35568
P28482,P35568
P08069,P35568
P04626,P35568
Q8WWQ0,P35568
Q16620,P35568
P23443,P35568
P42338,P35568
P42336,P35568
P01116,P35568
P17480,P35568
P06756,P35568
P05112,P35568
Q8NEB9,P35568
P00533,P35568
P01236,P35568
O43639,P35568
P05019,P35568
P49023,P35568
P09619,P35568
P35968,P35568
P46108,P35568
P60568,P35568
Q96CW1,P35568
P27361,P35568
O00459,P35568
P22681,P35568
P62258,P35568
P21860,P35568
Q9NYM4,P35568
Q96EB6,P35568
O60828,O95400
P62306,O95400
Q56P03,O95400
Q15428,O95400
P62308,O95400
P62318,O95400
O94906,O95400
P83876,O95400
P62314,O95400
Q96DI7,O95400
P17181,P35225
P08123,P35225
P01584,P35225
P00488,P35225
P14784,P35225
P06734,P35225
P42226,P35225
Q01113,P35225
O00626,P35225
Q08334,P35225
Q13651,P35225
P40763,P35225
P17275,P35225
Q8N6P7,P35225
P01583,P35225
P19320,P35225
P13500,P35225
Q99665,P35225
Q14116,P35225
P29459,P35225
P00533,P35225
P38484,P35225
Q6UWB1,P35225
P29460,P35225
P09601,P35225
O15230,P35225
P12644,Q6X4U4
Q9H6L2,Q96GX1
Q9UPM9,Q96GX1
Q9BPU9,Q96GX1
P48382,O14593
Q9UQL6,O14593
P56524,O14593
O00287,O14593
P00533,O75159
Q15370,O75159
P51692,O75159
P40763,O75159
Q9UBF6,O75159
P05112,O75159
P0CG47,Q9BRZ2
P62979,Q9BRZ2
P49888,P06133
P33260,P06133
P51857,P06133
P11766,P06133
P08319,P06133
P18405,P06133
Q9H8P0,P06133
P11509,P06133
P20815,P06133
P08236,P06133
P11712,P06133
P37108,P49458
P62979,P49458
P17861,P49458
P62280,P49458
P62266,P49458
Q02543,P49458
P46781,P49458
P42766,P49458
P84098,P49458
P62917,P49458
P08100,P49458
P62249,P49458
P61927,P49458
P25398,P49458
O15498,Q9UNK0
Q9NZ43,Q9UNK0
Q15836,Q9UNK0
O15155,Q9UNK0
Q9P253,Q9UNK0
O75379,Q9UNK0
P51809,Q9UNK0
Q13190,Q9UNK0
Q16623,Q9UNK0
O95721,Q9UNK0
O43752,Q9UNK0
O00161,Q9UNK0
P54920,Q9UNK0
Q9BV40,Q9UNK0
P56962,Q9UNK0
P61266,Q9UNK0
O95249,Q9UNK0
Q96NA8,Q9UNK0
O14653,Q9UNK0
Q16539,P62879
P61952,P62879
Q01668,P62879
P60763,P62879
P63215,P62879
Q08828,P62879
P19087,P62879
P01116,P62879
P49286,P62879
Q00722,P62879
O15264,P62879
Q9UK08,P62879
P09471,P62879
P53778,P62879
P08100,P62879
Q13153,P62879
O60503,P62879
P40145,P62879
P27361,P62879
P54284,P62879
Q9P2W3,P62879
P50148,P62879
P15153,P62879
P29992,P62879
O60266,P62879
P11488,P62879
Q13371,P62879
Q03113,P62879
P63211,P62879
P28482,P62879
O76081,P62879
P30679,P62879
Q9Y243,P62879
P48549,P62879
Q13936,P62879
Q9Y566,Q8NFZ4
Q9P2S2,Q8NFZ4
O00418,P05771
P46108,P05771
P04049,P05771
Q9NQA5,P05771
O14641,P05771
Q96CW1,P05771
P15056,P05771
P19174,P05771
P23443,P05771
P63211,P05771
P00533,P05771
Q04759,P05771
P26010,P05771
Q9H6Z9,P05771
P28907,P05771
Q06710,P05771
P63215,P05771
P42166,P05771
Q13526,P05771
P28482,P05771
O14939,P05771
P53680,P05771
P01133,P05771
Q8NC56,P05771
P20936,P05771
Q16698,P05771
P27361,P05771
P20700,P05771
P19634,P05771
P42262,P05771
O14745,P05771
Q01959,P05771
P10398,P05771
P14784,P05771
Q14145,P05771
Q01196,P05771
Q96A00,P05771
Q9NRA0,P05771
P01116,P05771
P51692,P05771
P41221,P05771
Q9UK08,P05771
Q86YW0,P05771
P14598,P05771
Q00722,P05771
P35568,P05771
P60568,P05771
P06213,P05771
P05129,P05771
P14679,P05771
P48058,P05771
P25963,P05771
P34995,P07550
P63211,P07550
P01178,P07550
P13861,P07550
P04626,P07550
P31323,P07550
P51671,P07550
P06213,P07550
Q5TCQ9,P07550
P62330,P07550
Q9H6Z9,P07550
P29992,P07550
P51681,P07550
Q96B67,P07550
P13569,P07550
P30679,P07550
Q00987,P07550
O14745,P07550
P61278,P07550
P28335,P07550
P05362,P21453
Q08828,P21453
P19174,P21453
P09471,P21453
P09619,P21453
P63211,P21453
P40763,P21453
P28482,P21453
P42336,P21453
P27361,P21453
Q00722,P21453
O95977,P21453
P51451,P21453
Q07108,P21453
P06400,P17676
O15264,P17676
P08243,P17676
P40763,P17676
P17947,P17676
P53567,P17676
P42772,P17676
P42226,P17676
P28482,P17676
Q16539,P17676
P37231,P17676
P53778,P17676
Q96RU7,P17676
P04150,P17676
P51531,P17676
P11161,P17676
P05198,P17676
Q01196,P17676
Q15796,P17676
P18146,P17676
P11831,P17676
P56524,P17676
Q09472,P17676
P19838,P17676
Q92793,P17676
P27361,P17676
P50148,P50607
P51671,P50607
P63211,P50607
Q08378,P83436
Q13190,P83436
O75379,P83436
O15155,P83436
Q12893,P83436
Q16706,P83436
O95249,P83436
O14653,P83436
Q8TBA6,P83436
Q9P1Q0,P83436
Q96JB2,P83436
O43752,P83436
O15498,P83436
P53618,P83436
Q9UP83,P83436
Q8WTW3,P83436
Q9UID3,P83436
Q12893,Q96MW5
Q16706,Q96MW5
Q9UID3,Q96MW5
O75379,Q96MW5
P54920,Q96MW5
O15155,Q96MW5
P83436,Q96MW5
P40616,Q96MW5
O14653,Q96MW5
Q13190,Q96MW5
Q08378,Q96MW5
O15498,Q96MW5
Q9P1Q0,Q96MW5
O43752,Q96MW5
Q96JB2,Q96MW5
O95249,Q96MW5
Q9UP83,Q96MW5
O95755,Q96MW5
Q8TBA6,Q96MW5
O95721,Q96MW5
Q8N2H4,Q96MW5
Q5JT25,Q96MW5
Q9NRW1,Q96MW5
Q8WTW3,Q96MW5
O60921,P39748
P35244,P39748
Q9NYB0,P39748
Q9BPX3,P39748
Q09472,P39748
P43246,P39748
O75417,P39748
P27695,P39748
P27694,P39748
P18858,P39748
P56282,P39748
Q9GZX7,P39748
P54274,P39748
P52701,P39748
P20248,P39748
O60934,P39748
Q15054,P39748
P06746,P39748
Q15554,P39748
Q13315,P39748
Q14181,P39748
Q9BSI4,P39748
P35250,P39748
Q9UGN5,P39748
P24941,P39748
Q14191,P39748
P18887,P39748
Q8NB90,Q9BVQ7
O43914,Q9P1W8
P25788,Q15365
Q14498,Q15365
P17844,Q15365
P09012,Q15365
Q13427,Q15365
Q00839,Q15365
P62249,Q15365
P14866,Q15365
Q13148,Q15365
Q96EU7,Q9NY97
P20774,Q9NY97
O60938,Q9NY97
Q685J3,Q9NY97
Q9Y231,Q9NY97
P51884,Q9NY97
Q92186,P21217
Q9Y231,P21217
Q9NY97,P21217
Q16623,O14810
O95721,O14810
Q9NUP9,O14810
Q02410,O14810
Q9Y2K9,O14810
O95219,O14810
O00161,O14810
O75379,O14810
P17600,O14810
Q15836,O14810
P51809,O14810
P56962,O14810
Q9H598,O14810
Q9P2U7,O14810
O14653,O14810
P21579,O14810
O43752,O14810
Q9BV40,O14810
Q7Z7G2,O14810
P20336,O14810
P60880,O14810
P61266,O14810
P54920,O14810
Q9HAP6,O14810
Q16643,Q9NSB8
Q9Y566,Q9NSB8
Q9NWB7,Q9NSB8
Q9UNK0,O95183
Q13190,O95183
O00161,O95183
O95249,O95183
P09919,P02778
P32246,P02778
P29459,P02778
P25024,P02778
Q99616,P02778
P13500,P02778
P10720,P02778
P02776,P02778
P15018,P02778
P04141,P02778
P01583,P02778
P02775,P02778
P41597,P02778
P01584,P02778
P32302,P02778
Q14116,P02778
P40763,P02778
O00585,P02778
P29460,P02778
O43927,P02778
P51671,P02778
O00626,P02778
P32248,P02778
P51681,P02778
P82933,Q9NYK5
P82663,Q9NYK5
Q4U2R6,Q9NYK5
Q9Y3D5,Q9NYK5
P82675,Q9NYK5
P82673,Q9NYK5
Q9P0M9,Q9NYK5
Q9BQ48,Q9NYK5
P09001,Q9NYK5
Q96EY7,Q9NYK5
Q9H9J2,Q9NYK5
Q9Y676,Q9NYK5
Q9Y2R5,Q9NYK5
Q9Y2Q9,Q9NYK5
Q9BYD3,Q9NYK5
Q9NRX2,Q9NYK5
P82664,Q9NYK5
Q13084,Q9NYK5
P82930,Q9NYK5
Q96EL3,Q9NYK5
O75394,Q9NYK5
Q9NX20,Q9NYK5
Q9Y2R9,Q9NYK5
Q7Z7H8,Q9NYK5
Q13405,Q9NYK5
Q14197,Q9NYK5
Q9P015,Q9NYK5
Q9BYC8,Q9NYK5
P14410,P10253
P06280,P10253
Q9Y6G9,Q86VS8
Q8N612,Q86VS8
P02452,P13497
Q96JB6,P13497
Q9GZX9,P13497
P08253,P13497
Q13753,P13497
O14793,P13497
P28300,P13497
P25940,P13497
P02647,P13497
P08123,P13497
Q15113,P13497
P58215,P13497
Q08397,P13497
Q9H2X0,P13497
P02461,P13497
Q13618,Q9P2D0
P11912,Q9P2D0
P11274,Q9P2D0
Q8WV28,Q9P2D0
Q9NS84,Q9NPF2
O14594,Q9NPF2
P07585,Q9NPF2
P13611,Q9NPF2
P01036,P01037
P36537,Q8WZ04
P05091,Q8WZ04
P16662,Q8WZ04
Q6UWM9,Q8WZ04
P07327,Q8WZ04
O75106,Q8WZ04
P08319,Q8WZ04
P11086,Q8WZ04
P06133,Q8WZ04
P48448,Q8WZ04
Q04917,Q9HCP0
P62258,Q9HCP0
P49840,Q9HCP0
P56704,Q9HCP0
O75581,Q9HCP0
Q99835,Q9HCP0
O14641,Q9HCP0
O15169,Q9HCP0
P78368,Q9HCP0
P04637,Q9HCP0
Q13247,Q15393
O60306,Q15393
Q9Y3B4,Q15393
Q12962,Q15393
Q96DI7,Q15393
P55081,Q15393
Q8NAV1,Q15393
Q07955,Q15393
Q7RTV0,Q15393
Q15428,Q15393
P09012,Q15393
Q15459,Q15393
Q9UK45,Q15393
Q9BRD0,Q15393
Q92830,Q15393
P62314,Q15393
Q9NQ29,Q15393
P62308,Q15393
P09234,Q15393
Q96NC0,Q15393
O95777,Q15393
P08579,Q15393
Q9UQ35,Q15393
Q96F63,Q15393
Q9NW64,Q15393
P62310,Q15393
Q8N8D1,Q15393
P83876,Q15393
O94906,Q15393
Q13573,Q15393
Q8TAD8,Q15393
Q8TBF4,Q15393
Q15696,Q15393
Q9BTD8,Q15393
O14776,Q15393
P62318,Q15393
P62306,Q15393
Q15427,Q15393
P09661,Q15393
Q9UMS4,Q15393
Q9UNK0,Q9P2W9
Q16623,Q9P2W9
P61266,Q9P2W9
P48444,Q9P2W9
A2RRP1,Q9P2W9
O15498,Q9P2W9
O75379,Q9P2W9
P56962,Q9P2W9
O95721,Q9P2W9
Q9NZ43,Q9P2W9
P51809,Q9P2W9
P53618,Q9P2W9
O15155,Q9P2W9
O43752,Q9P2W9
O00161,Q9P2W9
Q13190,Q9P2W9
Q15836,Q9P2W9
Q6NUQ1,Q9P2W9
O43264,Q9P2W9
Q9BV40,Q9P2W9
P60880,Q9P2W9
P54920,Q9P2W9
P49755,Q9P2W9
O14653,Q9P2W9
O95249,Q9P2W9
Q9UI95,Q8IYI0
Q86V20,Q8IYI0
Q9GZQ4,Q9HB89
P48645,Q9HB89
O60885,Q15059
Q9NP62,P83105
Q06190,Q6NUP7
Q15173,Q6NUP7
Q969G9,Q6NUP7
P63098,Q6NUP7
P60510,Q6NUP7
Q15172,Q6NUP7
P62714,Q6NUP7
Q6UXN9,Q6NUP7
O75807,Q6NUP7
P62979,Q8TE49
P0CG47,Q8TE49
Q9Y6N9,O75445
P02768,P46721
