uniprot,disease_mesh
P30279,MESH:D006332
P30279,MESH:D005355
P28908,MESH:D009164
P28908,MESH:D004646
P28908,MESH:D004482
P28908,MESH:D006470
P32971,MESH:D008088
P32971,MESH:D009164
P32971,MESH:D017731
P32971,MESH:D004482
P29965,MESH:D000690
P16070,MESH:D015473
P13987,MESH:D007674
Q07108,MESH:D001168
P32320,MESH:D001943
P12830,MESH:D009361
P12830,MESH:D001943
P33151,MESH:D054318
P11802,MESH:D008080
P38936,MESH:D007414
P38936,MESH:D000077277
P46527,MESH:D011471
P46527,MESH:D019048
P42771,MESH:D001749
Q8N726,MESH:D001749
P49715,MESH:D015473
P49715,MESH:D004646
P49715,MESH:D011658
Q15744,MESH:D015473
P23141,MESH:D006937
P23141,MESH:D019970
P23141,MESH:D009293
P11597,MESH:D004195
P11597,MESH:D050197
P13569,MESH:D006548
P01215,MESH:D009845
P01215,MESH:D014591
P01215,MESH:D010049
P01215,MESH:D000307
P0DN86,MESH:D005327
P0DN86,MESH:D007006
P08172,MESH:D001750
P08172,MESH:D003929
P08173,MESH:D002389
P43681,MESH:D007249
P36544,MESH:D009410
P36544,MESH:D008569
P36544,MESH:D001308
P17787,MESH:D009410
P17787,MESH:D012021
P17787,MESH:D007249
P10909,MESH:D008545
P10909,MESH:D009389
P21554,MESH:D009069
P21554,MESH:D004833
P21554,MESH:D012640
P21554,MESH:D009103
P21554,MESH:D007035
P21554,MESH:D006930
P21554,MESH:D002375
P21554,MESH:D010146
P21554,MESH:D018149
P21554,MESH:D019957
P21554,MESH:D009410
P34972,MESH:D006930
P34972,MESH:D015431
P34972,MESH:D015212
P34972,MESH:D050197
P34972,MESH:D002375
P26441,MESH:D009410
P26441,MESH:D002543
P00450,MESH:D009410
Q03060,MESH:D006984
P06850,MESH:D011596
P06850,MESH:D000544
P06850,MESH:D010146
Q13324,MESH:D008171
Q13324,MESH:D007249
P02741,MESH:D015228
Q16539,MESH:D015464
P04141,MESH:D009101
P04141,MESH:D009503
P04141,MESH:D008545
P04141,MESH:D009436
P04141,MESH:D008228
P04141,MESH:D008113
P04141,MESH:D064420
P04141,MESH:D000741
P04141,MESH:D018365
P04141,MESH:D000647
P04141,MESH:D005141
P04141,MESH:D002277
P04141,MESH:D012509
P04141,MESH:D016483
P04141,MESH:D001943
P04141,MESH:D015179
P09919,MESH:D004938
P09919,MESH:D013203
P09919,MESH:D007970
P09919,MESH:D008107
P09919,MESH:D002295
P09919,MESH:D000741
P09919,MESH:D004195
P09919,MESH:D018487
