drugbank,uniprot
DB00862,P18545
DB00862,Q13956
DB00865,Q05940
DB00865,Q01959
DB00877,P09038
DB00880,P55017
DB00887,Q13621
DB00887,P55011
DB00887,Q9H2X9
DB00898,P19320
DB00898,Q99808
DB00898,Q14542
DB00898,P32004
DB00903,Q13621
DB00903,Q9UJU2
DB00906,P30531
DB00907,Q01959
DB00907,P23975
DB00907,P31645
DB00907,Q99720
DB00912,Q09428
DB00922,P63316
DB00924,P31645
DB00924,P23975
DB00924,O00206
DB00925,P0DP23
DB00934,P23975
DB00937,P23975
DB00937,Q01959
DB00945,Q9Y478
DB00945,O43741
DB00945,P54619
DB00945,Q9UGJ0
DB00945,Q9UGI9
DB00945,P04637
DB00945,P25963
DB00945,P98066
DB00945,P24385
DB00945,P01106
DB00945,P12004
DB00956,Q99720
DB00959,P04083
DB00975,P53805
DB00975,P02763
DB00988,Q01959
DB00988,P23975
DB00988,P31645
DB00988,Q05940
DB00993,P63000
DB00997,Q14978
DB00999,P55017
DB01003,P25815
DB01013,P04083
DB01016,Q09428
DB01016,O60706
DB01016,O95342
DB01016,O95477
DB01017,P01584
DB01017,P15692
DB01017,P99999
DB01021,P55017
DB01022,P02818
DB01023,P0DP23
DB01023,P02585
DB01023,P63316
DB01025,P80511
DB01025,Q99584
DB01025,P08700
DB01025,P05230
DB01029,P05412
DB01032,Q4U2R8
DB01032,Q9NSA0
DB01032,Q8TCC7
DB01032,Q96RD7
DB01041,Q96SW2
DB01041,P01375
DB01041,P19838
DB01041,P02763
DB01048,P01889
DB01050,P10415
DB01050,P07204
DB01050,P12104
DB01050,P07359
DB01050,P31151
DB01053,Q8TCC7
DB01053,Q16348
DB01064,P27986
DB01064,O00459
DB01064,Q92569
DB01065,P0DP23
DB01065,P27797
DB01067,Q09428
DB01069,P0DP23
DB01076,P35869
DB01077,P12235
DB01077,P05141
DB01089,Q05940
DB01097,P35869
DB01098,P20701
DB01100,P0DP23
DB01104,P31645
DB01104,Q01959
DB01104,O00264
DB01104,Q99720
DB01104,P23975
DB01105,P23975
DB01105,P31645
DB01105,Q01959
DB01114,P31645
DB01114,P23975
DB01114,Q01959
DB01115,P0DP23
DB01118,Q86YN6
DB01120,Q09428
DB01120,P15692
DB01124,Q09428
DB01133,Q93050
DB01133,Q9Y487
DB01133,Q13488
DB01133,Q9HBG4
DB01133,P27449
DB01133,Q99437
DB01133,P21281
DB01133,P15313
DB01133,P21283
DB01133,Q8NEY4
DB01133,Q9Y5K8
DB01133,P61421
DB01133,Q8N8Y2
DB01133,O15342
DB01133,P36543
DB01133,Q96A05
DB01133,O75348
DB01133,O95670
DB01133,Q9UI12
DB01133,Q15904
DB01136,O95298
DB01136,P15692
DB01136,P16860
DB01136,P17302
DB01136,P19320
DB01136,P16581
DB01136,Q16665
DB01138,Q92887
DB01138,Q96S37
DB01142,P23975
DB01142,P31645
DB01146,Q01959
DB01149,P31645
DB01149,P23975
DB01149,Q01959
DB01151,P23975
DB01151,P31645
DB01156,Q01959
DB01156,P23975
DB01159,P59768
DB01161,Q01959
DB01162,P01137
DB01164,Q99584
DB01169,P05412
DB01169,P24385
DB01169,P38936
DB01170,P23975
DB01173,P23975
DB01175,P31645
DB01175,P23975
DB01175,Q01959
DB01178,P30536
DB01179,P68366
DB01179,P07437
DB01183,P16220
DB01183,O00206
DB01189,P30049
DB01191,P31645
DB01196,P11137
DB01196,P78559
DB01198,P30536
DB01211,Q9Y6L6
DB01211,Q9NPD5
DB01212,Q9NSA0
DB01212,Q4U2R8
DB01212,Q8TCC7
DB01221,P23975
DB01222,P04083
DB01229,Q9H4B7
DB01229,P10415
DB01229,P27816
DB01229,P11137
DB01229,P10636
DB01234,P04083
DB01238,Q01959
DB01238,P31645
DB01241,Q9Y6L6
DB01241,Q8TCC7
DB01241,Q9NPD5
DB01242,P31645
DB01242,P23975
DB01244,P63316
DB01244,P0DP23
DB01248,Q9H4B7
DB01248,P10415
DB01248,P11137
DB01248,P27816
DB01248,P10636
DB01250,P01579
DB01251,Q09428
DB01254,P51692
DB01254,P11142
DB01275,Q16665
DB01296,P01375
DB01296,Q00653
DB01296,P01579
DB01324,P55017
DB01325,Q13621
DB01325,P55011
DB01325,P55017
DB01327,P40933
DB01327,P60568
DB01364,P23975
DB01367,P10415
DB01370,P02787
DB01370,P05067
DB01382,Q09428
DB01394,P07437
DB01406,P13500
DB01407,P01138
DB01407,P01375
DB01427,P01375
DB01440,Q9HAB3
DB01576,Q05940
DB01576,P23975
DB01576,Q01959
DB01577,Q01959
DB01577,P31645
DB01577,P23975
DB01577,Q05940
DB01577,P54219
DB01579,P23975
DB01592,P02786
DB01592,Q9NZD4
DB01592,P69905
DB01592,P02787
DB01593,P68104
DB01593,P49411
DB01593,P08700
DB01593,P02795
DB01593,O14618
DB01593,P04279
DB01593,O15304
DB01593,P01308
DB01593,P46939
DB01593,P05109
DB01593,P06702
DB01593,O15350
DB01593,P29034
DB01593,P04637
DB01593,P25713
DB01593,O75340
DB01593,Q8N907
DB01593,P04731
DB01593,P04217
DB01593,P01023
DB01593,P02765
DB01593,P02743
DB01593,P02647
DB01593,P02652
DB01593,P06727
DB01593,Q0VD83
DB01593,P02649
DB01593,O14791
DB01593,P02746
DB01593,P02747
DB01593,P01024
DB01593,P0C0L5
DB01593,P04003
DB01593,P20851
DB01593,P01031
DB01593,P07357
DB01593,P07360
DB01593,P08603
DB01593,P10909
DB01593,P22792
DB01593,P81605
DB01593,P15924
DB01593,O75636
DB01593,P02671
DB01593,P02751
DB01593,P06396
DB01593,P69905
DB01593,P68871
DB01593,P00739
DB01593,P35858
DB01593,Q14624
DB01593,P01591
DB01593,P14923
DB01593,P01042
DB01593,P04264
DB01593,P13645
DB01593,P02533
DB01593,P08779
DB01593,P35908
DB01593,P13647
DB01593,P02538
DB01593,P35527
DB01593,P31151
DB01593,P49908
DB01593,P01009
DB01593,P01011
DB01593,P29622
DB01593,P08185
DB01593,P05546
DB01593,P02787
DB01593,P02766
DB01593,P04004
DB01593,P51693
DB01593,Q06481
DB01593,P05067
DB01599,O95477
DB01611,Q9NYK1
DB01611,Q9NR96
DB01708,Q99720
DB02659,P51161
DB02659,P13073
DB02659,P00403
DB02659,P00414
DB02659,P20674
DB02659,P10606
DB02659,P09669
DB02659,P24311
DB02659,P15954
DB02659,P10176
DB02659,Q02221
DB02659,P14854
DB02659,P24310
DB02772,O00244
DB02772,P68133
DB02925,Q13621
DB03088,P15692
DB03088,Q03403
DB03088,O43612
DB03088,P80075
DB03147,Q16795
DB03255,P02768
DB03754,P05067
DB03756,P36956
DB03796,P09466
DB03796,O43617
DB03904,P35222
