drugbank,uniprot
DB00408,P25021
DB00408,Q9H3N8
DB00409,P14416
DB00409,P21917
DB00409,P35462
DB00409,P28223
DB00411,P11229
DB00411,P08172
DB00411,P20309
DB00411,P08173
DB00413,P35462
DB00413,P14416
DB00413,P21917
DB00413,P08908
DB00413,P08913
DB00420,P14416
DB00420,P28223
DB00420,P28335
DB00420,P35348
DB00420,P11229
DB00420,P35367
DB00422,P08908
DB00424,P11229
DB00424,P08172
DB00424,P20309
DB00424,P08173
DB00427,P35367
DB00429,P34995
DB00433,P14416
DB00433,P35367
DB00433,P35348
DB00433,P35368
DB00433,P25100
DB00433,P08913
DB00433,P18089
DB00433,P18825
DB00434,P35367
DB00434,P28223
DB00434,P28335
DB00434,P11229
DB00434,P08172
DB00434,P20309
DB00434,P34969
DB00449,P35348
DB00449,P08913
DB00449,P07550
DB00450,P14416
DB00450,P35348
DB00452,P61073
DB00454,P41145
DB00454,P11229
DB00454,P08172
DB00454,P20309
DB00454,P08173
DB00454,P08912
DB00454,P35372
DB00455,P35367
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00457,P08913
DB00457,P18089
DB00458,P28223
DB00458,P35367
DB00458,P35348
DB00458,P25100
DB00458,P11229
DB00458,P08172
DB00458,P20309
DB00458,P08173
DB00458,P08912
DB00458,P28335
DB00458,P35368
DB00458,P34969
DB00458,P21728
DB00458,P21918
DB00458,P14416
DB00458,P08908
DB00458,P50406
DB00462,P11229
DB00462,P08172
DB00462,P20309
DB00470,P21554
DB00470,P34972
DB00471,Q9Y271
DB00472,P28335
DB00477,P14416
DB00477,P21728
DB00477,P08908
DB00477,P28223
DB00477,P35348
DB00477,P35368
DB00477,P35367
DB00477,P21918
DB00477,P35462
DB00477,P21917
DB00477,P28335
DB00477,P41595
DB00477,P25100
DB00477,P08913
DB00477,P18089
DB00477,P18825
DB00477,P11229
DB00477,P20309
DB00477,P50406
DB00477,P34969
DB00477,Q9H3N8
DB00483,P08172
DB00483,P11229
DB00483,P08912
DB00484,P08913
DB00484,P18089
DB00484,P18825
DB00486,P34972
DB00486,P21554
DB00489,P08588
DB00489,P07550
DB00490,P08908
DB00490,P14416
DB00490,P35462
DB00490,P21917
DB00490,P35348
DB00490,P35368
DB00490,P25100
DB00496,P20309
DB00496,P11229
DB00496,P08172
DB00496,P08173
DB00496,P08912
DB00497,P35372
DB00497,P41145
DB00497,P41143
DB00501,P25021
DB00502,P14416
