drugbank,uniprot
DB00252,Q99250
DB00252,Q9UQD0
DB00252,P14867
DB00252,P47869
DB00252,P34903
DB00252,P48169
DB00252,P31644
DB00252,Q16445
DB00252,P18505
DB00252,P47870
DB00252,P28472
DB00252,O14764
DB00252,P78334
DB00252,Q8N1C3
DB00252,P18507
DB00252,Q99928
DB00252,Q9UN88
DB00257,O15554
DB00270,Q13936
DB00270,P54289
DB00270,Q08289
DB00270,O95180
DB00270,Q01668
DB00270,Q13698
DB00273,P14867
DB00273,P35498
DB00273,Q9Y5Y9
DB00273,Q9UI33
DB00273,Q99250
DB00273,Q9NY46
DB00273,P35499
DB00273,Q14524
DB00273,Q01118
DB00273,Q9UQD0
DB00273,Q15858
DB00273,P39086
DB00273,Q13002
DB00273,Q13003
DB00273,Q16099
DB00273,Q16478
DB00273,Q13936
DB00273,Q01668
DB00273,O60840
DB00273,Q13698
DB00273,Q02641
DB00273,Q08289
DB00273,P54284
DB00273,O00305
DB00273,Q15878
DB00276,Q12809
DB00280,Q14524
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,Q12809
DB00281,Q9Y5Y9
DB00281,Q15858
DB00281,Q14524
DB00281,P35499
DB00289,Q05586
DB00289,Q12879
DB00289,Q13224
DB00289,Q14957
DB00289,O15399
DB00289,Q8TCU5
DB00289,O60391
DB00289,P48549
DB00292,P14867
DB00292,P47869
DB00292,P34903
DB00292,P48169
DB00292,P31644
DB00292,Q16445
DB00292,P18505
DB00292,P47870
DB00292,P28472
DB00292,O14764
DB00292,P78334
DB00292,Q8N1C3
DB00292,P18507
DB00292,Q99928
DB00292,Q9UN88
DB00296,Q9Y5Y9
DB00297,Q9Y5Y9
DB00306,P14867
DB00306,P47869
DB00306,P34903
DB00306,P48169
DB00306,P31644
DB00306,Q16445
DB00306,P43681
DB00306,P36544
DB00306,P42262
DB00306,Q13002
DB00306,P18505
DB00306,P47870
DB00306,P28472
DB00306,O14764
DB00306,P78334
DB00306,Q8N1C3
DB00306,P18507
DB00306,Q99928
DB00306,Q9UN88
DB00308,Q13936
DB00308,Q02641
DB00308,Q12809
DB00308,P54289
DB00308,Q06432
