uniprot,pathway_id,database
P27986,hsa04933,kegg
O00459,hsa04933,kegg
P17252,hsa04933,kegg
P05771,hsa04933,kegg
Q05655,hsa04933,kegg
Q02156,hsa04933,kegg
Q05513,hsa04933,kegg
P28482,hsa04933,kegg
P27361,hsa04933,kegg
P45983,hsa04933,kegg
Q15759,hsa04933,kegg
P45984,hsa04933,kegg
P53779,hsa04933,kegg
O15264,hsa04933,kegg
P63000,hsa04933,kegg
P24385,hsa04933,kegg
P10415,hsa04933,kegg
Q04206,hsa04933,kegg
P53778,hsa04933,kegg
P13500,hsa04933,kegg
P16581,hsa04933,kegg
P51692,hsa04933,kegg
P01137,hsa04933,kegg
P36897,hsa04933,kegg
P37173,hsa04933,kegg
P07204,hsa04933,kegg
P01375,hsa04933,kegg
P19320,hsa04933,kegg
P15692,hsa04933,kegg
P42574,hsa04933,kegg
Q92569,hsa04933,kegg
P31327,hsa00250,kegg
P80404,hsa00250,kegg
P21549,hsa00250,kegg
Q04609,hsa00250,kegg
Q99259,hsa00250,kegg
Q05329,hsa00250,kegg
Q96RQ9,hsa00250,kegg
Q9UI32,hsa00250,kegg
O94925,hsa00250,kegg
P00367,hsa00250,kegg
P49448,hsa00250,kegg
P15104,hsa00250,kegg
P17174,hsa00250,kegg
P00505,hsa00250,kegg
P08243,hsa00250,kegg
P45381,hsa00250,kegg
Q06203,hsa00250,kegg
Q9BYV1,hsa00250,kegg
P51649,hsa00250,kegg
Q8TD30,hsa00250,kegg
P30038,hsa00250,kegg
Q15750,hsa04936,kegg
Q96RR4,hsa04936,kegg
O15111,hsa04936,kegg
P07327,hsa04936,kegg
P00325,hsa04936,kegg
P00326,hsa04936,kegg
P08319,hsa04936,kegg
P11766,hsa04936,kegg
P40394,hsa04936,kegg
P50416,hsa04936,kegg
Q16539,hsa04936,kegg
P35222,hsa04936,kegg
P05181,hsa04936,kegg
P31749,hsa04936,kegg
P05091,hsa04936,kegg
P30837,hsa04936,kegg
P49327,hsa04936,kegg
P49189,hsa04936,kegg
P51648,hsa04936,kegg
Q9Y6Y9,hsa04936,kegg
Q9UHD2,hsa04936,kegg
P49841,hsa04936,kegg
Q13085,hsa04936,kegg
O00763,hsa04936,kegg
P11310,hsa04936,kegg
O14920,hsa04936,kegg
P01584,hsa04936,kegg
P05231,hsa04936,kegg
P51617,hsa04936,kegg
P19838,hsa04936,kegg
P25963,hsa04936,kegg
P49419,hsa04936,kegg
Q15067,hsa04936,kegg
Q9NWZ3,hsa04936,kegg
Q9UJU2,hsa04936,kegg
Q9UGJ0,hsa04936,kegg
Q9UGI9,hsa04936,kegg
Q07869,hsa04936,kegg
Q13131,hsa04936,kegg
P54646,hsa04936,kegg
Q9Y478,hsa04936,kegg
O43741,hsa04936,kegg
P54619,hsa04936,kegg
P45983,hsa04936,kegg
Q15759,hsa04936,kegg
P45984,hsa04936,kegg
P53779,hsa04936,kegg
O15264,hsa04936,kegg
P46734,hsa04936,kegg
P52564,hsa04936,kegg
P24385,hsa04936,kegg
Q04206,hsa04936,kegg
P53778,hsa04936,kegg
P36956,hsa04936,kegg
O00206,hsa04936,kegg
P01375,hsa04936,kegg
P02746,hsa04936,kegg
P02747,hsa04936,kegg
P01024,hsa04936,kegg
P0C0L5,hsa04936,kegg
P01031,hsa04936,kegg
P42574,hsa04936,kegg
Q13546,hsa04936,kegg
Q14164,hsa04936,kegg
Q9UBN7,hsa05034,kegg
Q9UQL6,hsa05034,kegg
Q96RR4,hsa05034,kegg
O95622,hsa05034,kegg
Q8TCU5,hsa05034,kegg
O60391,hsa05034,kegg
P29274,hsa05034,kegg
P29275,hsa05034,kegg
P16220,hsa05034,kegg
P15336,hsa05034,kegg
P20711,hsa05034,kegg
P21728,hsa05034,kegg
P14416,hsa05034,kegg
Q99808,hsa05034,kegg
Q05586,hsa05034,kegg
Q12879,hsa05034,kegg
Q13224,hsa05034,kegg
Q14957,hsa05034,kegg
O15399,hsa05034,kegg
Q13547,hsa05034,kegg
Q92769,hsa05034,kegg
Q14542,hsa05034,kegg
P21397,hsa05034,kegg
P27338,hsa05034,kegg
P18848,hsa05034,kegg
P01303,hsa05034,kegg
Q16620,hsa05034,kegg
Q8WUI4,hsa05034,kegg
P59768,hsa05034,kegg
P17612,hsa05034,kegg
P22694,hsa05034,kegg
Q9BY41,hsa05034,kegg
P28482,hsa05034,kegg
P27361,hsa05034,kegg
Q02750,hsa05034,kegg
P04049,hsa05034,kegg
P23560,hsa05034,kegg
Q01959,hsa05034,kegg
P54219,hsa05034,kegg
Q05940,hsa05034,kegg
P15056,hsa05034,kegg
P07101,hsa05034,kegg
Q96DB2,hsa05034,kegg
P0DP23,hsa05034,kegg
P62807,hsa05034,kegg
Q969S8,hsa05034,kegg
Q8N5S9,hsa05034,kegg
O15379,hsa05034,kegg
Q9UKV0,hsa05034,kegg
P56524,hsa05034,kegg
P80365,hsa04960,kegg
P01308,hsa04960,kegg
P06213,hsa04960,kegg
P48048,hsa04960,kegg
P08235,hsa04960,kegg
P05023,hsa04960,kegg
P50993,hsa04960,kegg
P13637,hsa04960,kegg
P54710,hsa04960,kegg
O15530,hsa04960,kegg
P42336,hsa04960,kegg
P42338,hsa04960,kegg
O00329,hsa04960,kegg
P27986,hsa04960,kegg
O00459,hsa04960,kegg
P17252,hsa04960,kegg
P05771,hsa04960,kegg
P05129,hsa04960,kegg
P28482,hsa04960,kegg
P27361,hsa04960,kegg
P37088,hsa04960,kegg
P51168,hsa04960,kegg
P51170,hsa04960,kegg
Q92569,hsa04960,kegg
Q08828,hsa04925,kegg
Q08462,hsa04925,kegg
O95622,hsa04925,kegg
P16220,hsa04925,kegg
P15336,hsa04925,kegg
P05108,hsa04925,kegg
