protein,pathway_id
O43677,WP1902
O43678,WP4324
O43678,WP1902
O43708,WP4111
O43708,WP4506
O43708,WP2766
O43708,WP4981
O43741,WP2748
O43741,WP1831
O43741,WP3348
O43741,WP3331
O43741,WP3349
O43741,WP3838
O43741,WP4985
O43741,WP4061
O43741,WP2777
O43766,WP3562
O43766,WP5028
O43772,WP4742
O43772,WP4061
O43772,WP5123
O43837,WP2766
O43920,WP4324
O43920,WP1902
O60218,WP3839
O60285,WP3838
O60359,WP3392
O60359,WP4459
O60391,WP5007
O60427,WP5315
O60427,WP4586
O60427,WP2724
O60427,WP2797
O60488,WP4114
O60488,WP1831
O60494,WP4129
O60494,WP1857
O60494,WP4271
O60494,WP3685
O60568,WP2725
O60603,WP4462
O60603,WP2761
O60603,WP4049
O60603,WP3577
O60603,WP2775
O60603,WP2671
O60603,WP4069
O60603,WP4868
O60656,WP4111
O60656,WP2797
O60669,WP1935
O60669,WP5314
O60674,WP4096
O60674,WP4122
O60674,WP1836
O60674,WP2713
O60674,WP5098
O60674,WP4052
O60674,WP4066
O60674,WP1858
O60674,WP3332
O60674,WP1815
O60674,WP3817
O60674,WP2735
O60674,WP1840
O60674,WP2678
O60674,WP2657
O60674,WP4458
O60674,WP3374
O60674,WP5158
O60674,WP5242
O60701,WP4111
O60701,WP5312
O60706,WP2669
O60706,WP1780
O60706,WP3810
O60760,WP4111
O60894,WP4420
O60894,WP4427
O60894,WP4993
O60895,WP4420
O60895,WP4427
O60895,WP4993
O60896,WP4420
O60896,WP4427
O60896,WP4993
O60931,WP3320
O60931,WP1936
O60939,WP5200
O60939,WP1843
O60939,WP3810
O75116,WP3309
O75116,WP1907
O75116,WP3365
O75116,WP4426
O75116,WP3594
O75116,WP1919
O75116,WP5047
O75116,WP5366
O75185,WP4098
O75251,WP1902
O75306,WP4324
O75306,WP1902
O75311,WP2754
O75348,WP1913
O75348,WP2670
O75348,WP3551
O75348,WP5015
O75348,WP4098
O75380,WP4324
O75380,WP1902
O75385,WP3549
O75385,WP4053
O75385,WP3348
O75385,WP4070
O75385,WP4863
O75385,WP5381
O75390,WP2766
O75390,WP2717
O75390,WP5220
O75438,WP4324
O75438,WP1902
O75460,WP1939
O75460,WP4861
O75460,WP5181
O75469,WP5273
O75469,WP4545
O75489,WP4324
O75489,WP1902
O75600,WP3803
O75636,WP1798
O75715,WP2824
O75747,WP2747
O75747,WP4971
O75762,WP4098
O75762,WP5283
O75874,WP4990
O75874,WP3585
O75874,WP4442
O75874,WP4049
O75874,WP3486
O75880,WP3349
O75880,WP1902
O75899,WP2669
O75899,WP4423
O75899,WP4159
O75899,WP4418
O75899,WP4457
O75911,WP4421
O75911,WP2776
O75912,WP1809
O75914,WP3309
O75914,WP1927
O75914,WP1907
O75914,WP1799
O75914,WP3351
O75914,WP3307
O75914,WP3354
O75914,WP1919
O75914,WP1918
O75936,WP4996
O76082,WP1935
O76082,WP4061
O76082,WP5123
O94760,WP1850
O94760,WP2853
O94788,WP4421
O94804,WP4049
O94903,WP4228
O94925,WP3349
O94925,WP1871
O94925,WP4992
O94925,WP5312
O94925,WP4157
O95069,WP2669
O95069,WP3810
O95139,WP4324
O95139,WP1902
O95167,WP4324
O95167,WP1902
O95168,WP4324
O95168,WP1902
O95169,WP4324
O95169,WP1902
O95169,WP2717
O95178,WP4324
O95178,WP1902
O95182,WP4324
O95182,WP1902
O95237,WP5188
O95237,WP3839
O95237,WP2776
O95264,WP2754
O95298,WP4324
O95298,WP1902
O95298,WP4049
O95299,WP4324
O95299,WP1902
O95342,WP5238
O95342,WP1788
O95342,WP5396
O95342,WP5176
O95363,WP1938
O95470,WP4142
O95470,WP2788
O95477,WP4129
O95477,WP5012
O95477,WP2797
O95622,WP4423
O95622,WP1831
O95622,WP4427
O95622,WP1978
O95622,WP2662
O95622,WP4422
O95622,WP3316
O95622,WP2688
O95622,WP4457
O95622,WP4993
O95622,WP4589
O95644,WP5174
O95644,WP3558
O95644,WP2746
O95644,WP2759
O95644,WP5098
O95644,WP2840
O95644,WP3354
O95665,WP4419
O95665,WP4424
O95670,WP1913
O95670,WP2670
O95670,WP3551
O95670,WP5015
O95670,WP4098
O95718,WP1822
O95749,WP4190
O95749,WP2706
O95749,WP1795
O95819,WP3404
O95835,WP3959
O95835,WP2714
O95864,WP5315
O95864,WP4586
O95864,WP4853
O95864,WP2724
O95907,WP1794
O95907,WP1935
O95907,WP2766
O95954,WP4988
O95954,WP4259
O95977,WP4423
O95977,WP4419
O96000,WP4324
O96000,WP1902
O96013,WP1918
O96017,WP2263
O96017,WP3823
O96017,WP3959
O96017,WP3838
O96017,WP2516
O96017,WP1775
O96017,WP4016
O96017,WP3807
O96017,WP3543
O96017,WP5322
O96017,WP1971
O96017,WP1984
P00325,WP4085
P00326,WP4085
P00326,WP4421
P00338,WP2766
P00338,WP5220
P00338,WP5166
P00338,WP4236
P00338,WP5312
P00338,WP5381
P00352,WP4039
P00352,WP4085
P00352,WP5188
P00352,WP4421
P00367,WP4595
P00367,WP3331
P00367,WP4992
P00367,WP5220
P00367,WP497
P00367,WP5312
P00367,WP5355
P00374,WP4688
P00374,WP4990
P00374,WP1858
P00374,WP3806
P00374,WP4156
P00387,WP4085
P00387,WP4049
P00387,WP1857
P00395,WP3349
P00395,WP1902
P00403,WP3349
P00403,WP1902
P00403,WP2526
P00403,WP5347
P00414,WP3349
P00414,WP1902
P00439,WP4981
P00439,WP4156
P00441,WP1903
P00441,WP4100
P00441,WP2824
P00450,WP1935
P00450,WP2670
P00450,WP2799
P00450,WP4110
P00491,WP4082
P00491,WP4049
P00491,WP4792
P00491,WP4042
P00491,WP4224
P00492,WP4082
P00492,WP2853
P00492,WP4792
P00492,WP4224
P00505,WP4093
P00505,WP3574
P00505,WP465
P00505,WP4595
P00505,WP4992
P00505,WP3562
P00505,WP5220
P00505,WP5166
P00505,WP4979
P00519,WP3388
P00519,WP2719
P00519,WP3567
P00519,WP3959
P00519,WP4415
P00519,WP5000
P00519,WP1858
P00519,WP1815
P00519,WP1865
P00519,WP4105
P00519,WP1918
P00519,WP3543
P00533,WP4086
P00533,WP1910
P00533,WP2722
P00533,WP2780
P00533,WP1843
P00533,WP4977
P00533,WP2643
P00533,WP4065
P00533,WP2781
P00533,WP5144
P00533,WP2840
P00533,WP2735
P00533,WP4437
P00533,WP2664
P00533,WP2653
P00533,WP5014
P00533,WP5322
P00533,WP1984
P00533,WP5158
P00558,WP4093
P00734,WP1794
P00734,WP4419
P00734,WP1798
P00734,WP2762
P00734,WP1884
P00734,WP2799
P00734,WP1818
P00734,WP4927
P00734,WP1929
P00734,WP5186
P00734,WP4424
P00736,WP1798
P00736,WP2806
P00738,WP4049
P00738,WP2784
P00739,WP2784
P00740,WP2762
P00740,WP1818
P00740,WP5186
P00742,WP2762
P00742,WP1818
P00742,WP4583
P00742,WP5186
P00747,WP1802
P00747,WP1903
P00747,WP2769
P00747,WP2799
P00747,WP3976
P00747,WP1916
P00747,WP2774
P00747,WP4927
P00748,WP5089
P00748,WP1818
P00748,WP2806
P00749,WP1802
P00749,WP4049
P00750,WP1802
P00750,WP1916
P00751,WP1798
P00797,WP5183
P00797,WP5133
P00797,WP2729
P00813,WP4082
P00813,WP3591
P00813,WP3594
P00813,WP4792
P00813,WP4224
P00846,WP1902
P00846,WP4106
P00915,WP2744
P00915,WP4100
P00915,WP2681
P00915,WP2770
P00918,WP2744
P00918,WP2681
P00918,WP2770
P00918,WP5314
P01008,WP2799
P01008,WP4110
P01008,WP1818
P01009,WP4430
P01009,WP1903
P01009,WP3560
P01009,WP2799
P01009,WP4049
P01009,WP4110
P01011,WP1903
P01011,WP4049
P01019,WP4423
P01019,WP4419
P01019,WP5183
P01019,WP5133
P01019,WP2729
P01019,WP2797
P01019,WP4424
P01019,WP5036
P01023,WP4129
P01023,WP1903
P01023,WP1818
P01023,WP2774
P01023,WP1917
P01024,WP4998
P01024,WP4423
P01024,WP4419
P01024,WP5218
P01024,WP1798
P01024,WP1829
P01024,WP2799
P01024,WP4049
P01024,WP4110
P01024,WP2806
P01031,WP4423
P01031,WP4419
P01031,WP1798
P01042,WP4423
P01042,WP5089
P01042,WP4419
P01042,WP1903
P01042,WP2799
P01042,WP4110
P01042,WP1818
P01042,WP4424
P01100,WP1845
P01100,WP3808
P01100,WP3391
P01100,WP2759
P01100,WP5098
P01100,WP4977
P01100,WP4066
P01100,WP4982
P01100,WP3591
P01100,WP2840
P01100,WP3404
P01100,WP4432
P01100,WP2526
P01106,WP2755
P01106,WP4086
P01106,WP2263
P01106,WP2772
P01106,WP4107
P01106,WP4102
P01106,WP2720
P01106,WP3307
P01106,WP4066
P01106,WP1858
P01106,WP5001
P01106,WP2839
P01106,WP3339
P01106,WP4432
P01106,WP5322
P01106,WP5288
P01106,WP1984
P01106,WP5385
P01106,WP5381
P01133,WP1910
P01133,WP2722
P01133,WP1903
P01133,WP2780
P01133,WP4977
P01133,WP4065
P01133,WP2781
P01133,WP5144
P01133,WP2735
P01133,WP5055
P01133,WP2653
P01133,WP5366
P01137,WP3859
P01137,WP1794
P01137,WP4107
P01137,WP2787
P01137,WP2683
P01137,WP2751
P01137,WP4102
P01137,WP4066
P01137,WP5144
P01137,WP2742
P01137,WP2840
P01137,WP2703
P01137,WP5055
P01137,WP2666
P01137,WP5322
P01137,WP5347
P01137,WP5382
P01137,WP5385
P01138,WP4429
P01138,WP4443
P01138,WP1873
P01138,WP5366
P01189,WP4423
P01189,WP4419
P01189,WP3998
P01189,WP4427
P01189,WP4085
P01189,WP1978
P01189,WP4066
P01189,WP2691
P01189,WP2749
P01189,WP4999
P01189,WP4993
P01303,WP4423
P01303,WP4419
P01303,WP4999
P01308,WP1913
P01308,WP1831
P01308,WP3998
P01308,WP4441
P01308,WP1982
P01308,WP3513
P01308,WP3436
P01308,WP2509
P01308,WP4999
P01308,WP5181
P01308,WP2736
P01308,WP2653
P01308,WP5385
P01350,WP2596
P01350,WP2597
P01350,WP2664
P01350,WP4424
P01375,WP3398
P01375,WP5039
P01375,WP5218
P01375,WP5200
P01375,WP5182
P01375,WP3851
P01375,WP2751
P01375,WP4304
P01375,WP5098
P01375,WP4063
P01375,WP5260
P01375,WP4066
P01375,WP2513
P01375,WP5044
P01375,WP3380
P01375,WP5055
P01375,WP5181
P01375,WP5347
P01375,WP5242
P01375,WP5336
P01375,WP5381
P01579,WP5174
P01579,WP5218
P01579,WP4100
P01579,WP1836
P01579,WP5098
P01579,WP2840
P01579,WP5044
P01579,WP4341
P01579,WP4079
P01579,WP5336
P01584,WP4998
P01584,WP3890
P01584,WP1838
P01584,WP4304
P01584,WP4063
P01584,WP4066
P01584,WP3354
P01584,WP5055
P01584,WP1839
P01584,WP5288
P01584,WP5347
P01584,WP5381
P01591,WP1794
P01591,WP2784
P01889,WP1835
P01889,WP1829
P01889,WP1836
P01889,WP4049
P01889,WP3577
P02538,WP5055
P02585,WP3795
P02647,WP4129
P02647,WP1903
P02647,WP1780
P02647,WP2799
P02647,WP4110
P02647,WP3839
P02647,WP3601
P02647,WP2784
P02647,WP2797
P02647,WP5145
P02647,WP4522
P02649,WP4086
P02649,WP4129
P02649,WP5012
P02649,WP2799
P02649,WP3298
P02649,WP4110
P02649,WP2781
P02649,WP3839
P02649,WP3601
P02649,WP2784
P02649,WP4522
P02652,WP4129
P02652,WP2799
P02652,WP4110
P02652,WP3839
P02652,WP3601
P02652,WP2797
P02652,WP4522
P02655,WP4129
P02655,WP5012
P02655,WP3839
P02655,WP3601
P02655,WP5323
P02655,WP4522
P02656,WP4129
P02656,WP3839
P02656,WP3601
P02671,WP4431
P02671,WP1903
P02671,WP2799
P02671,WP4110
P02671,WP1818
P02671,WP2735
P02671,WP4069
P02671,WP4927
P02675,WP4431
P02675,WP1903
P02675,WP1818
P02675,WP2735
P02675,WP4069
P02675,WP4927
P02679,WP4431
P02679,WP1903
P02679,WP2799
P02679,WP4110
P02679,WP1818
P02679,WP2735
P02679,WP4069
P02679,WP4927
P02708,WP4454
P02743,WP3547
P02746,WP1798
P02747,WP1798
P02748,WP1798
P02749,WP1903
P02750,WP4049
P02751,WP4431
P02751,WP1794
P02751,WP1903
P02751,WP2799
P02751,WP2643
P02751,WP4110
P02751,WP4066
P02751,WP5056
P02751,WP2735
P02751,WP2703
P02751,WP5288
P02753,WP3839
P02753,WP2776
P02763,WP1903
P02763,WP4049
P02765,WP1903
P02765,WP2799
P02765,WP4049
P02765,WP4110
P02766,WP4049
P02766,WP3839
P02766,WP2703
P02766,WP2776
P02768,WP1852
P02768,WP4129
P02768,WP1903
P02768,WP2799
P02768,WP4110
P02768,WP1788
P02768,WP1937
P02768,WP2784
P02775,WP4423
P02775,WP4419
P02775,WP1903
P02775,WP4049
P02786,WP3578
P02786,WP2670
P02787,WP1903
P02787,WP2670
P02787,WP2799
P02787,WP4110
P02788,WP5003
P02788,WP4101
P02788,WP4049
P02790,WP2784
P02792,WP3578
P02792,WP2670
P02792,WP4049
P02792,WP2513
P02792,WP2784
P02794,WP3578
P02794,WP2670
P02794,WP4049
P02794,WP2784
P02795,WP1836
P02795,WP3814
P02818,WP2762
P02818,WP4415
P03372,WP4086
P03372,WP4414
P03372,WP4447
P03372,WP4102
P03372,WP4977
P03372,WP2781
P03372,WP1822
P03372,WP4105
P03372,WP4432
P03372,WP5235
P03372,WP2653
P03372,WP5318
P03372,WP5322
P03372,WP4545
P03372,WP5368
P03886,WP4324
P03886,WP1902
P03891,WP4324
P03891,WP1902
P03897,WP1902
P03901,WP4324
P03905,WP4324
P03905,WP1902
P03915,WP4324
P03915,WP1902
P03923,WP4324
P03923,WP1902
P03951,WP1818
P03951,WP2806
P03952,WP2769
P03952,WP1818
P04003,WP1798
P04004,WP1798
P04004,WP2787
P04004,WP2703
P04004,WP2666
