"drugbank_id","accession"
"DB00230","O60359"
"DB00230","Q9Y698"
"DB00230","O43497"
"DB00230","Q06432"
"DB00230","Q08289"
"DB00231","P34903"
"DB00231","O14764"
"DB00231","Q8N1C3"
"DB00231","P47869"
"DB00231","P18507"
"DB00231","Q16445"
"DB00231","P48169"
"DB00231","P14867"
"DB00231","P31644"
"DB00231","Q99928"
"DB00231","P47870"
"DB00231","P78334"
"DB00231","O00591"
"DB00231","P28472"
"DB00231","Q9UN88"
"DB00231","P18505"
"DB00232","P55017"
"DB00233","P9WNX1"
"DB00238","Q72547"
"DB00241","P34903"
"DB00241","O14764"
"DB00241","Q8N1C3"
"DB00241","P47869"
"DB00241","P18507"
"DB00241","Q16445"
"DB00241","P48169"
"DB00241","P14867"
"DB00241","P31644"
"DB00241","Q99928"
"DB00241","P47870"
"DB00241","P78334"
"DB00241","O00591"
"DB00241","P28472"
"DB00241","Q9UN88"
"DB00241","P18505"
"DB00243","Q14524"
"DB00243","P35499"
"DB00244","P23219"
"DB00244","P35354"
"DB00244","P37231"
"DB00244","P09917"
"DB00248","P14416"
"DB00250","P0C0X1"
"DB00251","P10613"
"DB00252","Q15858"
"DB00252","P35499"
"DB00252","Q9UI33"
"DB00252","P35498"
"DB00252","Q9UQD0"
"DB00252","Q99250"
"DB00252","Q01118"
"DB00252","Q14524"
"DB00252","Q9Y5Y9"
"DB00252","Q9NY46"
"DB00253","P04150"
"DB00255","P03372"
"DB00257","P10613"
"DB00259","P0AC13"
"DB00260","P9WP31"
"DB00260","P9WQA9"
"DB00262","P00390"
"DB00263","P0AC13"
"DB00266","Q9BQB6"
"DB00269","Q92731"
"DB00270","Q13936"
"DB00270","O60840"
"DB00270","Q01668"
"DB00270","Q13698"
"DB00273","P34903"
"DB00273","O14764"
"DB00273","Q8N1C3"
"DB00273","P47869"
"DB00273","P18507"
"DB00273","Q16445"
"DB00273","P48169"
"DB00273","P14867"
"DB00273","P31644"
"DB00273","Q99928"
"DB00273","P47870"
"DB00273","P78334"
"DB00273","O00591"
"DB00273","P28472"
"DB00273","Q9UN88"
"DB00273","P18505"
"DB00273","P42261"
"DB00273","P48058"
"DB00273","P42262"
"DB00273","P42263"
"DB00273","P39086"
"DB00273","Q16099"
"DB00273","Q13002"
"DB00273","Q13003"
"DB00273","Q16478"
"DB00273","Q15858"
"DB00273","P35499"
"DB00273","Q9UI33"
"DB00273","P35498"
"DB00273","Q9UQD0"
"DB00273","Q99250"
"DB00273","Q01118"
"DB00273","Q14524"
"DB00273","Q9Y5Y9"
"DB00273","Q9NY46"
"DB00273","P22748"
"DB00273","P00918"
"DB00275","P30556"
"DB00276","P11388"
"DB00276","Q02880"
