Drug,Protein
DB00293,P04818
DB00294,P06401
DB00295,P35372
DB00296,P35498
DB00296,P35499
DB00296,Q9Y5Y9
DB00296,Q9UQD0
DB00296,Q9UI33
DB00296,Q9NY46
DB00296,Q15858
DB00296,Q99250
DB00296,Q14524
DB00296,Q01118
DB00297,P35499
DB00298,P35348
DB00302,P00747
DB00304,P06401
DB00306,P14867
DB00306,P18507
DB00306,Q8N1C3
DB00306,O14764
DB00306,P31644
DB00306,P47870
DB00306,P18505
DB00306,Q16445
DB00306,P34903
DB00306,P28472
DB00306,Q99928
DB00306,P47869
DB00306,Q9UN88
DB00306,P78334
DB00306,P48169
DB00307,P48443
DB00307,P19793
DB00307,P28702
DB00308,Q12809
DB00310,P55017
DB00312,P14867
DB00312,P18507
DB00312,Q8N1C3
DB00312,O14764
DB00312,P31644
DB00312,P47870
DB00312,P18505
DB00312,Q16445
DB00312,P34903
DB00312,P28472
DB00312,Q99928
DB00312,P47869
DB00312,Q9UN88
DB00312,P78334
DB00312,P48169
DB00313,P51649
DB00315,P28222
DB00315,P28221
DB00316,P35354
DB00316,P23219
DB00316,O00519
DB00316,Q8NER1
DB00317,P00533
DB00318,P35372
DB00318,P41143
DB00318,P41145
DB00320,P28221
DB00321,P23975
DB00321,P31645
DB00322,P04818
DB00323,P21964
DB00324,P04150
DB00327,P35372
DB00328,P35354
DB00328,P23219
DB00331,O15239
DB00331,Q9P0J0
DB00331,P19404
DB00331,O75306
DB00331,P49821
DB00331,P51970
DB00331,O14561
DB00331,O43920
DB00331,O43677
DB00331,O75251
DB00331,Q9Y6M9
DB00331,P03901
DB00331,P03915
DB00331,O43674
DB00331,O95168
DB00331,P03905
DB00331,O95167
DB00331,O95169
DB00331,O43678
DB00331,O43676
DB00331,P17568
DB00331,O95298
DB00331,O95178
DB00331,O00483
DB00331,P28331
DB00331,O43181
DB00331,Q16795
DB00331,O75380
DB00331,O95182
DB00331,P03891
DB00331,P56556
DB00331,Q9UI09
DB00331,O75489
DB00331,O96000
DB00331,O75438
DB00331,Q86Y39
DB00331,P03897
DB00331,O00217
DB00331,Q16718
DB00331,O95299
DB00331,P56181
DB00331,P03886
DB00331,O95139
DB00331,P03923
DB00332,P20309
DB00333,P35372
DB00334,P28223
DB00334,P28335
DB00334,P21917
DB00334,P14416
DB00334,P35462
DB00335,P08588
DB00337,P62942
DB00338,P51164
DB00338,P20648
DB00340,P11229
DB00340,P28335
DB00341,P35367
DB00342,P35367
DB00343,O60840
DB00343,Q01668
DB00343,Q13936
DB00343,Q13698
DB00344,P23975
DB00344,P31645
DB00346,P35368
DB00346,P35348
DB00346,P25100
DB00347,O43497
DB00347,O95180
DB00347,Q9P0X4
DB00348,P32754
DB00349,P14867
DB00349,P18507
DB00349,Q8N1C3
DB00349,O14764
DB00349,P31644
DB00349,P47870
DB00349,P18505
DB00349,Q16445
DB00349,P34903
DB00349,P28472
DB00349,Q99928
DB00349,P47869
DB00349,Q9UN88
DB00349,P78334
DB00349,P48169
DB00350,Q14654
DB00350,O60706
DB00351,P06401
DB00353,P41595
DB00353,P21728
DB00354,P35367
DB00356,O15554
DB00357,P11511
DB00357,P05108
DB00360,P00439
DB00361,P07437
DB00361,Q71U36
DB00361,Q13509
DB00361,Q9H4B7
DB00361,P68366
DB00361,P68371
DB00363,P14416
DB00363,P28223
DB00366,P35367
DB00367,P06401
DB00368,P08913
DB00368,P35348
DB00368,P08588
DB00368,P07550
DB00368,P35368
DB00368,P18089
DB00368,P18825
DB00368,P13945
DB00368,P25100
DB00370,P18825
DB00370,P08913
DB00370,P18089
DB00370,P28223
DB00370,P28335
DB00371,P14867
DB00371,P18507
DB00371,Q8N1C3
DB00371,O14764
DB00371,P31644
DB00371,P47870
DB00371,P18505
DB00371,Q16445
DB00371,P34903
DB00371,P28472
DB00371,Q99928
DB00371,P47869
DB00371,Q9UN88
DB00371,P78334
DB00371,P48169
DB00372,P14416
DB00373,P07550
DB00373,P08588
DB00374,P43119
DB00376,P11229
DB00377,P46098
DB00378,P06401
DB00379,P35498
DB00379,P35499
DB00379,Q9Y5Y9
DB00379,Q9UQD0
DB00379,Q9UI33
DB00379,Q9NY46
DB00379,Q15858
DB00379,Q99250
DB00379,Q14524
DB00379,Q01118
DB00380,P11388
DB00380,Q02880
DB00381,O60840
DB00381,Q01668
DB00381,Q13936
DB00381,Q13698
DB00382,P06276
DB00382,P22303
DB00383,P11229
DB00383,P20309
DB00384,P51168
DB00384,P51170
DB00384,P37088
DB00385,P11388
DB00387,P11229
DB00388,P35368
DB00388,P35348
DB00388,P25100
DB00389,P07202
DB00390,P05023
DB00390,P50993
DB00390,P13637
DB00390,P54710
DB00391,P14416
DB00392,P11229
DB00393,P08235
DB00393,O60840
DB00393,Q01668
DB00393,Q13936
DB00393,Q13698
DB00394,P04150
DB00396,P06401
DB00397,P23975
DB00397,P35348
DB00398,P04049
DB00398,P09619
DB00398,P10721
DB00398,P36888
DB00398,P07949
DB00398,P35916
DB00398,P35968
DB00398,P17948
DB00398,P15056
DB00399,P14324
DB00401,O60840
DB00401,Q01668
DB00401,Q13936
DB00401,Q13698
DB00402,P14867
DB00402,P18507
DB00402,Q8N1C3
DB00402,O14764
DB00402,P31644
DB00402,P47870
DB00402,P18505
DB00402,Q16445
DB00402,P34903
DB00402,P28472
DB00402,Q99928
DB00402,P47869
DB00402,Q9UN88
DB00402,P78334
DB00402,P48169
DB00403,P32238
DB00404,P14867
DB00404,P18507
DB00404,Q8N1C3
DB00404,O14764
DB00404,P31644
DB00404,P47870
DB00404,P18505
DB00404,Q16445
DB00404,P34903
DB00404,P28472
DB00404,Q99928
DB00404,P47869
DB00404,Q9UN88
DB00404,P78334
DB00404,P48169
DB00405,P35367
DB00408,P28223
DB00408,P28335
DB00408,P21917
DB00408,P14416
DB00408,P35462
DB00409,P14416
DB00411,P20309
DB00412,P37231
DB00413,P21917
DB00413,P14416
DB00413,P35462
DB00414,Q09428
DB00414,Q14654
DB00418,P14867
DB00418,P18507
DB00418,Q8N1C3
DB00418,O14764
DB00418,P31644
DB00418,P47870
DB00418,P18505
DB00418,Q16445
DB00418,P34903
DB00418,P28472
DB00418,Q99928
DB00418,P47869
DB00418,Q9UN88
DB00418,P78334
DB00418,P48169
DB00419,Q16739
DB00420,P28223
DB00420,P21917
DB00420,P14416
DB00420,P35462
DB00421,P08235
DB00422,P23975
DB00422,Q01959
DB00423,P00915
DB00425,P18505
DB00425,P18507
DB00425,P14867
DB00427,P35367
DB00433,P14416
DB00434,P35367
DB00436,P55017
DB00437,P47989
DB00439,P04035
DB00441,Q7LG56
DB00441,P31350
DB00441,P23921
DB00441,Q14181
DB00441,Q9NRF9
DB00441,P56282
DB00441,P09884
DB00441,Q07864
DB00443,P04150
DB00444,P11388
DB00444,Q02880
DB00448,P51164
DB00448,P20648
DB00449,P08913
DB00449,P35348
DB00449,P08588
DB00449,P07550
DB00449,P35368
DB00449,P18089
DB00449,P18825
DB00449,P13945
DB00449,P25100
DB00450,P28223
DB00450,P21917
DB00450,P14416
DB00450,P35462
DB00451,P10827
DB00451,P10828
DB00454,P35372
DB00455,P35367
DB00457,P35368
DB00457,P35348
DB00457,P25100
DB00458,P23975
DB00458,P31645
DB00459,P13631
DB00459,P19793
DB00459,P10276
DB00459,P48443
DB00459,P10826
DB00459,P28702
DB00461,P35354
DB00465,P35354
DB00465,P23219
DB00470,P21554
DB00471,Q9Y271
DB00472,P31645
DB00474,P14867
DB00474,P18507
DB00474,Q8N1C3
DB00474,O14764
DB00474,P31644
DB00474,P47870
DB00474,P18505
DB00474,Q16445
DB00474,P34903
DB00474,P28472
DB00474,Q99928
DB00474,P47869
DB00474,Q9UN88
DB00474,P78334
DB00474,P48169
DB00475,P14867
DB00475,P18507
DB00475,Q8N1C3
DB00475,O14764
DB00475,P31644
DB00475,P47870
DB00475,P18505
DB00475,Q16445
DB00475,P34903
DB00475,P28472
DB00475,Q99928
DB00475,P47869
DB00475,Q9UN88
DB00475,P78334
DB00475,P48169
DB00476,P23975
DB00476,P31645
DB00477,P28223
DB00477,P21917
DB00477,P14416
DB00477,P35462
DB00480,Q96SW2
DB00481,Q92731
DB00482,P35354
DB00484,P18825
DB00484,P08913
DB00484,P18089
DB00489,P07550
DB00489,P08588
DB00489,Q12809
DB00490,P08908
DB00491,O43451
DB00491,P10253
DB00494,P21964
DB00496,P08172
DB00496,P20309
DB00497,P35372
DB00498,Q9BQB6
DB00499,P10275
DB00500,P35354
DB00500,P23219
DB00501,P25021
DB00502,P28223
DB00502,P21917
DB00502,P14416
DB00502,P35462
DB00503,Q9HB55
DB00503,P08684
DB00503,P24462
DB00503,P20815
DB00504,P35372
DB00504,P41145
DB00508,P14416
DB00509,P10827
DB00509,P10828
DB00511,P05023
DB00511,P50993
DB00511,P13637
DB00511,P54710
DB00513,P00747
DB00513,P00750
DB00514,Q12879
DB00514,Q99720
DB00519,P12821
DB00521,P07550
DB00521,P13945
DB00521,P08588
DB00523,P13631
DB00523,P19793
DB00523,P10276
DB00523,P48443
DB00523,P10826
DB00523,P28702
DB00524,P55017
DB00527,Q14524
DB00527,Q9Y5Y9
DB00528,O60840
DB00528,Q01668
DB00528,Q13936
DB00528,Q13698
DB00530,P00533
DB00532,P35498
DB00532,P35499
DB00532,Q9Y5Y9
DB00532,Q9UQD0
DB00532,Q9UI33
DB00532,Q9NY46
DB00532,Q15858
DB00532,Q99250
DB00532,Q14524
DB00532,Q01118
DB00533,P35354
DB00536,Q8TDN1
DB00536,P56696
DB00536,Q14721
DB00536,Q92953
DB00536,Q9H3M0
DB00536,O95259
DB00536,Q96PR1
DB00536,Q16322
DB00536,Q8TDN2
DB00536,Q8TAE7
DB00536,Q96KK3
DB00536,O43525
DB00536,Q6PIU1
DB00536,Q9NS40
DB00536,Q9NR82
DB00536,Q9BQ31
DB00536,Q09470
DB00536,P48547
DB00536,Q9H252
DB00536,Q9NSA2
DB00536,P22001
DB00536,Q8NCM2
DB00536,Q96RP8
DB00536,Q14003
DB00536,P17658
DB00536,O43526
DB00536,Q9UJ96
DB00536,Q03721
DB00536,P16389
DB00536,Q96L42
DB00536,P51787
DB00536,Q9NZV8
DB00536,Q9UK17
DB00536,Q12809
DB00536,P22459
DB00536,Q9ULD8
DB00536,P22460
DB00536,Q9UIX4
DB00536,Q9UQ05
DB00539,Q92731
